dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
atanas,0,42,15s,15,start,8,664,0.3192771084337349,0.6596385542168675,0.47352825443371577,664,0.338855421686747
atanas,0,42,15s,15,middle,8,664,0.37801204819277107,0.6927710843373494,0.5277850859527058,664,0.3990963855421687
atanas,0,42,15s,15,end,8,664,0.31626506024096385,0.6746987951807228,0.4848158518229441,664,0.3373493975903614
atanas,0,42,30s,30,start,8,664,0.3674698795180723,0.7078313253012049,0.5192668690123305,664,0.3614457831325301
atanas,0,42,30s,30,middle,8,664,0.3990963855421687,0.7183734939759037,0.5479996826024499,664,0.42620481927710846
atanas,0,42,30s,30,end,8,664,0.3569277108433735,0.7183734939759037,0.5198802523416453,664,0.35993975903614456
atanas,0,42,60s,60,start,8,664,0.37650602409638556,0.7409638554216867,0.536938857448834,664,0.375
atanas,0,42,60s,60,middle,8,664,0.4367469879518072,0.7439759036144579,0.57962176179037,664,0.44728915662650603
atanas,0,42,60s,60,end,8,664,0.3493975903614458,0.7289156626506024,0.526112254366997,664,0.3855421686746988
atanas,0,42,120s,120,start,8,664,0.4367469879518072,0.786144578313253,0.5829207395833433,664,0.42771084337349397
atanas,0,42,120s,120,middle,8,664,0.48042168674698793,0.8102409638554217,0.624779806639037,664,0.49096385542168675
atanas,0,42,120s,120,end,8,664,0.42168674698795183,0.7876506024096386,0.5834279807516406,664,0.43373493975903615
atanas,0,42,240s,240,start,8,664,0.5286144578313253,0.8463855421686747,0.6653919806385112,664,0.5301204819277109
atanas,0,42,240s,240,middle,8,664,0.5587349397590361,0.8614457831325302,0.6934248889904425,664,0.5512048192771084
atanas,0,42,240s,240,end,8,664,0.48493975903614456,0.8343373493975904,0.6407460723882262,664,0.4924698795180723
atanas,0,42,480s,480,start,8,664,0.6219879518072289,0.8855421686746988,0.7387129277985144,664,0.625
atanas,0,42,480s,480,middle,8,664,0.6310240963855421,0.8975903614457831,0.75007345401619,664,0.6370481927710844
atanas,0,42,480s,480,end,8,664,0.6129518072289156,0.8975903614457831,0.7363428989220596,664,0.6385542168674698
atanas,0,42,900s,900,start,8,664,0.6942771084337349,0.9171686746987951,0.7911806893263327,664,0.6942771084337349
atanas,0,42,900s,900,middle,8,664,0.6897590361445783,0.9156626506024096,0.7880771055055883,664,0.6867469879518072
atanas,0,42,900s,900,end,8,664,0.7108433734939759,0.9171686746987951,0.803494604081942,664,0.7048192771084337
atanas,0,42,full,,full,8,664,0.7078313253012049,0.9156626506024096,0.7990632269813798,664,0.7063253012048193
