dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
atanas,2,2022-07-15-12,15s,start,15,0.0,15.025471956061665,1600,25,1.666614218428763
atanas,2,2022-07-15-12,15s,middle,15,474.0398845395539,15.00956205005059,1600,25,1.666614218428763
atanas,2,2022-07-15-12,15s,end,15,948.0888601112529,14.42090737289982,1600,24,1.666614218428763
atanas,2,2022-07-15-12,30s,start,30,0.0,30.075944312440697,1600,50,1.666614218428763
atanas,2,2022-07-15-12,30s,middle,30,466.81465771823423,29.47592525021173,1600,49,1.666614218428763
atanas,2,2022-07-15-12,30s,end,30,933.0292961768573,29.480471307295375,1600,49,1.666614218428763
atanas,2,2022-07-15-12,60s,start,60,0.0,60.1541616586037,1600,100,1.666614218428763
atanas,2,2022-07-15-12,60s,middle,60,451.7641849913052,59.57459786446998,1600,99,1.666614218428763
atanas,2,2022-07-15-12,60s,end,60,902.964715951297,59.54505153285572,1600,99,1.666614218428763
atanas,2,2022-07-15-12,120s,start,120,0.0,120.29923192923889,1600,200,1.666614218428763
atanas,2,2022-07-15-12,120s,middle,120,421.7132415076485,119.70375841204077,1600,199,1.666614218428763
atanas,2,2022-07-15-12,120s,end,120,842.8114634580561,119.6983040260966,1600,199,1.666614218428763
atanas,2,2022-07-15-12,240s,start,240,0.0,240.0175365176401,1600,399,1.666614218428763
atanas,2,2022-07-15-12,240s,middle,240,361.52271520730574,240.04617354017682,1600,399,1.666614218428763
atanas,2,2022-07-15-12,240s,end,240,723.0927044108394,239.41706307331333,1600,398,1.666614218428763
atanas,2,2022-07-15-12,480s,start,480,0.0,480.04007322667167,1600,798,1.666614218428763
atanas,2,2022-07-15-12,480s,middle,480,241.83259331341833,479.43096269579837,1600,797,1.666614218428763
atanas,2,2022-07-15-12,480s,end,480,483.0651678642025,479.44459961995017,1600,797,1.666614218428763
atanas,2,2022-07-15-12,900s,start,900,0.0,900.5464584106812,1600,1497,1.666614218428763
atanas,2,2022-07-15-12,900s,middle,900,31.27598199225031,900.5582767902524,1600,1497,1.666614218428763
atanas,2,2022-07-15-12,900s,end,900,62.52923605230171,899.980531431851,1600,1496,1.666614218428763
atanas,2,2022-07-15-12,full,full,,0.0,962.5097674841527,1600,1600,1.666614218428763
atanas,2,2023-01-06-01,15s,start,15,0.0,15.025471869885223,1615,25,1.666614254078712
atanas,2,2023-01-06-01,15s,middle,15,478.84003517526435,14.44795347834588,1615,24,1.666614254078712
atanas,2,2023-01-06-01,15s,end,15,957.1050521294819,14.425453062547604,1615,24,1.666614254078712
atanas,2,2023-01-06-01,30s,start,30,0.0,30.05094368880964,1615,50,1.666614254078712
atanas,2,2023-01-06-01,30s,middle,30,471.01478944765404,30.100945076701464,1615,50,1.666614254078712
atanas,2,2023-01-06-01,30s,end,30,942.0545794349164,29.475925757113146,1615,49,1.666614254078712
atanas,2,2023-01-06-01,60s,start,60,0.0,60.15188877013861,1615,100,1.666614254078712
atanas,2,2023-01-06-01,60s,middle,60,455.98931773530785,60.15397207150818,1615,100,1.666614254078712
atanas,2,2023-01-06-01,60s,end,60,911.9786351376679,59.55187005436164,1615,99,1.666614254078712
atanas,2,2023-01-06-01,120s,start,120,0.0,120.28786788877915,1615,200,1.666614254078712
atanas,2,2023-01-06-01,120s,middle,120,425.890645234962,120.31514149453142,1615,200,1.666614254078712
atanas,2,2023-01-06-01,120s,end,120,851.8131098073209,119.71739538470865,1615,199,1.666614254078712
atanas,2,2023-01-06-01,240s,start,240,0.0,240.03253679492627,1615,399,1.666614254078712
atanas,2,2023-01-06-01,240s,middle,240,366.36150325089693,239.40751743494184,1615,398,1.666614254078712
atanas,2,2023-01-06-01,240s,end,240,732.0979872246971,239.4325179673324,1615,398,1.666614254078712
atanas,2,2023-01-06-01,480s,start,480,0.0,480.06507355495705,1615,798,1.666614254078712
atanas,2,2023-01-06-01,480s,middle,480,246.04772574926028,480.1000746168138,1615,798,1.666614254078712
atanas,2,2023-01-06-01,480s,end,480,492.0904512858251,479.4400539062044,1615,797,1.666614254078712
atanas,2,2023-01-06-01,900s,start,900,0.0,900.530548592069,1615,1497,1.666614254078712
atanas,2,2023-01-06-01,900s,middle,900,36.10113340080716,899.9157567560032,1615,1496,1.666614254078712
atanas,2,2023-01-06-01,900s,end,900,71.55451946839457,899.975985723635,1615,1496,1.666614254078712
atanas,2,2023-01-06-01,full,full,,0.0,971.5305051920295,1615,1615,1.666614254078712
atanas,2,2023-01-06-08,15s,start,15,0.0,15.025471786095295,1615,25,1.6666142588482067
atanas,2,2023-01-06-08,15s,middle,15,478.8400352182798,14.425452909606975,1615,24,1.6666142588482067
atanas,2,2023-01-06-08,15s,end,15,957.1050522858277,14.425452940980904,1615,24,1.6666142588482067
atanas,2,2023-01-06-08,30s,start,30,0.0,30.075944431126118,1615,50,1.6666142588482067
atanas,2,2023-01-06-08,30s,middle,30,471.0147893753601,30.100945219455753,1615,50,1.6666142588482067
atanas,2,2023-01-06-08,30s,end,30,942.0595798186841,29.470925408124458,1615,49,1.6666142588482067
atanas,2,2023-01-06-08,60s,start,60,0.0,60.15188879618654,1615,100,1.6666142588482067
atanas,2,2023-01-06-08,60s,middle,60,455.98931761068525,60.15188870741986,1615,100,1.6666142588482067
atanas,2,2023-01-06-08,60s,end,60,911.9581799957668,59.57232523104176,1615,99,1.6666142588482067
atanas,2,2023-01-06-08,120s,start,120,0.0,120.30377750610933,1615,200,1.6666142588482067
atanas,2,2023-01-06-08,120s,middle,120,425.91337331937393,120.30377741728444,1615,200,1.6666142588482067
atanas,2,2023-01-06-08,120s,end,120,851.8267465521349,119.70375867467374,1615,199,1.6666142588482067
atanas,2,2023-01-06-08,240s,start,240,0.0,240.01503639487782,1615,399,1.6666142588482067
atanas,2,2023-01-06-08,240s,middle,240,366.361503467022,239.40751715830993,1615,398,1.6666142588482067
atanas,2,2023-01-06-08,240s,end,240,732.097987132438,239.4325180943706,1615,398,1.6666142588482067
atanas,2,2023-01-06-08,480s,start,480,0.0,480.0491640595719,1615,798,1.6666142588482067
atanas,2,2023-01-06-08,480s,middle,480,246.03272514557466,480.0400729466346,1615,798,1.6666142588482067
atanas,2,2023-01-06-08,480s,end,480,492.06545043428196,479.46505479252664,1615,797,1.6666142588482067
atanas,2,2023-01-06-08,900s,start,900,0.0,900.5305486704456,1615,1497,1.6666142588482067
atanas,2,2023-01-06-08,900s,middle,900,36.087496831431054,899.9623488506186,1615,1496,1.6666142588482067
atanas,2,2023-01-06-08,900s,end,900,71.59770255576586,899.9328026710427,1615,1496,1.6666142588482067
atanas,2,2023-01-06-08,full,full,,0.0,971.5305052268086,1615,1615,1.6666142588482067
atanas,2,2023-01-09-08,15s,start,15,0.0,15.025472234236076,1615,25,1.666614215518563
atanas,2,2023-01-09-08,15s,middle,15,478.8450355405221,14.445453607128002,1615,24,1.666614215518563
atanas,2,2023-01-09-08,15s,end,15,957.105052343104,14.450453885947354,1615,24,1.666614215518563
atanas,2,2023-01-09-08,30s,start,30,0.0,30.064580629812554,1615,50,1.666614215518563
atanas,2,2023-01-09-08,30s,middle,30,471.0397904093843,30.100945160840638,1615,50,1.666614215518563
atanas,2,2023-01-09-08,30s,end,30,942.0704893541988,29.48501687485259,1615,49,1.666614215518563
atanas,2,2023-01-09-08,60s,start,60,0.0,60.151889001601376,1615,100,1.666614215518563
