dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
atanas,0,42,15s,15,3,8,664,0.5346385542168675,0.06174698795180722,0.33785140562248994,0.6757028112449799,0.49537639740312195,0.35843373493975905
atanas,0,42,30s,30,3,8,664,0.5612449799196787,0.042168674698795205,0.3744979919678715,0.714859437751004,0.529048934652142,0.38253012048192775
atanas,0,42,60s,60,3,8,664,0.5768072289156626,0.08734939759036142,0.38755020080321284,0.7379518072289156,0.5475576245354002,0.40261044176706823
atanas,0,42,120s,120,3,8,664,0.6229919678714859,0.0587349397590361,0.446285140562249,0.7946787148594376,0.5970428423246736,0.4508032128514056
atanas,0,42,240s,240,3,8,664,0.6897590361445783,0.07379518072289154,0.5240963855421686,0.8473895582329317,0.6665209806723933,0.5245983935742973
atanas,0,42,480s,480,3,8,664,0.769578313253012,0.01807228915662651,0.6219879518072289,0.893574297188755,0.741709760245588,0.6335341365461847
atanas,0,42,900s,900,3,8,664,0.8910642570281125,0.02108433734939752,0.6982931726907631,0.9166666666666666,0.7942507996379543,0.695281124497992
atanas,0,42,full,,1,8,664,1.0,0.0,0.7078313253012049,0.9156626506024096,0.7990632269813798,0.7063253012048193
atanas,1,42,15s,15,3,8,669,0.478824115595416,0.004484304932735439,0.33233682112605883,0.6571998006975586,0.481190202570491,0.3393124065769806
atanas,1,42,30s,30,3,8,669,0.5117090184354758,0.03139013452914802,0.35974090682610865,0.7080219232685602,0.513444702100382,0.36472346786248133
atanas,1,42,60s,60,3,8,669,0.515695067264574,0.025411061285500747,0.4005979073243647,0.7548579970104634,0.556666524526371,0.4120577977080219
atanas,1,42,120s,120,3,8,669,0.5450921773791728,0.04035874439461884,0.45440956651718983,0.7977080219232686,0.6038103495385699,0.45042351768809175
atanas,1,42,240s,240,3,8,669,0.6163428001993024,0.05530642750373693,0.5949177877428998,0.8779272546088691,0.7206315910405987,0.5949177877428998
atanas,1,42,480s,480,3,8,669,0.7643248629795715,0.014947683109118093,0.7563527653213752,0.927752864972596,0.830856253892201,0.7508719481813652
atanas,1,42,900s,900,3,8,669,0.8684603886397608,0.026905829596412634,0.7987045341305431,0.9417040358744394,0.8606690361333112,0.7957149975087194
atanas,1,42,full,,1,8,669,1.0,0.0,0.8026905829596412,0.9402092675635276,0.8649249296358548,0.8086696562032885
atanas,2,42,15s,15,3,8,656,0.39176829268292684,0.05335365853658536,0.2591463414634146,0.5721544715447154,0.4025850743755903,0.25152439024390244
atanas,2,42,30s,30,3,8,656,0.42632113821138207,0.04878048780487804,0.28252032520325204,0.5924796747967479,0.42448755641099895,0.27845528455284557
atanas,2,42,60s,60,3,8,656,0.4273373983739837,0.03810975609756101,0.30640243902439024,0.6021341463414634,0.44124941057138817,0.28760162601626016
atanas,2,42,120s,120,3,8,656,0.4375,0.0548780487804878,0.3038617886178862,0.6092479674796748,0.44565655298342616,0.2916666666666667
atanas,2,42,240s,240,3,8,656,0.4974593495934959,0.07469512195121952,0.43089430894308944,0.7179878048780489,0.5580510331214454,0.4283536585365854
atanas,2,42,480s,480,3,8,656,0.6239837398373984,0.047256097560975596,0.5604674796747968,0.7759146341463414,0.6557001108693806,0.5503048780487805
atanas,2,42,900s,900,3,8,656,0.7865853658536586,0.01981707317073178,0.6422764227642276,0.7977642276422764,0.7143834820837044,0.644308943089431
atanas,2,42,full,,1,8,656,1.0,0.0,0.6234756097560976,0.8033536585365854,0.7061475778248014,0.6234756097560976
atanas,3,42,15s,15,3,7,610,0.41420765027322404,0.06393442622950823,0.22459016393442624,0.5038251366120218,0.3587986245740738,0.21693989071038253
atanas,3,42,30s,30,3,7,610,0.4437158469945355,0.045901639344262335,0.27595628415300544,0.5825136612021858,0.4201397110941116,0.27540983606557373
atanas,3,42,60s,60,3,7,610,0.4672131147540984,0.008196721311475419,0.3256830601092896,0.6726775956284152,0.4786991025139237,0.31857923497267754
atanas,3,42,120s,120,3,7,610,0.49234972677595623,0.03770491803278686,0.3781420765027323,0.7229508196721312,0.5352118968372236,0.3693989071038251
atanas,3,42,240s,240,3,7,610,0.5672131147540984,0.019672131147541072,0.5109289617486339,0.8420765027322403,0.6534604141409589,0.5076502732240438
atanas,3,42,480s,480,3,7,610,0.7213114754098361,0.014754098360655776,0.6879781420765028,0.9153005464480874,0.7868758505248779,0.6836065573770492
atanas,3,42,900s,900,3,7,610,0.826775956284153,0.00983606557377048,0.7721311475409837,0.9371584699453552,0.8445429272115357,0.7754098360655739
atanas,3,42,full,,1,7,610,1.0,0.0,0.7901639344262295,0.9377049180327869,0.8558736611404125,0.7918032786885246
