dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
atanas,0,42,15s,15,start,8,664,0.3192771084337349,0.6596385542168675,0.47352825443371577,664,0.338855421686747
atanas,0,42,15s,15,middle,8,664,0.37801204819277107,0.6927710843373494,0.5277850859527058,664,0.3990963855421687
atanas,0,42,15s,15,end,8,664,0.31626506024096385,0.6746987951807228,0.4848158518229441,664,0.3373493975903614
atanas,0,42,30s,30,start,8,664,0.3674698795180723,0.7078313253012049,0.5192668690123305,664,0.3614457831325301
atanas,0,42,30s,30,middle,8,664,0.3990963855421687,0.7183734939759037,0.5479996826024499,664,0.42620481927710846
atanas,0,42,30s,30,end,8,664,0.3569277108433735,0.7183734939759037,0.5198802523416453,664,0.35993975903614456
atanas,0,42,60s,60,start,8,664,0.37650602409638556,0.7409638554216867,0.536938857448834,664,0.375
atanas,0,42,60s,60,middle,8,664,0.4367469879518072,0.7439759036144579,0.57962176179037,664,0.44728915662650603
atanas,0,42,60s,60,end,8,664,0.3493975903614458,0.7289156626506024,0.526112254366997,664,0.3855421686746988
atanas,0,42,120s,120,start,8,664,0.4367469879518072,0.786144578313253,0.5829207395833433,664,0.42771084337349397
atanas,0,42,120s,120,middle,8,664,0.48042168674698793,0.8102409638554217,0.624779806639037,664,0.49096385542168675
atanas,0,42,120s,120,end,8,664,0.42168674698795183,0.7876506024096386,0.5834279807516406,664,0.43373493975903615
atanas,0,42,240s,240,start,8,664,0.5286144578313253,0.8463855421686747,0.6653919806385112,664,0.5301204819277109
atanas,0,42,240s,240,middle,8,664,0.5587349397590361,0.8614457831325302,0.6934248889904425,664,0.5512048192771084
atanas,0,42,240s,240,end,8,664,0.48493975903614456,0.8343373493975904,0.6407460723882262,664,0.4924698795180723
atanas,0,42,480s,480,start,8,664,0.6219879518072289,0.8855421686746988,0.7387129277985144,664,0.625
atanas,0,42,480s,480,middle,8,664,0.6310240963855421,0.8975903614457831,0.75007345401619,664,0.6370481927710844
atanas,0,42,480s,480,end,8,664,0.6129518072289156,0.8975903614457831,0.7363428989220596,664,0.6385542168674698
atanas,0,42,900s,900,start,8,664,0.6942771084337349,0.9171686746987951,0.7911806893263327,664,0.6942771084337349
atanas,0,42,900s,900,middle,8,664,0.6897590361445783,0.9156626506024096,0.7880771055055883,664,0.6867469879518072
atanas,0,42,900s,900,end,8,664,0.7108433734939759,0.9171686746987951,0.803494604081942,664,0.7048192771084337
atanas,0,42,full,,full,8,664,0.7078313253012049,0.9156626506024096,0.7990632269813798,664,0.7063253012048193
atanas,1,42,15s,15,start,8,669,0.33183856502242154,0.6412556053811659,0.47507683182010113,669,0.34080717488789236
atanas,1,42,15s,15,middle,8,669,0.33482810164424515,0.6651718983557549,0.4834871094110959,669,0.33183856502242154
atanas,1,42,15s,15,end,8,669,0.3303437967115097,0.6651718983557549,0.48500666648027585,669,0.3452914798206278
atanas,1,42,30s,30,start,8,669,0.34080717488789236,0.6846038863976084,0.4955762196307329,669,0.3542600896860987
atanas,1,42,30s,30,middle,8,669,0.3721973094170404,0.7309417040358744,0.5248015709023094,669,0.375186846038864
atanas,1,42,30s,30,end,8,669,0.3662182361733931,0.7085201793721974,0.5199563157681035,669,0.36472346786248133
atanas,1,42,60s,60,start,8,669,0.3841554559043348,0.7249626307922272,0.5380068136823889,669,0.4020926756352765
atanas,1,42,60s,60,middle,8,669,0.4080717488789238,0.7623318385650224,0.5646986440801564,669,0.414050822122571
atanas,1,42,60s,60,end,8,669,0.40956651718983555,0.7772795216741405,0.5672941158165679,669,0.4200298953662182
atanas,1,42,120s,120,start,8,669,0.4289985052316891,0.7698056801195815,0.5785547975559755,669,0.4289985052316891
atanas,1,42,120s,120,middle,8,669,0.4648729446935725,0.8071748878923767,0.6162184516057303,669,0.4663677130044843
atanas,1,42,120s,120,end,8,669,0.4693572496263079,0.8161434977578476,0.6166577994540039,669,0.45590433482810166
atanas,1,42,240s,240,start,8,669,0.5680119581464873,0.874439461883408,0.702556141104959,669,0.5605381165919282
atanas,1,42,240s,240,middle,8,669,0.6233183856502242,0.8819133034379671,0.7395058793860849,669,0.624813153961136
atanas,1,42,240s,240,end,8,669,0.593423019431988,0.8774289985052317,0.7198327526307524,669,0.5994020926756353
atanas,1,42,480s,480,start,8,669,0.750373692077728,0.9282511210762332,0.8253589038607474,669,0.7428998505231689
atanas,1,42,480s,480,middle,8,669,0.7653213751868461,0.9282511210762332,0.8368617945968548,669,0.7608370702541106
atanas,1,42,480s,480,end,8,669,0.7533632286995515,0.9267563527653214,0.8303480632190009,669,0.7488789237668162
atanas,1,42,900s,900,start,8,669,0.7832585949177877,0.9372197309417041,0.8509708118677589,669,0.7832585949177877
atanas,1,42,900s,900,middle,8,669,0.8101644245142003,0.9431988041853513,0.8675640584529107,669,0.8101644245142003
atanas,1,42,900s,900,end,8,669,0.8026905829596412,0.9446935724962631,0.863472238079264,669,0.7937219730941704
atanas,1,42,full,,full,8,669,0.8026905829596412,0.9402092675635276,0.8649249296358548,669,0.8086696562032885
atanas,2,42,15s,15,start,8,656,0.24542682926829268,0.5685975609756098,0.3896300201605356,656,0.24542682926829268
atanas,2,42,15s,15,middle,8,656,0.2926829268292683,0.5884146341463414,0.4313238016634928,656,0.2652439024390244
atanas,2,42,15s,15,end,8,656,0.23932926829268292,0.5594512195121951,0.38680140130274254,656,0.24390243902439024
atanas,2,42,30s,30,start,8,656,0.2774390243902439,0.5884146341463414,0.4206402880287727,656,0.26676829268292684
atanas,2,42,30s,30,middle,8,656,0.3094512195121951,0.6219512195121951,0.44863550009508035,656,0.3079268292682927
atanas,2,42,30s,30,end,8,656,0.2606707317073171,0.5670731707317073,0.40418688110914375,656,0.2606707317073171
atanas,2,42,60s,60,start,8,656,0.2865853658536585,0.5960365853658537,0.4280042695189855,656,0.26676829268292684
atanas,2,42,60s,60,middle,8,656,0.3246951219512195,0.625,0.4595364258571174,656,0.3018292682926829
atanas,2,42,60s,60,end,8,656,0.3079268292682927,0.5853658536585366,0.4362075363380615,656,0.2942073170731707
atanas,2,42,120s,120,start,8,656,0.3018292682926829,0.5990853658536586,0.4411727795484564,656,0.2865853658536585
atanas,2,42,120s,120,middle,8,656,0.3323170731707317,0.6417682926829268,0.47258075829925744,656,0.3246951219512195
atanas,2,42,120s,120,end,8,656,0.2774390243902439,0.586890243902439,0.42321612110256457,656,0.26371951219512196
atanas,2,42,240s,240,start,8,656,0.4344512195121951,0.711890243902439,0.559315572683922,656,0.4344512195121951
atanas,2,42,240s,240,middle,8,656,0.46646341463414637,0.7423780487804879,0.5855906231674282,656,0.4573170731707317
atanas,2,42,240s,240,end,8,656,0.39176829268292684,0.6996951219512195,0.5292469035129863,656,0.3932926829268293
