dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
rld,0,42,15s,15,start,19,270,0.17407407407407408,0.32592592592592595,0.2643223197852109,270,0.12222222222222222
rld,0,42,15s,15,middle,19,270,0.15555555555555556,0.3,0.23809280460875107,270,0.12962962962962962
rld,0,42,15s,15,end,19,270,0.15185185185185185,0.2851851851851852,0.2409763299127059,270,0.12962962962962962
rld,0,42,30s,30,start,19,270,0.17777777777777778,0.3851851851851852,0.27639284231693223,270,0.14444444444444443
rld,0,42,30s,30,middle,19,270,0.17407407407407408,0.35555555555555557,0.2716208250296137,270,0.1259259259259259
rld,0,42,30s,30,end,19,270,0.18518518518518517,0.34444444444444444,0.27500931440121207,270,0.14074074074074075
rld,0,42,60s,60,start,19,270,0.17407407407407408,0.3592592592592593,0.27195358854315566,270,0.1259259259259259
rld,0,42,60s,60,middle,19,270,0.2111111111111111,0.3851851851851852,0.3072445989047381,270,0.18888888888888888
rld,0,42,60s,60,end,19,270,0.22592592592592592,0.4074074074074074,0.3196492941691819,270,0.17777777777777778
rld,0,42,120s,120,start,19,270,0.18518518518518517,0.34444444444444444,0.2756629968348039,270,0.16296296296296298
rld,0,42,120s,120,middle,19,270,0.21481481481481482,0.4185185185185185,0.3182789433901603,270,0.17407407407407408
rld,0,42,120s,120,end,19,270,0.2111111111111111,0.3814814814814815,0.3000514550965596,270,0.17407407407407408
rld,0,42,240s,240,start,19,270,0.2222222222222222,0.4185185185185185,0.3225566087659512,270,0.16666666666666666
rld,0,42,240s,240,middle,19,270,0.27037037037037037,0.4777777777777778,0.37824037448327885,270,0.24444444444444444
rld,0,42,240s,240,end,19,270,0.2962962962962963,0.48148148148148145,0.39023805328091465,270,0.2962962962962963
rld,0,42,480s,480,start,19,270,0.3925925925925926,0.6148148148148148,0.4946994804099902,270,0.36666666666666664
rld,0,42,480s,480,middle,19,270,0.44074074074074077,0.6518518518518519,0.5418193150631038,270,0.42592592592592593
rld,0,42,480s,480,end,19,270,0.45185185185185184,0.6185185185185185,0.5422294849844239,270,0.42962962962962964
rld,0,42,900s,900,start,19,270,0.5111111111111111,0.7185185185185186,0.6087637637788277,270,0.48518518518518516
rld,0,42,900s,900,middle,19,270,0.5370370370370371,0.7185185185185186,0.6210377078030577,270,0.5185185185185185
rld,0,42,900s,900,end,19,270,0.5444444444444444,0.7111111111111111,0.6271628080709679,270,0.5222222222222223
rld,0,42,full,,full,19,270,0.5814814814814815,0.7148148148148148,0.6530861910638435,270,0.5444444444444444
