dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
rld,1,20240902-18-09-07,15s,start,15,0.0,15.359730133333338,1500,16,1.0416849684928438
rld,1,20240902-18-09-07,15s,middle,15,713.2674680666665,14.39974700000002,1500,15,1.0416849684928438
rld,1,20240902-18-09-07,15s,end,15,1425.574953,14.39974700000002,1500,15,1.0416849684928438
rld,1,20240902-18-09-07,30s,start,30,0.0,30.71946026666667,1500,32,1.0416849684928438
rld,1,20240902-18-09-07,30s,middle,30,705.587603,29.75947713333332,1500,31,1.0416849684928438
rld,1,20240902-18-09-07,30s,end,30,1410.2152228666666,29.759477133333434,1500,31,1.0416849684928438
rld,1,20240902-18-09-07,60s,start,60,0.0,60.4789374,1500,63,1.0416849684928438
rld,1,20240902-18-09-07,60s,middle,60,690.2278728666665,60.478937400000035,1500,63,1.0416849684928438
rld,1,20240902-18-09-07,60s,end,60,1380.4557457333333,59.51895426666678,1500,62,1.0416849684928438
rld,1,20240902-18-09-07,120s,start,120,0.0,120.95787479999998,1500,126,1.0416849684928438
rld,1,20240902-18-09-07,120s,middle,120,660.4683957333333,119.99789166666662,1500,125,1.0416849684928438
rld,1,20240902-18-09-07,120s,end,120,1319.9768083333333,119.99789166666673,1500,125,1.0416849684928438
rld,1,20240902-18-09-07,240s,start,240,0.0,240.95576646666666,1500,251,1.0416849684928438
rld,1,20240902-18-09-07,240s,middle,240,599.9894583333332,240.95576646666663,1500,251,1.0416849684928438
rld,1,20240902-18-09-07,240s,end,240,1199.9789166666667,239.99578333333338,1500,250,1.0416849684928438
rld,1,20240902-18-09-07,480s,start,480,0.0,480.95154979999995,1500,501,1.0416849684928438
rld,1,20240902-18-09-07,480s,middle,480,479.99156666666664,480.95154979999984,1500,501,1.0416849684928438
rld,1,20240902-18-09-07,480s,end,480,959.9831333333332,479.9915666666669,1500,500,1.0416849684928438
rld,1,20240902-18-09-07,900s,start,900,0.0,900.4641790666666,1500,938,1.0416849684928438
rld,1,20240902-18-09-07,900s,middle,900,270.7152436,899.5041959333334,1500,937,1.0416849684928438
rld,1,20240902-18-09-07,900s,end,900,540.4705040666665,899.5041959333336,1500,937,1.0416849684928438
rld,1,20240902-18-09-07,full,full,,0.0,1439.9747,1500,1500,1.0416849684928438
rld,1,20240904-16-13-38,15s,start,15,0.0,15.359715200000013,1500,16,1.0416859812608883
rld,1,20240904-16-13-38,15s,middle,15,713.2667746,14.399733000000083,1500,15,1.0416859812608883
rld,1,20240904-16-13-38,15s,end,15,1425.5735670000001,14.39973299999997,1500,15,1.0416859812608883
rld,1,20240904-16-13-38,30s,start,30,0.0,30.719430400000014,1500,32,1.0416859812608883
rld,1,20240904-16-13-38,30s,middle,30,705.586917,29.759448200000065,1500,31,1.0416859812608883
rld,1,20240904-16-13-38,30s,end,30,1410.2138518,29.75944820000018,1500,31,1.0416859812608883
rld,1,20240904-16-13-38,60s,start,60,0.0,60.478878600000016,1500,63,1.0416859812608883
rld,1,20240904-16-13-38,60s,middle,60,690.2272018,60.47887860000003,1500,63,1.0416859812608883
rld,1,20240904-16-13-38,60s,end,60,1380.4544036,59.51889640000013,1500,62,1.0416859812608883
rld,1,20240904-16-13-38,120s,start,120,0.0,120.95775720000002,1500,126,1.0416859812608883
rld,1,20240904-16-13-38,120s,middle,120,660.4677536,119.99777500000005,1500,125,1.0416859812608883
rld,1,20240904-16-13-38,120s,end,120,1319.975525,119.99777500000005,1500,125,1.0416859812608883
rld,1,20240904-16-13-38,240s,start,240,0.0,240.95553220000002,1500,251,1.0416859812608883
rld,1,20240904-16-13-38,240s,middle,240,599.988875,240.9555322,1500,251,1.0416859812608883
rld,1,20240904-16-13-38,240s,end,240,1199.97775,239.9955500000001,1500,250,1.0416859812608883
rld,1,20240904-16-13-38,480s,start,480,0.0,480.95108220000003,1500,501,1.0416859812608883
rld,1,20240904-16-13-38,480s,middle,480,479.9911,480.95108220000003,1500,501,1.0416859812608883
rld,1,20240904-16-13-38,480s,end,480,959.9822,479.9911000000001,1500,500,1.0416859812608883
rld,1,20240904-16-13-38,900s,start,900,0.0,900.4633036,1500,938,1.0416859812608883
rld,1,20240904-16-13-38,900s,middle,900,270.7149804,899.5033214,1500,937,1.0416859812608883
rld,1,20240904-16-13-38,900s,end,900,540.4699786,899.5033214000001,1500,937,1.0416859812608883
rld,1,20240904-16-13-38,full,full,,0.0,1439.9733,1500,1500,1.0416859812608883
rld,1,20240904-17-29-27,15s,start,15,0.0,15.359767466666696,1500,16,1.0416824365813016
rld,1,20240904-17-29-27,15s,middle,15,713.2692017333334,14.39978199999996,1500,15,1.0416824365813016
rld,1,20240904-17-29-27,15s,end,15,1425.578418,14.39978199999996,1500,15,1.0416824365813016
rld,1,20240904-17-29-27,30s,start,30,0.0,30.719534933333364,1500,32,1.0416824365813016
rld,1,20240904-17-29-27,30s,middle,30,705.589318,29.759549466666613,1500,31,1.0416824365813016
rld,1,20240904-17-29-27,30s,end,30,1410.2186505333334,29.759549466666613,1500,31,1.0416824365813016
rld,1,20240904-17-29-27,60s,start,60,0.0,60.47908440000003,1500,63,1.0416824365813016
rld,1,20240904-17-29-27,60s,middle,60,690.2295505333334,60.47908439999992,1500,63,1.0416824365813016
rld,1,20240904-17-29-27,60s,end,60,1380.4591010666668,59.519098933333225,1500,62,1.0416824365813016
