dataset,duration_key,duration_seconds,folds,positions_per_fold,top1_real_mean,top1_real_sd,top5_real_mean,top5_real_sd,mrr_real_mean,mrr_real_sd,hungarian_accuracy_mean,hungarian_accuracy_sd,prediction_pair_agreement_mean,prediction_pair_agreement_sd,position_top1_range_mean,position_top1_range_sd,top1_retention_vs_full_mean,top1_retention_vs_full_sd
atanas,15s,15,5,3,0.28566765237581365,0.04863550713736707,0.5972156147781748,0.06983726747206748,0.4308453503197726,0.05679015507001228,0.28605168623997684,0.06026732443648962,0.442774792930119,0.062235340784498536,0.041613859163515135,0.026034378031673907,0.3850422298190976,0.0759235417330032
atanas,30s,30,5,3,0.31669912999884187,0.04661884578474703,0.6421063087435795,0.06426360414564757,0.4650254769164916,0.05203725986499637,0.31848888090876865,0.051076533202117524,0.4709768110057223,0.0633159391277766,0.03724884193990117,0.012617159719867106,0.4267083062366342,0.07572739587674429
atanas,60s,60,5,3,0.34700362270702506,0.04375347502942767,0.684238984637378,0.06262459959923154,0.4988632130916521,0.05065357240297471,0.34734494284239636,0.05618958418724244,0.48731781772636634,0.05967184729363108,0.038032699859271046,0.029705824274570337,0.46666696246811057,0.06735734998398127
atanas,120s,120,5,3,0.38800725399265745,0.06309513040040894,0.728834180618872,0.07664875299509416,0.5397528906646205,0.06476107179064666,0.3813073424768369,0.06920557126096043,0.51625889660936,0.0708523393631964,0.046191304006806544,0.00983117190500711,0.5194921064887985,0.07802814937092477
atanas,240s,240,5,3,0.5145133698646436,0.058243991950243955,0.8221607849196598,0.06124882958201024,0.6500939123443396,0.05859088520907299,0.5129043499478076,0.05927607136661471,0.5926491318240561,0.07017806040188387,0.05025842038291741,0.025570843886632375,0.688429989163864,0.053715041654019684
atanas,480s,480,5,3,0.6676376823968209,0.07708562185430816,0.8828685340176043,0.06119354838629907,0.7628733151259626,0.06792129517641941,0.6647437004300213,0.0766439461456998,0.7244485162665038,0.059320386478080044,0.02227935605973379,0.014025695175634092,0.891296675192681,0.031171505182673073
atanas,900s,900,5,3,0.7414736358944797,0.06871858989198297,0.9033831753885408,0.05989720664716487,0.8132848516311096,0.061053371735146675,0.7408991177118851,0.06782863316860407,0.8472995067089819,0.041038526369226794,0.019129315802546933,0.006172555340254655,0.9915367472213703,0.023728762382039022
atanas,full,,5,1,0.749153076086016,0.08261294347170899,0.9033468190779947,0.056922000564799,0.818551169948839,0.06870339656834126,0.7500482225257015,0.08366742212859264,1.0,0.0,0.0,0.0,1.0,0.0
rld,15s,15,5,3,0.17878498909943877,0.019244811379883812,0.35679079072384334,0.042741015731731315,0.2742904619688901,0.02437622555239279,0.15390000199364215,0.019328242761753593,0.2942488365123045,0.02020336918355225,0.035464913912744166,0.019700618775377706,0.28018606705468196,0.030343392278796816
rld,30s,30,5,3,0.19738738387111948,0.01937195140039907,0.3931692247077076,0.031847081138469915,0.2968928965240362,0.02153718203157721,0.17594016288813905,0.027998324860730905,0.2712791558138731,0.039366475294937184,0.022411373922691612,0.016337626745552898,0.3088359518961753,0.0216491950744878
rld,60s,60,5,3,0.20453403518245739,0.018556663165076072,0.3991896013827594,0.027868547248541722,0.30229955318246216,0.021228596934978552,0.17980172162477942,0.02320053426171838,0.2973661167712608,0.015483746716290983,0.04469461292025801,0.023005040669236934,0.320452001041745,0.027248523261638125
rld,120s,120,5,3,0.24053308597995743,0.03408124412760935,0.4470201424182415,0.06601915396037465,0.34222872906950763,0.042251968575901085,0.21500309538722978,0.04294088628190573,0.3563439124706789,0.028407215684903734,0.04092610713791255,0.012833358930942632,0.37591814142028335,0.04231982504535824
rld,240s,240,5,3,0.3074012740311877,0.03552232368293487,0.5265805999857023,0.0566516379304525,0.4137150555327521,0.04181848126113936,0.2812522401807768,0.03648836998716173,0.41013676038534647,0.02962103784786948,0.07550552295539581,0.015467365308767675,0.4814645887879417,0.0519525196407321
rld,480s,480,5,3,0.4772580697298971,0.027584355370871515,0.6835228788695655,0.0382237906060938,0.5742947322891088,0.028032444129927787,0.44834033915592125,0.024883449385475615,0.5579984407114897,0.0410613427306032,0.05905983796933815,0.011182281598206707,0.747582798487304,0.033490433482324965
rld,900s,900,5,3,0.6020952626973443,0.04637521558591142,0.7795406795035097,0.042924145953857296,0.6846694996822882,0.041760787825634735,0.5753800214031293,0.04074489620575371,0.7212615845729633,0.019879282831850087,0.039712532419189664,0.009815292940210916,0.94193193199845,0.035657820485827975
rld,full,,5,1,0.6393422709575947,0.04608200406589754,0.7981260689378994,0.05009655130444616,0.7137175952761948,0.04382408232701934,0.617770069782242,0.05179661713783459,1.0,0.0,0.0,0.0,1.0,0.0
