dataset,fold,seed,handling,covered_only_top1,covered_only_top5,covered_only_mrr,all_query_top1,queries,covered_queries
atanas,0,42,zero_fill,0.7078313253012049,0.9156626506024096,0.7990632269813798,0.7014925373134329,670,664
atanas,0,42,mask_missing,0.6716867469879518,0.9126506024096386,0.7790105197333516,0.6656716417910448,670,664
atanas,1,42,zero_fill,0.8026905829596412,0.9402092675635276,0.8649249296358548,0.7991071428571429,672,669
atanas,1,42,mask_missing,0.7997010463378177,0.9417040358744395,0.8632053621768361,0.7961309523809523,672,669
atanas,2,42,zero_fill,0.6234756097560976,0.8033536585365854,0.7061475778248014,0.6178247734138973,662,656
atanas,2,42,mask_missing,0.6173780487804879,0.8003048780487805,0.7006933999011993,0.6117824773413897,662,656
atanas,3,42,zero_fill,0.7901639344262295,0.9377049180327869,0.8558736611404125,0.7850162866449512,614,610
atanas,3,42,mask_missing,0.7754098360655738,0.9327868852459016,0.8463048533318289,0.7703583061889251,614,610
atanas,4,42,zero_fill,0.8216039279869067,0.9198036006546645,0.8667464541617467,0.8216039279869067,611,611
atanas,4,42,mask_missing,0.8183306055646481,0.9181669394435352,0.8634866987046228,0.8183306055646481,611,611
rld,0,42,zero_fill,0.5814814814814815,0.7148148148148148,0.6530861910638435,0.5147540983606558,305,270
rld,0,42,mask_missing,0.5333333333333333,0.7148148148148148,0.6245214480747235,0.4721311475409836,305,270
rld,1,42,zero_fill,0.697986577181208,0.8288590604026845,0.7608625658862185,0.6797385620915033,306,298
rld,1,42,mask_missing,0.6510067114093959,0.8187919463087249,0.7312453132121999,0.6339869281045751,306,298
rld,2,42,zero_fill,0.6120401337792643,0.7959866220735786,0.69291209261679,0.5980392156862745,306,299
rld,2,42,mask_missing,0.5652173913043478,0.7959866220735786,0.6690605190636473,0.5522875816993464,306,299
rld,3,42,zero_fill,0.6351351351351351,0.8074324324324325,0.7113373252972762,0.6163934426229508,305,296
rld,3,42,mask_missing,0.6013513513513513,0.7736486486486487,0.6846024497225955,0.5836065573770491,305,296
rld,4,42,zero_fill,0.6700680272108843,0.8435374149659864,0.7503898015168466,0.6459016393442623,305,294
rld,4,42,mask_missing,0.6598639455782312,0.8435374149659864,0.7405601141696231,0.6360655737704918,305,294
