dataset,variant,display,folds,seed,top1_real_mean,top1_real_sample_sd,top1_real_fold_values,top5_real_mean,top5_real_sample_sd,top5_real_fold_values,mrr_real_mean,mrr_real_sample_sd,mrr_real_fold_values,hungarian_accuracy_mean,hungarian_accuracy_sample_sd,hungarian_accuracy_fold_values
atanas,full,Full NeuRID,5,42,0.749153076086016,0.08261294347170899,"[0.7078313253012049, 0.8026905829596412, 0.6234756097560976, 0.7901639344262295, 0.8216039279869067]",0.9033468190779947,0.05692200056479901,"[0.9156626506024096, 0.9402092675635276, 0.8033536585365854, 0.9377049180327869, 0.9198036006546645]",0.8185511775075088,0.06870339224800318,"[0.7990632516792021, 0.8649249226523087, 0.7061475864270839, 0.8558736582271388, 0.8667464685518106]",0.7500482225257015,0.08366742212859264,"[0.7063253012048193, 0.8086696562032885, 0.6234756097560976, 0.7918032786885246, 0.8199672667757774]"
atanas,geometry_only,w/o Activity,5,42,0.43240653321506567,0.06229986319424202,"[0.3433734939759036, 0.5127055306427504, 0.4115853658536585, 0.45901639344262296, 0.4353518821603928]",0.7892680577276648,0.0771363261907838,"[0.7168674698795181, 0.866965620328849, 0.6966463414634146, 0.840983606557377, 0.8248772504091653]",0.5880853774586993,0.0636433794628947,"[0.5061263262507427, 0.6648757090661201, 0.542715352482912, 0.6245876562399942, 0.6021218432537272]",0.4387209971916694,0.06343462560438426,"[0.34186746987951805, 0.515695067264574, 0.4253048780487805, 0.460655737704918, 0.4500818330605565]"
atanas,no_population,w/o Relation-conditioned Population Encoder,5,42,0.661315883596549,0.06034223549627767,"[0.641566265060241, 0.7040358744394619, 0.5670731707317073, 0.6754098360655738, 0.7184942716857611]",0.8744906206290806,0.06174392553165187,"[0.8870481927710844, 0.9118086696562033, 0.7652439024390244, 0.9032786885245901, 0.9050736497545008]",0.7558294609810553,0.059895648314042885,"[0.7474582453808153, 0.795733396247898, 0.6555359465319935, 0.7787046213619044, 0.8017150953826655]",0.6676541191228447,0.05980103820155959,"[0.6355421686746988, 0.7100149476831091, 0.5807926829268293, 0.6836065573770492, 0.7283142389525368]"
atanas,node_only,w/o Population Relations (Node-only),5,42,0.6293225499419367,0.07311766356695286,"[0.5647590361445783, 0.6457399103139013, 0.5487804878048781, 0.660655737704918, 0.7266775777414075]",0.8610896747892741,0.0671826157553481,"[0.8313253012048193, 0.8998505231689088, 0.7560975609756098, 0.9049180327868852, 0.9132569558101473]",0.7318539778701796,0.06773708897385214,"[0.6842585572277207, 0.7550487774904533, 0.641716834975452, 0.768316900534708, 0.8099288191225642]",0.6385205679284548,0.08029761084561404,"[0.5632530120481928, 0.6412556053811659, 0.5548780487804879, 0.6950819672131148, 0.7381342062193126]"
atanas,no_transport,w/o Relation Transport,5,42,0.7316058484397815,0.06820057773021004,"[0.6882530120481928, 0.7892376681614349, 0.6326219512195121, 0.7770491803278688, 0.7708674304418985]",0.8833936712440642,0.053095267730769384,"[0.9006024096385542, 0.9118086696562033, 0.7896341463414634, 0.9180327868852459, 0.8968903436988543]",0.8004269577145781,0.0581173808611948,"[0.7818586740149073, 0.8438916113700924, 0.706681218089127, 0.8425386772781122, 0.8271646078206514]",0.7271579222092917,0.06989992718581664,"[0.6882530120481928, 0.7892376681614349, 0.6234756097560976, 0.7770491803278688, 0.7577741407528642]"
atanas,activity_only,w/o Geometry (Activity-only),5,42,0.4106784651427904,0.04745974337694706,"[0.37650602409638556, 0.4080717488789238, 0.38109756097560976, 0.3950819672131147, 0.49263502454991814]",0.7513336742471822,0.040442966178684585,"[0.7048192771084337, 0.7488789237668162, 0.725609756097561, 0.7672131147540984, 0.8101472995090017]",0.5645080549530828,0.04201756861137338,"[0.530841543013791, 0.561763284452293, 0.5341084846636144, 0.5607317815061476, 0.635095181129568]",0.3916486636091273,0.043108748276839,"[0.3629518072289157, 0.37668161434977576, 0.37347560975609756, 0.3770491803278688, 0.46808510638297873]"
rld,full,Full NeuRID,5,42,0.6393422709575947,0.04608200406589755,"[0.5814814814814815, 0.697986577181208, 0.6120401337792643, 0.6351351351351351, 0.6700680272108843]",0.7981260689378994,0.05009655130444616,"[0.7148148148148148, 0.8288590604026845, 0.7959866220735786, 0.8074324324324325, 0.8435374149659864]",0.7137176043466671,0.0438240802119279,"[0.6530862084141484, 0.7608625772815423, 0.6929120961638996, 0.7113373319844942, 0.7503898078892507]",0.617770069782242,0.051796617137834594,"[0.5444444444444444, 0.6812080536912751, 0.5953177257525084, 0.6216216216216216, 0.6462585034013606]"
rld,geometry_only,w/o Activity,5,42,0.4475876156069161,0.04072461471786948,"[0.4222222222222222, 0.5167785234899329, 0.44816053511705684, 0.4358108108108108, 0.41496598639455784]",0.7981296920450283,0.03284276327912632,"[0.762962962962963, 0.8389261744966443, 0.8260869565217391, 0.7871621621621622, 0.7755102040816326]",0.5991437715208835,0.034555422857415884,"[0.5716203232606252, 0.6566785951988809, 0.6040847676254834, 0.5877200759745933, 0.5756150955448345]",0.3749301796094076,0.020086815403486936,"[0.35185185185185186, 0.39932885906040266, 0.391304347826087, 0.3716216216216216, 0.36054421768707484]"
rld,no_population,w/o Relation-conditioned Population Encoder,5,42,0.5018534253523207,0.039993970653041104,"[0.4777777777777778, 0.5503355704697986, 0.5284280936454849, 0.44932432432432434, 0.5034013605442177]",0.7303007534563665,0.0378123154032278,"[0.7703703703703704, 0.7583892617449665, 0.7123745819397993, 0.6756756756756757, 0.7346938775510204]",0.6060176528376447,0.03071549716980134,"[0.6058949978263289, 0.6396581150541369, 0.6165631407479378, 0.5560568357641632, 0.6119151747956568]",0.48224976776938094,0.04101480385022271,"[0.4740740740740741, 0.540268456375839, 0.4916387959866221, 0.42567567567567566, 0.47959183673469385]"
rld,node_only,w/o Population Relations (Node-only),5,42,0.33946138681142224,0.03837278617547228,"[0.32592592592592595, 0.39932885906040266, 0.32441471571906355, 0.2972972972972973, 0.35034013605442177]",0.591284894800256,0.043403307282804206,"[0.5296296296296297, 0.6208053691275168, 0.5618729096989966, 0.6148648648648649, 0.6292517006802721]",0.459183170837917,0.030363404209627017,"[0.4309735479178252, 0.49724854318887596, 0.4341589834379113, 0.44803587689593033, 0.4854989027490421]",0.3172434403740419,0.04856563412450093,"[0.28888888888888886, 0.37919463087248323, 0.3110367892976589, 0.25675675675675674, 0.35034013605442177]"
