dataset,fold,seed,split,arm,display,queries,top1,top5,mrr,hungarian
atanas,0,42,test,full,Full NeuRID,664,0.7078313253012049,0.9156626506024096,0.7990632516792021,0.7063253012048193
atanas,0,42,test,geometry_only,w/o Activity,664,0.3433734939759036,0.7168674698795181,0.5061263262507427,0.34186746987951805
atanas,0,42,test,node_only,w/o Population Relations,664,0.5647590361445783,0.8313253012048193,0.6842585572277207,0.5632530120481928
atanas,0,42,test,no_transport,w/o Relation Transport,664,0.6882530120481928,0.9006024096385542,0.7818586740149073,0.6882530120481928
atanas,0,42,test,activity_only,w/o Geometry,664,0.37650602409638556,0.7048192771084337,0.530841543013791,0.3629518072289157
atanas,1,42,test,full,Full NeuRID,669,0.8026905829596412,0.9402092675635276,0.8649249226523087,0.8086696562032885
atanas,1,42,test,geometry_only,w/o Activity,669,0.5127055306427504,0.866965620328849,0.6648757090661201,0.515695067264574
atanas,1,42,test,node_only,w/o Population Relations,669,0.6457399103139013,0.8998505231689088,0.7550487774904533,0.6412556053811659
atanas,1,42,test,no_transport,w/o Relation Transport,669,0.7892376681614349,0.9118086696562033,0.8438916113700924,0.7892376681614349
atanas,1,42,test,activity_only,w/o Geometry,669,0.4080717488789238,0.7488789237668162,0.561763284452293,0.37668161434977576
atanas,2,42,test,full,Full NeuRID,656,0.6234756097560976,0.8033536585365854,0.7061475864270839,0.6234756097560976
atanas,2,42,test,geometry_only,w/o Activity,656,0.4115853658536585,0.6966463414634146,0.542715352482912,0.4253048780487805
atanas,2,42,test,node_only,w/o Population Relations,656,0.5487804878048781,0.7560975609756098,0.641716834975452,0.5548780487804879
atanas,2,42,test,no_transport,w/o Relation Transport,656,0.6326219512195121,0.7896341463414634,0.706681218089127,0.6234756097560976
atanas,2,42,test,activity_only,w/o Geometry,656,0.38109756097560976,0.725609756097561,0.5341084846636144,0.37347560975609756
atanas,3,42,test,full,Full NeuRID,610,0.7901639344262295,0.9377049180327869,0.8558736582271388,0.7918032786885246
atanas,3,42,test,geometry_only,w/o Activity,610,0.45901639344262296,0.840983606557377,0.6245876562399942,0.460655737704918
atanas,3,42,test,node_only,w/o Population Relations,610,0.660655737704918,0.9049180327868852,0.768316900534708,0.6950819672131148
atanas,3,42,test,no_transport,w/o Relation Transport,610,0.7770491803278688,0.9180327868852459,0.8425386772781122,0.7770491803278688
atanas,3,42,test,activity_only,w/o Geometry,610,0.3950819672131147,0.7672131147540984,0.5607317815061476,0.3770491803278688
atanas,4,42,test,full,Full NeuRID,611,0.8216039279869067,0.9198036006546645,0.8667464685518106,0.8199672667757774
atanas,4,42,test,geometry_only,w/o Activity,611,0.4353518821603928,0.8248772504091653,0.6021218432537272,0.4500818330605565
atanas,4,42,test,node_only,w/o Population Relations,611,0.7266775777414075,0.9132569558101473,0.8099288191225642,0.7381342062193126
atanas,4,42,test,no_transport,w/o Relation Transport,611,0.7708674304418985,0.8968903436988543,0.8271646078206514,0.7577741407528642
atanas,4,42,test,activity_only,w/o Geometry,611,0.49263502454991814,0.8101472995090017,0.635095181129568,0.46808510638297873
rld,0,42,test,full,Full NeuRID,270,0.5814814814814815,0.7148148148148148,0.6530862084141484,0.5444444444444444
rld,0,42,test,geometry_only,w/o Activity,270,0.4222222222222222,0.762962962962963,0.5716203232606252,0.35185185185185186
rld,0,42,test,node_only,w/o Population Relations,270,0.32592592592592595,0.5296296296296297,0.4309735479178252,0.28888888888888886
rld,0,42,test,no_transport,w/o Relation Transport,270,0.5333333333333333,0.6851851851851852,0.6114928424358368,0.48518518518518516
rld,0,42,test,activity_only,w/o Geometry,270,0.15185185185185185,0.5111111111111111,0.32301075789663525,0.12222222222222222
rld,1,42,test,full,Full NeuRID,298,0.697986577181208,0.8288590604026845,0.7608625772815423,0.6812080536912751
rld,1,42,test,geometry_only,w/o Activity,298,0.5167785234899329,0.8389261744966443,0.6566785951988809,0.39932885906040266
rld,1,42,test,node_only,w/o Population Relations,298,0.39932885906040266,0.6208053691275168,0.49724854318887596,0.37919463087248323
rld,1,42,test,no_transport,w/o Relation Transport,298,0.5738255033557047,0.7181208053691275,0.6505534728901499,0.5604026845637584
rld,1,42,test,activity_only,w/o Geometry,298,0.2181208053691275,0.5536912751677853,0.3824514854674371,0.2214765100671141
rld,2,42,test,full,Full NeuRID,299,0.6120401337792643,0.7959866220735786,0.6929120961638996,0.5953177257525084
rld,2,42,test,geometry_only,w/o Activity,299,0.44816053511705684,0.8260869565217391,0.6040847676254834,0.391304347826087
rld,2,42,test,node_only,w/o Population Relations,299,0.32441471571906355,0.5618729096989966,0.4341589834379113,0.3110367892976589
rld,2,42,test,no_transport,w/o Relation Transport,299,0.48494983277591974,0.7224080267558528,0.5877715512661631,0.4882943143812709
rld,2,42,test,activity_only,w/o Geometry,299,0.22408026755852842,0.5652173913043478,0.3882869573739859,0.19063545150501673
rld,3,42,test,full,Full NeuRID,296,0.6351351351351351,0.8074324324324325,0.7113373319844942,0.6216216216216216
rld,3,42,test,geometry_only,w/o Activity,296,0.4358108108108108,0.7871621621621622,0.5877200759745933,0.3716216216216216
rld,3,42,test,node_only,w/o Population Relations,296,0.2972972972972973,0.6148648648648649,0.44803587689593033,0.25675675675675674
rld,3,42,test,no_transport,w/o Relation Transport,296,0.5912162162162162,0.7364864864864865,0.6619047933333629,0.581081081081081
rld,3,42,test,activity_only,w/o Geometry,296,0.23310810810810811,0.543918918918919,0.37766773918190516,0.19932432432432431
rld,4,42,test,full,Full NeuRID,294,0.6700680272108843,0.8435374149659864,0.7503898078892507,0.6462585034013606
rld,4,42,test,geometry_only,w/o Activity,294,0.41496598639455784,0.7755102040816326,0.5756150955448345,0.36054421768707484
rld,4,42,test,node_only,w/o Population Relations,294,0.35034013605442177,0.6292517006802721,0.4854989027490421,0.35034013605442177
rld,4,42,test,no_transport,w/o Relation Transport,294,0.6122448979591837,0.7721088435374149,0.6823377098355975,0.5952380952380952
rld,4,42,test,activity_only,w/o Geometry,294,0.2108843537414966,0.5476190476190477,0.37020650769577546,0.1870748299319728
