dataset,fold,seed,split,arm,display,recording,uid,node_index,identity,target_slot,prediction_slot,rank,correct,target_probability,dustbin_top1,hungarian_prediction_slot,hungarian_correct
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,1,RMDL,115,6,4,0,0.09359121322631836,0,6,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,4,URXL,145,4,2,0,0.22405333817005157,0,4,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,5,RICL,101,43,6,0,0.017384687438607216,1,43,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,9,IL1R,71,121,3,0,0.13074463605880737,0,121,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,17,AIBR,7,30,3,0,0.12632428109645844,0,30,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,18,CEPDL,54,54,1,1,0.36057600378990173,0,54,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,20,IL1DR,69,148,2,0,0.22810599207878113,0,148,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,21,AVAL,31,22,2,0,0.12288478761911392,0,22,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,25,ASGL,20,10,15,0,0.000492047518491745,0,10,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,27,I2L,62,78,5,0,0.08132609724998474,0,60,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,29,IL2DL,74,74,1,1,0.5484836101531982,0,74,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,31,RMDR,116,116,1,1,0.3197503089904785,0,116,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,32,ADEL,2,151,20,0,7.946600089780986e-05,1,104,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,33,M3R,83,83,1,1,0.39893651008605957,0,83,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,36,SMDVL,137,111,3,0,0.08168910443782806,0,111,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,37,AVER,38,7,2,0,0.17365118861198425,0,7,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,40,AVEL,37,6,6,0,0.05831145867705345,0,50,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,41,AVJL,41,2,8,0,0.0013666162267327309,0,2,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,43,M4,84,84,1,1,0.28498923778533936,0,84,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,45,I3,64,64,1,1,0.26694005727767944,0,64,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,46,AINR,11,15,2,0,0.1484643965959549,0,15,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,47,CEPVL,56,122,4,0,0.0987900123000145,0,122,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,51,URYVL,149,95,2,0,0.2289448380470276,0,95,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,52,ASEL,18,41,11,0,0.006167766638100147,0,41,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,53,AVKR,44,151,3,0,0.13803651928901672,0,151,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,54,RMEL,120,120,1,1,0.26587411761283875,0,115,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,55,ASHL,22,101,35,0,6.750923057552427e-05,0,14,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,56,OLLR,92,92,1,1,0.29294753074645996,0,92,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,58,RMDDR,114,134,4,0,0.10934776067733765,1,134,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,62,URBR,144,70,25,0,0.0007587115396745503,0,70,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,63,OLQVR,96,57,2,0,0.27471455931663513,0,96,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,66,SMDVR,138,138,1,1,0.4055898189544678,0,138,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,68,IL2DR,75,75,1,1,0.5423213839530945,0,75,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,69,RMER,121,118,2,0,0.19076889753341675,0,118,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,71,IL2VL,78,78,1,1,0.3817084729671478,0,78,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,72,OLQDR,94,94,1,1,0.39382463693618774,0,94,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,74,URYVR,150,96,2,0,0.2675554156303406,0,150,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,75,IL1DL,68,147,2,0,0.19424887001514435,0,147,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,77,OLLL,91,91,1,1,0.2050505131483078,0,91,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,79,RIAL,97,20,4,0,0.08156268298625946,0,20,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,80,RMEV,122,106,2,0,0.1864589899778366,0,106,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,81,RID,103,55,5,0,0.01689370907843113,0,55,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,82,OLQVL,95,56,2,0,0.1972992718219757,0,56,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,91,RMDVL,117,117,1,1,0.36788731813430786,0,117,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,95,RMDDL,113,113,1,1,0.26785552501678467,0,113,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,96,AIBL,6,107,15,0,0.00425703963264823,1,107,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,98,IL2R,77,77,1,1,0.3670669198036194,0,77,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,100,NSMR,90,63,2,0,0.3058205544948578,0,63,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,102,IL1L,70,70,1,1,0.17490509152412415,0,143,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,104,IL2L,76,76,1,1,0.33748936653137207,0,76,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,105,URBL,143,71,17,0,0.0014198787976056337,0,71,0
