dataset,fold,method,top1_real,top5_real,mrr_real,hungarian_accuracy,partial_assignment_accuracy,coverage,novel_reject_rate
atanas,0,Sinkhorn,0.5647590361445783,0.8493975903614458,0.6910307093654384,0.5647590361445783,0.5597014925373134,1.0,0.0
atanas,1,Sinkhorn,0.6517189835575485,0.8923766816143498,0.7558748154561222,0.6532137518684604,0.6488095238095238,1.0,0.0
atanas,2,Sinkhorn,0.5685975609756098,0.7667682926829268,0.6598920501615516,0.5807926829268293,0.5634441087613293,1.0,0.0
atanas,3,Sinkhorn,0.660655737704918,0.8803278688524591,0.7578339470361138,0.659016393442623,0.6563517915309446,1.0,0.0
atanas,4,Sinkhorn,0.7037643207855974,0.8952536824877251,0.7911591693686704,0.6988543371522095,0.7037643207855974,1.0,0.0
atanas,0,FGW,0.4759036144578313,0.5858433734939759,0.5360370149669387,0.4759036144578313,0.4716417910447761,1.0,0.0
atanas,1,FGW,0.5022421524663677,0.6576980568011959,0.5849032877679491,0.5022421524663677,0.5,1.0,0.0
atanas,2,FGW,0.48323170731707316,0.5929878048780488,0.5429884235082273,0.4847560975609756,0.4788519637462236,1.0,0.0
atanas,3,FGW,0.5114754098360655,0.6688524590163935,0.5952352418240201,0.5114754098360655,0.50814332247557,1.0,0.0
atanas,4,FGW,0.5990180032733224,0.7414075286415712,0.6736961225108277,0.5990180032733224,0.5990180032733224,1.0,0.0
atanas,0,UFGW,0.6310240963855421,0.8795180722891566,0.7436772778705165,0.6340361445783133,0.6253731343283582,1.0,0.0
atanas,1,UFGW,0.7130044843049327,0.9043348281016442,0.7972995601058839,0.7100149476831091,0.7098214285714286,1.0,0.0
atanas,2,UFGW,0.5777439024390244,0.7865853658536586,0.6704258265661801,0.586890243902439,0.5725075528700906,1.0,0.0
atanas,3,UFGW,0.739344262295082,0.9098360655737705,0.8130970529694368,0.739344262295082,0.7345276872964169,1.0,0.0
atanas,4,UFGW,0.7315875613747954,0.8985270049099836,0.8078294257653471,0.7119476268412439,0.7315875613747954,1.0,0.0
atanas,0,NeuRID,0.7078313253012049,0.9156626506024096,0.7990632269813798,0.7063253012048193,0.691044776119403,0.9447761194029851,0.3333333333333333
atanas,1,NeuRID,0.8026905829596412,0.9402092675635276,0.8649249296358548,0.8086696562032885,0.7872023809523809,0.9627976190476191,0.0
atanas,2,NeuRID,0.6234756097560976,0.8033536585365854,0.7061475778248014,0.6234756097560976,0.6027190332326284,0.9108761329305136,0.0
atanas,3,NeuRID,0.7901639344262295,0.9377049180327869,0.8558736611404125,0.7918032786885246,0.7785016286644951,0.9706840390879479,0.5
atanas,4,NeuRID,0.8216039279869067,0.9198036006546645,0.8667464541617467,0.8199672667757774,0.8101472995090017,0.955810147299509,0.0
rld,0,Sinkhorn,0.48148148148148145,0.7185185185185186,0.5932078768753554,0.4666666666666667,0.42950819672131146,0.9967213114754099,0.02857142857142857
rld,1,Sinkhorn,0.6677852348993288,0.8053691275167785,0.7342732846026774,0.6073825503355704,0.6503267973856209,1.0,0.0
rld,2,Sinkhorn,0.5785953177257525,0.7625418060200669,0.6625019488665586,0.5484949832775919,0.565359477124183,1.0,0.0
rld,3,Sinkhorn,0.5844594594594594,0.7871621621621622,0.6785895070860487,0.5608108108108109,0.5672131147540984,1.0,0.0
rld,4,Sinkhorn,0.5986394557823129,0.7993197278911565,0.6911960277566177,0.5918367346938775,0.5770491803278689,1.0,0.0
rld,0,FGW,0.40370370370370373,0.5444444444444444,0.4805093801019427,0.40370370370370373,0.35737704918032787,1.0,0.0
rld,1,FGW,0.5100671140939598,0.6879194630872483,0.6016770616547801,0.5100671140939598,0.49673202614379086,1.0,0.0
rld,2,FGW,0.451505016722408,0.6488294314381271,0.5510794001211152,0.451505016722408,0.4411764705882353,1.0,0.0
rld,3,FGW,0.48986486486486486,0.668918918918919,0.579880394239939,0.48986486486486486,0.47540983606557374,1.0,0.0
rld,4,FGW,0.5068027210884354,0.6428571428571429,0.5810105774368218,0.5068027210884354,0.4885245901639344,1.0,0.0
rld,0,UFGW,0.4888888888888889,0.7074074074074074,0.5924404342688252,0.46296296296296297,0.43278688524590164,1.0,0.0
rld,1,UFGW,0.6308724832214765,0.8087248322147651,0.718112617800753,0.6006711409395973,0.6143790849673203,1.0,0.0
rld,2,UFGW,0.5518394648829431,0.7692307692307693,0.6552851098792828,0.5150501672240803,0.5392156862745098,1.0,0.0
rld,3,UFGW,0.5675675675675675,0.7804054054054054,0.6656657151679791,0.5574324324324325,0.5508196721311476,1.0,0.0
rld,4,UFGW,0.5986394557823129,0.7959183673469388,0.6902258088023617,0.5918367346938775,0.5770491803278689,1.0,0.0
rld,0,NeuRID,0.5814814814814815,0.7148148148148148,0.6530861910638435,0.5444444444444444,0.5377049180327869,0.5967213114754099,0.7714285714285715
rld,1,NeuRID,0.697986577181208,0.8288590604026845,0.7608625658862185,0.6812080536912751,0.6372549019607843,0.7745098039215687,0.625
rld,2,NeuRID,0.6120401337792643,0.7959866220735786,0.69291209261679,0.5953177257525084,0.5294117647058824,0.6895424836601307,0.5714285714285714
rld,3,NeuRID,0.6351351351351351,0.8074324324324325,0.7113373252972762,0.6216216216216216,0.6032786885245902,0.8,0.5555555555555556
rld,4,NeuRID,0.6700680272108843,0.8435374149659864,0.7503898015168466,0.6462585034013606,0.6032786885245902,0.7180327868852459,0.8181818181818182
