identity,same_similarity,hard_similarity,activity_relation_margin,median_margin,n_animal_pairs,support_animals,n_paired_queries,accuracy_full,accuracy_wo_activity,accuracy_gain_pp
ADAL,0.2574864507859122,-0.1408492954919018,0.3983357462778141,0.4442924575607019,756,28,28,0.6785714285714286,0.42857142857142855,25.000000000000007
ADAR,0.2389833168573712,-0.11062674676555496,0.3496100636229262,0.2874356917371544,20,5,5,0.2,0.2,0.0
ADEL,0.1343373520139059,0.08101069993415556,0.05332665207975032,0.07464629435734846,930,31,31,0.6451612903225806,0.2903225806451613,35.48387096774193
ADER,0.08216819075791551,0.043209293758109335,0.03895889699980616,0.039848975380685235,240,16,16,0.625,0.125,50.0
ADLL,0.129954769007308,-0.08168007219485651,0.2116348412021645,0.2323701765730651,342,19,19,0.6842105263157895,0.5789473684210527,10.526315789473683
ADLR,0.05748903782673163,-0.009022859243272764,0.06651189707000442,0.0566559837412166,42,7,7,0.7142857142857143,0.2857142857142857,42.85714285714286
AIAL,0.3518609971161037,0.044643725981616415,0.3072172711344873,0.3072172711344873,2,2,1,0.0,0.0,0.0
AIAR,0.3085852216290514,-0.008999697833604638,0.31758491946265593,0.27453924993401657,6,3,2,0.0,0.0,0.0
AIBL,0.6026968145652906,0.08430080833893655,0.5183960062263541,0.5390507689712329,1122,34,34,0.8823529411764706,0.4117647058823529,47.05882352941176
AIBR,0.6728430270298371,0.24122767880564225,0.4316153482241949,0.4170002614342109,1056,33,33,0.8484848484848485,0.42424242424242425,42.42424242424242
AIML,0.2285403650991984,0.13114143118552898,0.09739893391366937,0.1405035130635142,210,15,15,0.4666666666666667,0.3333333333333333,13.333333333333336
AIMR,0.3185673059275154,0.18063757569095587,0.13792973023655955,0.16723711844284225,210,15,15,0.26666666666666666,0.06666666666666667,20.0
AINL,0.0605500808150945,0.009378431072246372,0.051171649742848144,0.06297306072142139,756,28,28,0.8571428571428571,0.5,35.71428571428571
AINR,0.15217918304297934,-0.013974210298307609,0.16615339334128698,0.15651815953440162,210,15,15,0.6,0.3333333333333333,26.666666666666668
AIYL,0.3801419259603505,0.15680408003741494,0.22333784592293546,0.2911386002930657,90,10,10,0.6,0.1,50.0
AIYR,0.5490487265032573,0.1673331401836552,0.38171558631960206,0.3649424227561986,90,10,10,0.6,0.0,60.0
AIZL,0.0467716947812051,0.04624768658595313,0.000524008195251971,0.0004018601381272219,992,32,32,0.65625,0.21875,43.75
AIZR,0.10137289457567923,-0.0228243219498228,0.12419721652550204,0.10022284953294483,702,27,27,0.6296296296296297,0.037037037037037035,59.25925925925925
ALA,0.09093045879288306,0.1185802111053376,-0.02764975231245449,-0.016690948839627087,20,5,5,0.8,0.0,80.0
AQR,0.2745355828370556,0.11984255251667575,0.1546930303203799,0.1878061955754534,240,16,16,0.75,0.1875,56.25
ASEL,0.17591529659636249,0.04125766981442064,0.13465762678194185,0.13244282290047152,930,31,31,0.7419354838709677,0.3870967741935484,35.483870967741936
ASER,0.04497270965489603,-0.015209350334916763,0.0601820599898128,0.07519518763081494,306,18,18,0.5555555555555556,0.3333333333333333,22.222222222222225
ASGL,0.5797408381676548,0.02912233083996953,0.5506185073276852,0.5417418156703311,930,31,31,0.7741935483870968,0.41935483870967744,35.48387096774193
ASGR,0.5977832893069535,0.14257006632651328,0.4552132229804402,0.465704112146212,462,22,22,0.8181818181818182,0.22727272727272727,59.09090909090909
ASHL,0.332874148489574,0.07166039651998123,0.26121375196959273,0.3411642917836338,306,18,18,0.6666666666666666,0.3888888888888889,27.777777777777775
ASHR,0.5481094278218381,0.11985737462059565,0.4282520532012426,0.4288758474022257,6,3,3,0.0,0.0,0.0
ASIL,0.04073646765170217,-0.040868292344009564,0.08160475999571172,0.05670062449341776,56,8,8,0.625,0.25,37.5
ASIR,0.14075315159319451,-0.11284937366033825,0.2536025252535327,0.2478988192741672,56,8,8,0.25,0.125,12.5
ASJL,-0.18867366059171686,0.05169799590625773,-0.2403716564979745,-0.2669631872739573,6,3,1,0.0,0.0,0.0
ASKL,0.2800214035452758,-0.01830671441801088,0.2983281179632868,0.42670114149016347,12,4,4,0.0,0.25,-25.0
ASKR,0.10701132402047896,0.005353339738684074,0.10165798428179484,0.08727406909037731,12,4,4,0.0,0.0,0.0
AUAL,0.3041938728985865,-0.032722733776742084,0.33691660667532863,0.3563729068445717,992,32,32,0.6875,0.3125,37.5
AUAR,0.2581528747512917,-0.025452588024302968,0.2836054627755947,0.3082616544461886,210,15,15,0.6,0.3333333333333333,26.666666666666668
AVAL,0.6588334799276884,0.18902667599185102,0.4698068039358374,0.4379832387586789,1122,34,34,1.0,0.4117647058823529,58.82352941176471
AVAR,0.6250276781803407,0.2877619863848313,0.3372656917955094,0.33539793607982826,756,28,28,0.9642857142857143,0.4642857142857143,50.0
AVBL,0.5958796368595751,0.16648596637969165,0.4293936704798835,0.3954387234354876,42,7,7,0.42857142857142855,0.0,42.857142857142854
AVBR,0.5189135827073782,0.02385319755900673,0.4950603851483715,0.4872276133384266,6,3,3,0.6666666666666666,0.0,66.66666666666666
AVDL,0.3743596241347119,0.06032799084173782,0.314031633292974,0.3048131896031154,1190,35,35,0.7142857142857143,0.3142857142857143,40.0
AVDR,0.288878952136476,-0.034093476191732766,0.32297242832820866,0.3508540963291452,552,24,24,0.5,0.25,25.0
AVEL,0.7040122111647246,0.3529588236564937,0.3510533875082308,0.34722176823373424,812,29,29,0.9655172413793104,0.4827586206896552,48.275862068965516
AVER,0.6890320153521068,0.3681443310863341,0.3208876842657727,0.2871382142713143,870,30,30,0.9333333333333333,0.4666666666666667,46.666666666666664
AVHL,0.4181700502123072,-0.015798627579155646,0.4339686777914628,0.4545215830592093,240,16,16,0.875,0.25,62.5
AVJL,0.1828707078758671,0.057547194192855526,0.12532351368301162,0.12984341488680898,992,32,32,0.59375,0.28125,31.25
