candidate_identity,mode,query_identity,similarity
AIBL,Geometry,URYDR,-0.02254649162779048
ASEL,Geometry,URYDR,-0.12082637336061151
ASGL,Geometry,URYDR,0.002422059990285372
ASGR,Geometry,URYDR,0.23260689854101593
ASHL,Geometry,URYDR,-0.13087540204339224
AVJR,Geometry,URYDR,0.09767760354291603
AWAR,Geometry,URYDR,0.30460190566079437
AWBL,Geometry,URYDR,0.038100482617643365
AWBR,Geometry,URYDR,0.2803081279197774
AWCL,Geometry,URYDR,-0.035688843902278354
IL1DR,Geometry,URYDR,0.9137893934844555
IL2DL,Geometry,URYDR,0.8439972780422585
IL2L,Geometry,URYDR,0.8581259149048883
OLLL,Geometry,URYDR,0.8716122052351892
OLLR,Geometry,URYDR,0.934696606689315
RIBL,Geometry,URYDR,0.03254840736004096
URADL,Geometry,URYDR,0.8562869654455119
URBR,Geometry,URYDR,0.9271476013288436
URYDR,Geometry,URYDR,0.9217385932849593
AIBL,Geometry,AWCL,0.926767388042592
ASEL,Geometry,AWCL,0.9176408016003351
ASGL,Geometry,AWCL,0.9140493751559994
ASGR,Geometry,AWCL,0.8114228140868827
ASHL,Geometry,AWCL,0.9224482532738871
AVJR,Geometry,AWCL,0.8285973253037007
AWAR,Geometry,AWCL,0.795311105968747
AWBL,Geometry,AWCL,0.9151809612503029
AWBR,Geometry,AWCL,0.7766166410595263
AWCL,Geometry,AWCL,0.9283846307128074
IL1DR,Geometry,AWCL,-0.17752011807304888
IL2DL,Geometry,AWCL,-0.3344449912595918
IL2L,Geometry,AWCL,-0.23883791529865991
OLLL,Geometry,AWCL,-0.22907135371492418
OLLR,Geometry,AWCL,-0.05999231045952599
RIBL,Geometry,AWCL,0.9237132770687413
URADL,Geometry,AWCL,-0.2941355732718139
URBR,Geometry,AWCL,-0.15234623143057097
URYDR,Geometry,AWCL,-0.18508687862824347
AIBL,Geometry,AWBL,0.9214071771630029
ASEL,Geometry,AWBL,0.9219587407133488
ASGL,Geometry,AWBL,0.935067874645275
ASGR,Geometry,AWBL,0.8338022695379536
ASHL,Geometry,AWBL,0.9166220836188443
AVJR,Geometry,AWBL,0.8379872127057668
AWAR,Geometry,AWBL,0.8151885758913778
AWBL,Geometry,AWBL,0.9360028977558016
AWBR,Geometry,AWBL,0.8014379030683856
AWCL,Geometry,AWBL,0.9189698560873022
IL1DR,Geometry,AWBL,-0.12539710283758426
IL2DL,Geometry,AWBL,-0.28506560254218927
IL2L,Geometry,AWBL,-0.1928928843565262
OLLL,Geometry,AWBL,-0.1807873538707711
OLLR,Geometry,AWBL,-0.009262015545623146
RIBL,Geometry,AWBL,0.9302449835738352
URADL,Geometry,AWBL,-0.24596593175841777
URBR,Geometry,AWBL,-0.1050864960664369
URYDR,Geometry,AWBL,-0.13537002158923306
AIBL,Geometry,ASGR,0.8337460718124984
ASEL,Geometry,ASGR,0.7834686051514698
ASGL,Geometry,ASGR,0.8307878820322561
ASGR,Geometry,ASGR,0.9341582361308156
ASHL,Geometry,ASGR,0.7937382186070351
AVJR,Geometry,ASGR,0.9197949468421599
AWAR,Geometry,ASGR,0.9241028794810299
AWBL,Geometry,ASGR,0.8261156966858024
AWBR,Geometry,ASGR,0.9282504697711057
