activity_hard_scores,activity_max_absolute_hard_gap,activity_mean_margin,activity_same,activity_strongest_margin,fold,full_prediction,geometry_hard_scores,geometry_max_absolute_hard_gap,geometry_mean_margin,geometry_same,geometry_strongest_margin,hard_candidates,identity,neuron_row,query_record,reference_record,wo_activity_prediction,wo_activity_prediction_is_hard,geometry_ambiguous_bottom_quartile,activity_beats_strongest_hard,strict_case
0.501177916758;0.566990687112;-0.368142521146,0.8448353434564899,0.24335079473526602,0.4766928223100041,-0.09029786480245394,0,RMDL,0.943130485487;0.892944102174;0.901242708567,0.056699399324315,0.03720440275564263,0.9496435014979586,0.006513016011448158,AVEL;AVAL;RMEV,RMDL,1,2022-07-26-01,2023-01-23-21,AIBL,False,False,False,False
0.636387470826;0.165676018625;0.497895015163,0.24792970151314184,-0.01971378139972063,0.41360572013837577,-0.22278175068767408,0,URXL,0.889203374708;0.934018330479;0.943355852073,0.06463379595600882,0.03164465157718799,0.9538371706638918,0.010481318590832234,RID;SMDVL;URXR,URXL,4,2022-07-26-01,2023-01-23-21,ADLL,False,False,False,False
-0.278296020878;0.610541170675;0.214924389202,0.9134030967753239,0.4527172295641486,0.6351070758974006,0.024565905221910045,0,RICL,0.973093237671;0.939964093999;0.967400727852,0.026109636183583862,0.005921043675650162,0.9660737301830387,-0.007019507487948995,AVDL;FLPL;AUAL,RICL,5,2022-07-26-01,2023-01-23-21,AVKL,False,False,True,False
0.31841405041;0.451485252912;-0.546550724827,1.2901443146750957,0.6691440636835518,0.7435935898485027,0.2921083369366269,0,IL1R,0.952082931145;0.94723998977;0.930778517503,0.03048084082432123,0.017892212187933576,0.9612593583270967,0.009176427182504221,OLLR;URBR;URYVR,IL1R,9,2022-07-26-01,2023-01-23-21,RMER,False,False,True,False
-0.0854047444102;0.553691468037;0.811368087295,0.8916995494891928,0.37974320143854007,0.8062948050789931,-0.00507328221591119,0,AIBR,0.950419449207;0.956942891131;0.950945349852,0.005369937180974671,-0.0011962761132492394,0.9515729539500364,-0.005369937180974671,RMDDR;RMDR;AVER,AIBR,17,2022-07-26-01,2023-01-23-21,AUAR,False,True,False,False
0.401534474034;0.571905408932;0.188882373042,0.5192998698797356,0.3207414909192451,0.7081822429219463,0.13627683399008905,0,IL1DR,0.965646056245;0.958953618845;0.949809722572,0.022585007371471955,0.014258264056263403,0.9723947299435828,0.006748673698543484,OLLR;IL1DL;OLQDR,IL1DR,20,2022-07-26-01,2023-01-23-21,URYDR,False,False,True,False
-0.126501571267;0.768516273134;0.27319328459,0.947702678849706,0.5161317787635646,0.8212011075826501,0.0526848344484403,0,AVAL,0.925035783933;0.916732839482;0.909220726596,0.03276979243885503,0.02499406903154988,0.9419905190352235,0.01695473510217671,RMDVL;AVEL;RMDL,AVAL,21,2022-07-26-01,2023-01-23-21,ASHL,False,False,True,False
0.441084491252;-0.297031685136;-0.543809002837,0.5558255581971445,0.14526862093360848,0.012016555359813233,-0.4290679358925857,0,I2L,0.976118130359;0.972889292322;0.958895150206,0.020319692430333824,0.009913985006786974,0.9792148426358724,0.003096712276444369,NSML;IL2L;I3,I2L,27,2022-07-26-01,2023-01-23-21,IL2VL,False,False,False,False
-0.165975752549;-0.044738682476;0.43661712654,0.43333014749807147,0.19205349777705427,0.26735439494857693,-0.1692627315914494,0,SMDVL,0.95030364248;0.926712629911;0.922392842284,0.03517669959537095,0.024433170320933617,0.9575695418793606,0.00726589939906741,CEPDL;URXL;ASGL,SMDVL,36,2022-07-26-01,2023-01-23-21,RIVL,False,False,False,False
0.518338722471;-0.70143410096;-0.0480318969712,1.562205220412136,0.9378135446057223,0.8607711194523866,0.34243239698146855,0,AVER,0.950743455722;0.924685162918;0.861076064645,0.09964032642901788,0.048548163312502,0.9607163910745068,0.009972935352122625,RMDR;RMEV;CEPVR,AVER,37,2022-07-26-01,2023-01-23-21,AIBR,False,False,True,False
