fold,formal_queries,query_record,reference_record,shared_formal_identities,training_references_considered
0,65,2022-07-26-01,2023-01-23-21,57,22
0,110,2022-08-02-01,2022-06-14-13,84,22
0,83,2023-01-05-01,2023-01-09-15,67,22
0,80,2023-01-13-07,2023-01-09-15,64,22
0,86,2023-01-16-15,2023-01-09-15,74,22
0,89,2023-01-16-22,2023-01-09-15,70,22
0,59,2023-01-19-15,2023-01-10-07,47,22
0,92,2023-01-19-22,2023-01-10-07,77,22
1,69,2022-07-15-06,2022-08-02-01,58,22
1,65,2022-12-21-06,2023-01-10-14,56,22
1,92,2023-01-09-22,2022-08-02-01,80,22
1,90,2023-01-17-01,2022-08-02-01,78,22
1,80,2023-01-17-07,2022-08-02-01,72,22
1,104,2023-01-17-14,2022-08-02-01,86,22
1,82,2023-01-18-01,2022-08-02-01,70,22
1,87,2023-01-23-01,2022-08-02-01,73,22
2,81,2022-06-28-07,2022-08-02-01,71,23
2,90,2022-07-15-12,2022-08-02-01,78,23
2,74,2023-01-06-01,2022-08-02-01,68,23
2,82,2023-01-06-08,2022-08-02-01,72,23
2,51,2023-01-09-08,2022-08-02-01,46,23
2,98,2023-01-09-15,2022-08-02-01,82,23
2,87,2023-01-23-08,2022-08-02-01,73,23
2,93,2023-01-23-21,2022-08-02-01,83,23
3,78,2022-06-14-01,2022-08-02-01,73,24
3,87,2022-06-14-07,2022-08-02-01,75,24
3,94,2022-07-20-01,2022-08-02-01,83,24
3,90,2023-01-09-28,2023-01-17-14,75,24
3,82,2023-01-16-01,2022-08-02-01,73,24
3,83,2023-01-19-08,2022-08-02-01,72,24
3,96,2023-01-23-15,2022-08-02-01,83,24
4,95,2022-06-14-13,2023-01-23-15,78,23
4,74,2022-06-28-01,2023-01-17-01,64,23
4,85,2023-01-05-18,2023-01-09-15,71,23
4,95,2023-01-10-07,2023-01-09-15,82,23
4,91,2023-01-10-14,2023-01-23-15,75,23
4,89,2023-01-16-08,2023-01-23-15,71,23
4,82,2023-03-07-01,2023-01-09-15,69,23
