fold,query_record,reference_record,strict_cases,hard_prediction_rescues,eligible_rescues
3,2023-01-23-15,2022-08-02-01,6.0,16.0,34
1,2023-01-17-14,2022-08-02-01,5.0,14.0,41
2,2022-06-28-07,2022-08-02-01,4.0,11.0,31
3,2023-01-16-01,2022-08-02-01,3.0,13.0,29
2,2022-07-15-12,2022-08-02-01,3.0,7.0,24
4,2023-01-10-07,2023-01-09-15,3.0,7.0,19
3,2023-01-19-08,2022-08-02-01,2.0,13.0,26
2,2023-01-23-21,2022-08-02-01,2.0,11.0,29
0,2023-01-16-22,2023-01-09-15,2.0,8.0,35
3,2022-07-20-01,2022-08-02-01,2.0,6.0,23
2,2023-01-09-15,2022-08-02-01,2.0,5.0,14
2,2023-01-06-01,2022-08-02-01,1.0,14.0,37
0,2022-08-02-01,2022-06-14-13,1.0,12.0,40
0,2023-01-05-01,2023-01-09-15,1.0,12.0,37
3,2022-06-14-01,2022-08-02-01,1.0,11.0,41
4,2023-01-05-18,2023-01-09-15,1.0,11.0,35
4,2023-01-10-14,2023-01-23-15,1.0,11.0,33
4,2023-03-07-01,2023-01-09-15,1.0,10.0,36
0,2023-01-19-22,2023-01-10-07,1.0,10.0,34
1,2023-01-17-07,2022-08-02-01,1.0,10.0,28
1,2023-01-09-22,2022-08-02-01,1.0,7.0,23
0,2023-01-16-15,2023-01-09-15,1.0,7.0,17
1,2023-01-23-01,2022-08-02-01,1.0,6.0,21
1,2023-01-17-01,2022-08-02-01,1.0,5.0,21
4,2023-01-16-08,2023-01-23-15,1.0,5.0,21
4,2022-06-14-13,2023-01-23-15,0.0,16.0,42
3,2023-01-09-28,2023-01-17-14,0.0,12.0,32
4,2022-06-28-01,2023-01-17-01,0.0,5.0,24
1,2022-12-21-06,2023-01-10-14,0.0,5.0,22
1,2022-07-15-06,2022-08-02-01,0.0,5.0,18
0,2022-07-26-01,2023-01-23-21,0.0,4.0,29
2,2023-01-06-08,2022-08-02-01,0.0,4.0,22
2,2023-01-09-08,2022-08-02-01,0.0,4.0,19
3,2022-06-14-07,2022-08-02-01,0.0,4.0,17
1,2023-01-18-01,2022-08-02-01,0.0,4.0,16
0,2023-01-13-07,2023-01-09-15,0.0,4.0,14
0,2023-01-19-15,2023-01-10-07,0.0,3.0,12
2,2023-01-23-08,2022-08-02-01,0.0,0.0,2
