,CEPDL,M3L,I2L,I3,IL2DL,OLQDL,RIVL,RMER,AVDL,M3R,NSML,OLQDR,AIBL,AVAL,AWBL,I1L,NSMR,SMDVL,URXL,AIBR,AWCL,CEPVL,FLPL,IL1DR,OLLL
CEPDL,1.0,0.08537595741876242,0.1591550434456466,0.07914877969033207,0.1547670874435835,0.3522986419320361,0.08568821410583827,0.292409883046059,0.12314423854912489,0.08072839846606833,0.08195374912688114,0.17163469414459828,-0.19209577573036607,-0.2722649633487205,0.09665532879418454,0.07916734586147327,0.06926140699394435,0.16208268430257408,0.36668687530053257,-0.19519196935296232,0.09061495255609034,0.27702181633429296,0.18894807238735548,0.11860615166365539,0.22214691570849926
M3L,0.08537595741876242,1.0,0.18451157703366955,0.006816949322614526,0.21191385859954126,0.011158196623742027,-0.052300951902196545,0.09540017110989178,0.11757299964537424,0.7426863486444784,0.283322177807939,0.06996959640736651,-0.03323757415863218,-0.11813492103226093,0.03152181002005854,0.333432867349586,0.2619512567230753,-0.0038212726567619926,-0.021835326893946495,-0.04727010363765052,0.11598602724749782,0.14627176104360012,0.1373387568748269,0.08979362614863276,0.04067587975127374
I2L,0.1591550434456466,0.18451157703366955,1.0,0.19628682799876931,0.13081191637972273,0.02175529114461068,-0.041252253306217325,0.23713649807213802,0.06733902645159343,0.16084567347265985,-0.0348798809804009,-0.004875328650711567,-0.11369840970138523,-0.1022766040968637,-0.06072063974640698,0.09115995671113283,-0.026614236008233136,0.04780239301977496,0.1402547803865874,-0.09948099944003798,0.014214321561075936,0.12796143258958229,0.00804558773532012,0.18096989675101763,0.0015238208642164592
I3,0.07914877969033207,0.006816949322614526,0.19628682799876931,1.0,-0.269304548358733,0.250743945260438,0.16821771015104106,-0.006830304867831681,-0.42959024606064916,0.030122978045095124,-0.6261619189070844,0.07546162477244661,0.15673165295502275,0.3279097928130997,0.0355729639661704,-0.37111368756585467,-0.5590862880025108,0.10816537649858798,0.03182531461248566,0.20390562117251862,-0.0775183831727693,0.11374608881165854,-0.2790786566043618,0.2091482925009576,0.1629678754829363
IL2DL,0.1547670874435835,0.21191385859954126,0.13081191637972273,-0.269304548358733,1.0,-0.032815243913329066,-0.08024676316600479,0.14882335954542603,0.3039233545517707,0.2148037784918666,0.44991127681827486,0.08138145384264346,-0.10219385807685075,-0.23843579699498008,-0.01939646151623618,0.39273675801356533,0.4339604822326986,-0.012739308356322362,0.08866083966318276,-0.14495403529036638,0.14107475144636694,0.10827482506909554,0.24761491246056383,0.02593134969876184,0.015425431366807423
OLQDL,0.3522986419320361,0.011158196623742027,0.02175529114461068,0.250743945260438,-0.032815243913329066,1.0,0.15631141045420335,0.08380937387167232,-0.09062600458767685,0.034034978386594195,-0.16821405551187407,0.4846878699596181,-0.06186922280731331,-0.061524887712025564,0.26529227707768027,-0.11115499992215785,-0.1517909972548883,0.1360608687974432,0.12707735420379646,-0.041441560413266444,0.06131510161226568,0.29999433532371866,0.1379945930758243,0.19812383339964865,0.6195544131552516
RIVL,0.08568821410583824,-0.05230095190219654,-0.041252253306217325,0.16821771015104106,-0.08024676316600479,0.15631141045420335,1.0,-0.024242813676594328,-0.10575801675009525,-0.03339542016390369,-0.16895452928722943,0.14739737200181413,0.29648639803060756,0.3327191769822624,0.10153698391815918,-0.11510605504257157,-0.17045028916769392,0.5298437579889318,0.05169728625825006,0.33908767272314605,-0.0032508984751682913,0.03807239902581231,-0.024962582542056674,-0.04268008886459481,0.15993887402697154
RMER,0.292409883046059,0.0954001711098918,0.23713649807213802,-0.006830304867831681,0.14882335954542603,0.08380937387167232,-0.024242813676594328,1.0,0.14532616078753866,0.10366204839012512,0.12726120269473745,0.2641642077191111,-0.5351353201371611,-0.564777915396871,-0.07965677675729435,0.027665907155949573,0.11890778969538657,0.20820820791286196,0.2816776263472185,-0.5426451927504822,0.010295260948797055,0.26388112415849535,0.13545488788168422,0.4662947321562891,0.14826648681523782
AVDL,0.12314423854912489,0.11757299964537424,0.06733902645159343,-0.42959024606064905,0.3039233545517707,-0.09062600458767685,-0.10575801675009525,0.14532616078753866,1.0,0.06873856956388744,0.48994387519383636,0.03888196798921554,-0.07708009508737289,-0.23841759602236076,0.04682280784350052,0.36279988908009003,0.4539106375507337,-0.02379649204638398,0.07210361986455018,-0.0830297767241328,0.177603753312185,0.10289737001055063,0.44217822195995155,-0.08796505279146886,0.050353539117923105
M3R,0.08072839846606833,0.7426863486444781,0.16084567347265985,0.030122978045095124,0.2148037784918666,0.034034978386594195,-0.03339542016390369,0.10366204839012513,0.06873856956388745,1.0,0.23396834557012844,0.11342264454865006,-0.019581107221084335,-0.1019814581051642,0.03077033514651058,0.3089369976782494,0.2501047137049654,-0.006811702129877486,-0.006626545456395889,-0.019286691172698,0.09074272974668786,0.14325776595547035,0.1194182680432283,0.09960933156737542,0.09635389485399712
NSML,0.08195374912688114,0.283322177807939,-0.0348798809804009,-0.6261619189070844,0.44991127681827486,-0.16821405551187407,-0.16895452928722943,0.12726120269473745,0.48994387519383636,0.2339683455701284,1.0,0.016714377278377362,-0.18053787811190852,-0.3519571992939063,-0.01336613237689373,0.5867767364633117,0.8606919010628538,-0.046838368289915985,0.05649428127184552,-0.2133652223499458,0.13390484943396505,0.0358909218091222,0.4551444798061708,-0.1237708849886978,-0.04581645864500607
