,CEPDL,M3L,I2L,I3,IL2DL,OLQDL,RIVL,RMER,AVDL,M3R,NSML,OLQDR,AIBL,AVAL,AWBL,I1L,NSMR,SMDVL,URXL,AIBR,AWCL,CEPVL,FLPL,IL1DR,OLLL
CEPDL,0.0,-1.2821907538997885,-1.705152443228186,-1.4424152912939554,-1.4356062677418295,-0.6392094289817528,-0.6225193934793727,-0.8032253330439095,-0.7796129524306288,-1.3177570870648447,-1.5592742609621086,-0.708925698513699,-0.6857991725831398,-0.43716803095983076,-0.4655324188938619,-2.0974285561580075,-1.6085021236264034,-0.2046391979307006,-0.18289290054337848,-0.781980157544671,-0.6721305235054239,-0.7952941991740573,-1.3985981510377858,-0.8795354378005545,-0.8678014844729929
M3L,-1.2821907538997885,0.0,-0.4555918241991283,-0.4782157198192675,-0.6151968648839109,-0.723450081966932,-1.7700516667607107,-0.8155128342403258,-1.796740608153207,-0.36375856205411766,-0.31707859893706875,-0.7826824304020121,-1.4704204032959223,-1.1321412781820446,-1.4167878343077545,-0.8571558735320132,-0.5058825853446158,-1.282002318922546,-1.2610538235199615,-1.4768309509138644,-1.4400581583847258,-0.7974662702327178,-2.3997733168288917,-0.6048400738774279,-0.46182737347399927
I2L,-1.705152443228186,-0.4555918241991283,0.0,-0.5290058607001745,-0.6381706389831927,-1.1207859583214845,-2.2041364233176344,-1.2393041394566882,-2.2255546020444164,-0.6229709168466312,-0.1545359050869431,-1.1846174671982184,-1.9056143838120063,-1.5672373560252046,-1.8405897494992896,-0.4653059055045344,-0.5263335735759033,-1.7059082962619918,-1.7079593237350854,-1.930806546301428,-1.8640566943442962,-1.220316296892753,-2.791242685746817,-0.9899827890764564,-0.8342209171340661
I3,-1.4424152912939554,-0.4782157198192675,-0.5290058607001745,0.0,-0.3536954119882921,-0.8265678249111038,-1.9955553717176773,-0.9719891189652956,-2.079477035424876,-0.47859785975505575,-0.4831291608862517,-0.8392788798151797,-1.768072565655213,-1.4078210445061379,-1.6873785674225088,-0.6975036471599327,-0.4784043169430113,-1.4877551174818762,-1.4164772611687617,-1.7454475392302742,-1.7579408605515472,-1.148698492088871,-2.7106260558415864,-0.6325613839200003,-0.634123953300115
IL2DL,-1.4356062677418295,-0.6151968648839109,-0.6381706389831927,-0.3536954119882921,0.0,-0.8474578788928161,-2.0048681076895023,-1.1040318345989917,-2.063752122414292,-0.705472868084031,-0.6062368635677038,-0.9189397988203577,-1.7891118123754337,-1.4297961857420411,-1.6931263331058481,-0.7851104486515362,-0.7273860273288871,-1.483692421166698,-1.459298705481672,-1.79747387480068,-1.770037328222353,-1.207143315645641,-2.730433567892252,-0.7271402329319093,-0.6372552124408277
OLQDL,-0.6392094289817528,-0.723450081966932,-1.1207859583214845,-0.8265678249111038,-0.8474578788928161,0.0,-1.1920538234869584,-0.4882714485439006,-1.298714325879328,-0.7552008677322405,-0.994020857271436,-0.26531051312140336,-1.0316828671999358,-0.6767936586708487,-0.9128220856924084,-1.4851298901696215,-1.0332995388849018,-0.6712694173380279,-0.614699241470419,-1.0448588133158885,-1.0253347858786575,-0.6228664036568634,-1.9248775798703996,-0.29423839404776364,-0.31780624686970205
RIVL,-0.6225193934793727,-1.7700516667607107,-2.2041364233176344,-1.9955553717176773,-2.0048681076895023,-1.1920538234869584,0.0,-1.24715081652004,-0.33674714813435547,-1.8115731981989784,-2.0373050255036596,-1.2422199858924337,-0.5828989865007281,-0.67752474610779,-0.43072984103635126,-2.627876372093475,-2.1179624605436485,-0.5437162946474724,-0.6497575670139526,-0.7437573940747956,-0.5815134793564211,-1.0825377081203356,-0.844751888891504,-1.4062590035529046,-1.4063499514858708
RMER,-0.8032253330439095,-0.8155128342403258,-1.2393041394566882,-0.9719891189652956,-1.1040318345989917,-0.4882714485439006,-1.24715081652004,0.0,-1.3312625357464722,-0.6887897608795188,-1.1094626212387066,-0.33209716807012474,-0.9895902277447752,-0.7664374525154625,-0.9893172530254922,-1.5895097293021088,-0.9685175749233897,-0.8293629964188125,-0.7263085044158122,-0.8048444471147134,-1.023350723603676,-0.5699372432855051,-1.9086849016090084,-0.41266765036183556,-0.6325815837088137
AVDL,-0.7796129524306288,-1.796740608153207,-2.2255546020444164,-2.079477035424876,-2.063752122414292,-1.298714325879328,-0.33674714813435547,-1.3312625357464722,0.0,-1.8453900301683581,-2.0600965412876704,-1.362887070315698,-0.46501352645603744,-0.6482284682065228,-0.401400091853698,-2.6566386887427305,-2.144483901738757,-0.6837288529559686,-0.7949456339975085,-0.7392205340597925,-0.4170533917919311,-1.0641157827532275,-0.621242184578336,-1.497900873899987,-1.461756184514701
M3R,-1.3177570870648447,-0.36375856205411766,-0.6229709168466312,-0.47859785975505575,-0.705472868084031,-0.7552008677322405,-1.8115731981989784,-0.6887897608795188,-1.8453900301683581,0.0,-0.5178326960141071,-0.7216918249670662,-1.4945312862539082,-1.1942988287597318,-1.4878731776770553,-0.920745059019395,-0.3218473919272358,-1.3494546576724613,-1.2743581037448972,-1.4352058242032224,-1.5005774437398167,-0.8399654288569615,-2.4324838917074065,-0.5509733199063545,-0.5926415745698236
NSML,-1.5592742609621086,-0.31707859893706875,-0.1545359050869431,-0.4831291608862517,-0.6062368635677038,-0.994020857271436,-2.0373050255036596,-1.1094626212387066,-2.0600965412876704,-0.5178326960141071,0.0,-1.0552739115786622,-1.7554475135961605,-1.4133178988555966,-1.697261913393689,-0.5640970406221117,-0.47958460482246684,-1.5587327192591234,-1.5521178655695334,-1.7685248200862977,-1.719857630227475,-1.0795952955964696,-2.6899434634551604,-0.875136955632413,-0.7074000281341615
OLQDR,-0.708925698513699,-0.7826824304020121,-1.1846174671982184,-0.8392788798151797,-0.9189397988203577,-0.26531051312140336,-1.2422199858924337,-0.33209716807012474,-1.362887070315698,-0.7216918249670662,-1.0552739115786622,0.0,-1.0688317456905243,-0.7712036423058236,-1.0016886328247305,-1.5152572617578222,-0.9942494011969548,-0.7725214094870978,-0.6562462002917081,-0.9844930989188666,-1.103104912247472,-0.6789245776410777,-1.967921963749215,-0.23474607432581213,-0.48133791448882557
AIBL,-0.6857991725831398,-1.4704204032959223,-1.9056143838120063,-1.768072565655213,-1.7891118123754337,-1.0316828671999358,-0.5828989865007281,-0.9895902277447752,-0.46501352645603744,-1.4945312862539082,-1.7554475135961605,-1.0688317456905243,0.0,-0.43450477894657513,-0.3430179943969218,-2.344993398155645,-1.7895093151075578,-0.5769072798371214,-0.6510621950280954,-0.4478348325303917,-0.19537325915219692,-0.7172841387940482,-0.9340940952747225,-1.215234116086005,-1.1802367135687883
AVAL,-0.43716803095983076,-1.1321412781820446,-1.5672373560252046,-1.4078210445061379,-1.4297961857420411,-0.6767936586708487,-0.67752474610779,-0.7664374525154625,-0.6482284682065228,-1.1942988287597318,-1.4133178988555966,-0.7712036423058236,-0.43450477894657513,0.0,-0.3011041687745314,-1.9919729800869672,-1.491080598712719,-0.34791736546301694,-0.43087610929054465,-0.6463276483909454,-0.3575331741327647,-0.482189700028261,-1.2546871735597047,-0.8947708572890363,-0.8059462453347291
AWBL,-0.4655324188938619,-1.4167878343077545,-1.8405897494992896,-1.6873785674225088,-1.6931263331058481,-0.9128220856924084,-0.43072984103635126,-0.9893172530254922,-0.401400091853698,-1.4878731776770553,-1.697261913393689,-1.0016886328247305,-0.3430179943969218,-0.3011041687745314,0.0,-2.289757233529506,-1.7796531330487375,-0.3510676198343091,-0.48685920951340095,-0.6365155815002564,-0.2748914099631705,-0.7370908815113446,-1.0093384404486616,-1.1453229252523693,-1.0757141254698115
I1L,-2.0974285561580075,-0.8571558735320132,-0.4653059055045344,-0.6975036471599327,-0.7851104486515362,-1.4851298901696215,-2.627876372093475,-1.5895097293021088,-2.6566386887427305,-0.920745059019395,-0.5640970406221117,-1.5152572617578222,-2.344993398155645,-1.9919729800869672,-2.289757233529506,0.0,-0.6723378974233266,-2.115394725646411,-2.0914332575037657,-2.3311467618556683,-2.329728781505281,-1.677119626048342,-3.313461735985828,-1.307545136830573,-1.2252004073205789
NSMR,-1.6085021236264034,-0.5058825853446158,-0.5263335735759033,-0.4784043169430113,-0.7273860273288871,-1.0332995388849018,-2.1179624605436485,-0.9685175749233897,-2.144483901738757,-0.3218473919272358,-0.47958460482246684,-0.9942494011969548,-1.7895093151075578,-1.491080598712719,-1.7796531330487375,-0.6723378974233266,0.0,-1.638716540329303,-1.5696345337179802,-1.717405884452073,-1.797819116879427,-1.12431152663356,-2.7640260712247793,-0.8068978089355332,-0.843871330096011
SMDVL,-0.2046391979307006,-1.282002318922546,-1.7059082962619918,-1.4877551174818762,-1.483692421166698,-0.6712694173380279,-0.5437162946474724,-0.8293629964188125,-0.6837288529559686,-1.3494546576724613,-1.5587327192591234,-0.7725214094870978,-0.5769072798371214,-0.34791736546301694,-0.3510676198343091,-2.115394725646411,-1.638716540329303,0.0,-0.24580424819320718,-0.7293019292195502,-0.5615695304431513,-0.7068326136737172,-1.3237100009898772,-0.9265206699381596,-0.8872069166875874
URXL,-0.18289290054337848,-1.2610538235199615,-1.7079593237350854,-1.4164772611687617,-1.459298705481672,-0.614699241470419,-0.6497575670139526,-0.7263085044158122,-0.7949456339975085,-1.2743581037448972,-1.5521178655695334,-0.6562462002917081,-0.6510621950280954,-0.43087610929054465,-0.48685920951340095,-2.0914332575037657,-1.5696345337179802,-0.24580424819320718,0.0,-0.7114315499414564,-0.6798777104986026,-0.7488618127650103,-1.3934107587433575,-0.839545863454881,-0.8660150061361309
AIBR,-0.781980157544671,-1.4768309509138644,-1.930806546301428,-1.7454475392302742,-1.79747387480068,-1.0448588133158885,-0.7437573940747956,-0.8048444471147134,-0.7392205340597925,-1.4352058242032224,-1.7685248200862977,-0.9844930989188666,-0.4478348325303917,-0.6463276483909454,-0.6365155815002564,-2.3311467618556683,-1.717405884452073,-0.7293019292195502,-0.7114315499414564,0.0,-0.5874171438888183,-0.7409319387931064,-1.1704069681000664,-1.1560859533180887,-1.218384808004356
