,CEPDL,M3L,I2L,I3,IL2DL,OLQDL,RIVL,RMER,AVDL,M3R,NSML,OLQDR,AIBL,AVAL,AWBL,I1L,NSMR,SMDVL,URXL,AIBR,AWCL,CEPVL,FLPL,IL1DR,OLLL
CEPDL,0.0,-0.014606950606365346,-0.17431350404409404,-0.1381701656019551,0.0026245038935494213,0.9482387418844215,0.46371924077297055,0.7124849206406776,0.4140043786165964,-0.050218945003280065,-0.22192890993250608,0.5500406982695492,-0.10958178384689816,-0.07040955617143377,0.5818954623946719,-0.5919420940453479,-0.27788917139005176,0.8974001934664579,1.2900885810341467,-0.19035890279289885,0.420305650508518,0.6894884301979644,0.11263356749222472,0.33611860911663277,0.5354298241003462
M3L,-0.014606950606365346,0.0,0.7758409368669332,0.433929840792478,0.6869174278498661,0.24359981937164144,-0.610229428536864,0.3324235742680986,-0.3315967144030795,1.8661593059204555,1.0253351561250776,0.30652775812718436,-0.35952929248552656,-0.26660398154235443,-0.2155205370048601,0.7667027102798167,0.8509918426135913,-0.17713374394718315,-0.20054230442376714,-0.3942557420784967,-0.0769472904429439,0.4394585059552343,-0.7039125851317662,0.4797332541394685,0.48039458875151947
I2L,-0.17431350404409404,0.7758409368669332,0.0,0.7681207911372732,0.536026104157296,-0.003247251994689707,-0.8878243387446716,0.3089456650364085,-0.7303916535507593,0.608779955971568,0.5498238459848855,-0.10952917462124277,-0.812325984136453,-0.5301397386415404,-0.6793434302615097,0.5993137370222723,0.3072041353103332,-0.37768552037296466,-0.21525338118137752,-0.809235638523941,-0.5482513914565263,0.12081855472812468,-1.2298306303121045,0.39383590575290706,0.15698676661085542
I3,-0.1381701656019551,0.433929840792478,0.7681207911372732,0.0,0.002013197999812049,0.5997574049959729,-0.37772138188868437,0.043511785679214515,-1.5332020169760459,0.4668310611424073,-0.772625684054374,0.27299822273749513,-0.22850061946065806,0.348895347370223,-0.40596210431524893,-0.4281006925193891,-0.6469284009312992,-0.1210836665939396,-0.22446349294054915,-0.13377816566855869,-0.6420516358919146,0.12608501705396857,-1.7093875241791632,0.6772954872223548,0.5617616015185422
IL2DL,0.0026245038935494213,0.6869174278498661,0.536026104157296,0.002013197999812049,0.0,0.0812801560348009,-0.8333577431529013,0.2226030307674193,-0.18340446058526802,0.6302214216191993,1.1233832293087875,0.23408385746852356,-0.7175652746995014,-0.7105763007500019,-0.5113110043259242,0.9155322854253947,1.0098751569414068,-0.3432832004567591,-0.13427609219358813,-0.8099744053383718,-0.2712494620597978,0.08059184466082871,-0.73703217022831,0.27643174600454323,0.3154500623866796
OLQDL,0.9482387418844215,0.24359981937164144,-0.003247251994689707,0.5997574049959729,0.0812801560348009,0.0,0.17532116267882764,0.5537217738118757,-0.34137041580637173,0.26051390720477235,-0.267079744686165,1.4527792538332047,-0.12148660933586772,0.13463826456191916,0.5706432344834981,-0.4994424948438898,-0.2686679767843568,0.5122627320260609,0.5348861243929864,-0.10430217642828771,0.1124068909279016,0.845649195026933,-0.34965342808717953,0.8837087621424837,1.6590348786045017
RIVL,0.46371924077297055,-0.610229428536864,-0.8878243387446716,-0.37772138188868437,-0.8333577431529013,0.17532116267882764,0.0,-0.17721471792458013,0.30525461952214045,-0.6103074983909293,-1.0174245992478104,0.13198445870886238,0.875036218312754,0.860568768635531,0.613108182143902,-1.3236832113511696,-1.0799350761820667,1.3363078757779416,0.3697344648384985,0.8276463877290879,0.3211596676988586,0.04383284579322532,0.10511151339601793,-0.34243766982792334,0.028221638857726817
RMER,0.7124849206406776,0.3324235742680986,0.3089456650364085,0.043511785679214515,0.2226030307674193,0.5537217738118757,-0.17721471792458013,0.0,0.054666380112281386,0.43998519220713145,0.17424006617582,0.9927632846116476,-0.9790778469016553,-0.8487186466186933,-0.12345462587874925,-0.33375984897073124,0.2590715668374728,0.5382920580897378,0.7360322549443623,-0.8636807020134829,0.022463092233380715,0.8242148720430145,-0.35212438806935903,1.3230296144431997,0.5560441786402094
AVDL,0.4140043786165964,-0.3315967144030795,-0.7303916535507593,-1.5332020169760459,-0.18340446058526802,-0.34137041580637173,0.30525461952214045,0.054666380112281386,0.0,-0.4600823898851512,0.17839249854704123,-0.1614560399823322,0.2621081175446084,-0.15909639668653155,0.5336216349826906,-0.46935559797518844,0.052020377328726976,0.19552522060479668,0.30995081505025074,0.04778227727939321,0.7477215127655851,0.17390574206545864,1.147996091103719,-0.49773854836541764,-0.19267269374798668
M3R,-0.050218945003280065,1.8661593059204555,0.608779955971568,0.4668310611424073,0.6302214216191993,0.26051390720477235,-0.6103074983909293,0.43998519220713145,-0.4600823898851512,0.0,0.7943695824935533,0.4318235228856034,-0.35552107322723564,-0.28936608806755676,-0.270948878898126,0.6753338317116114,0.9659773816750358,-0.23286769033493115,-0.1857291991891252,-0.3185789033033777,-0.16940694845552012,0.39863183033751814,-0.7649896434186243,0.5357974383536861,0.488742958855607
NSML,-0.22192890993250608,1.0253351561250776,0.5498238459848855,-0.772625684054374,1.1233832293087875,-0.267079744686165,-1.0174245992478104,0.17424006617582,0.17839249854704123,0.7943695824935533,0.0,0.023764953677524903,-0.8403726624055466,-0.9134633430279943,-0.4908602178005434,1.439739739322801,1.9961869108877297,-0.4554270412863928,-0.25503218715322246,-0.9146152290340059,-0.26560233002918837,0.0374989169930257,-0.29837222364149885,-0.11396141475844201,0.1658578479817695
OLQDR,0.5500406982695492,0.30652775812718436,-0.10952917462124277,0.27299822273749513,0.23408385746852356,1.4527792538332047,0.13198445870886238,0.9927632846116476,-0.1614560399823322,0.4318235228856034,0.023764953677524903,0.0,-0.09718593642535082,-0.04872076317786782,0.41436778575116845,-0.3756571230631505,0.07702061383989545,0.4221005887917409,0.4332249301668614,-0.06994671781572077,0.0911573035556927,0.8268581859317633,-0.2597528473876242,1.3338792316821244,1.6352535498296088
AIBL,-0.10958178384689816,-0.35952929248552656,-0.812325984136453,-0.22850061946065806,-0.7175652746995014,-0.12148660933586772,0.875036218312754,-0.9790778469016553,0.2621081175446084,-0.35552107322723564,-0.8403726624055466,-0.09718593642535082,0.0,1.7751391515785178,0.6793268254171818,-0.8961072451558032,-0.8323325726167836,0.2968818701472881,-0.060278296153208025,2.1979264533288423,0.845007626274588,0.09258305324059243,-0.0771816536841545,-0.5247815504728058,0.07068473624757726
AVAL,-0.07040955617143377,-0.26660398154235443,-0.5301397386415404,0.348895347370223,-0.7105763007500019,0.13463826456191916,0.860568768635531,-0.8487186466186933,-0.15909639668653155,-0.28936608806755676,-0.9134633430279943,-0.04872076317786782,1.7751391515785178,0.0,0.7141496265046843,-0.972211637246984,-0.9029646837959859,0.5692865766678304,0.06742640109926742,1.709542043843294,0.5443187937469136,0.15409534486256693,-0.5900206627064373,-0.2722240464107177,0.10618228525797557
AWBL,0.5818954623946719,-0.2155205370048601,-0.6793434302615097,-0.40596210431524893,-0.5113110043259242,0.5706432344834981,0.613108182143902,-0.12345462587874925,0.5336216349826906,-0.270948878898126,-0.4908602178005434,0.41436778575116845,0.6793268254171818,0.7141496265046843,0.0,-0.9016571685837377,-0.5760396012070645,0.4114315485889308,0.3490158063202025,0.47590709376862744,0.8317256916836502,0.5482695670373349,0.21830072923095792,-0.0901557506298702,0.4219147725690459
I1L,-0.5919420940453479,0.7667027102798167,0.5993137370222723,-0.4281006925193891,0.9155322854253947,-0.4994424948438898,-1.3236832113511696,-0.33375984897073124,-0.46935559797518844,0.6753338317116114,1.439739739322801,-0.3756571230631505,-0.8961072451558032,-0.972211637246984,-0.9016571685837377,0.0,1.2421332222755863,-0.8148221741780943,-0.759185428237092,-0.9366326101979501,-0.6920302905303196,-0.4084711573402483,-1.0227041464066162,-0.3746260968656608,-0.18102418282590604
