,CEPDL,M3L,I2L,I3,IL2DL,OLQDL,RIVL,RMER,AVDL,M3R,NSML,OLQDR,AIBL,AVAL,AWBL,I1L,NSMR,SMDVL,URXL,AIBR,AWCL,CEPVL,FLPL,IL1DR,OLLL
CEPDL,38,38,37,37,36,36,36,36,35,35,35,35,34,34,34,34,34,34,34,33,33,33,33,33,33
M3L,38,38,37,37,36,36,36,36,35,35,35,35,34,34,34,34,34,34,34,33,33,33,33,33,33
I2L,37,37,37,36,35,35,35,35,34,34,34,34,33,33,33,33,33,33,33,32,32,32,33,32,32
I3,37,37,36,37,35,36,36,36,34,34,34,35,33,33,34,33,33,34,33,32,33,33,33,32,32
IL2DL,36,36,35,35,36,35,34,35,33,33,33,34,32,32,32,32,32,33,33,31,31,31,31,31,32
OLQDL,36,36,35,36,35,36,35,35,33,33,33,35,32,32,33,32,32,34,33,31,32,32,32,31,32
RIVL,36,36,35,36,34,35,36,35,33,33,33,34,32,32,34,33,32,33,32,31,33,32,32,31,31
RMER,36,36,35,36,35,35,35,36,33,33,33,34,32,32,33,32,32,33,32,31,32,32,32,31,31
AVDL,35,35,34,34,33,33,33,33,35,32,32,32,32,31,31,31,31,31,31,30,30,30,31,30,30
M3R,35,35,34,34,33,33,33,33,32,35,32,32,31,32,31,31,33,31,33,31,30,30,30,30,30
NSML,35,35,34,34,33,33,33,33,32,32,35,32,31,32,31,32,31,33,31,31,30,30,30,31,30
OLQDR,35,35,34,35,34,35,34,34,32,32,32,35,31,31,32,31,32,33,32,30,31,31,31,30,31
AIBL,34,34,33,33,32,32,32,32,32,31,31,31,34,31,30,30,31,30,30,30,29,29,30,29,29
AVAL,34,34,33,33,32,32,32,32,31,32,32,31,31,34,30,30,30,30,31,29,29,30,29,30,29
AWBL,34,34,33,34,32,33,34,33,31,31,31,32,30,30,34,31,30,31,30,29,32,30,30,29,30
I1L,34,34,33,33,32,32,33,32,31,31,32,31,30,30,31,34,30,31,30,31,31,29,29,30,29
NSMR,34,34,33,33,32,32,32,32,31,33,31,32,31,30,30,30,34,30,31,30,29,29,29,29,29
SMDVL,34,34,33,34,33,34,33,33,31,31,33,33,30,30,31,31,30,34,31,30,30,30,30,29,30
URXL,34,34,33,33,33,33,32,32,31,33,31,32,30,31,30,30,31,31,34,29,29,29,29,29,30
AIBR,33,33,32,32,31,31,31,31,30,31,31,30,30,29,29,31,30,30,29,33,29,28,30,29,28
AWCL,33,33,32,33,31,32,33,32,30,30,30,31,29,29,32,31,29,30,29,29,33,30,29,30,29
CEPVL,33,33,32,33,31,32,32,32,30,30,30,31,29,30,30,29,29,30,29,28,30,33,29,29,29
FLPL,33,33,33,33,31,32,32,32,31,30,30,31,30,29,30,29,29,30,29,30,29,29,33,28,28
IL1DR,33,33,32,32,31,31,31,31,30,30,31,30,29,30,29,30,29,29,29,29,30,29,28,33,29
OLLL,33,33,32,32,32,32,31,31,30,30,30,31,29,29,30,29,29,30,30,28,29,29,28,29,33
