identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
ADAL,0.2574864507859122,-0.1408492954919018,0.39833574627781404,0.4442924575607019,756,28,84,0.6904761904761905
ADAR,0.23898331685737118,-0.11062674676555495,0.3496100636229262,0.2874356917371544,20,5,15,0.2666666666666666
ADEL,0.1343373520139059,0.08101069993415556,0.05332665207975032,0.07464629435734846,930,31,93,0.6451612903225806
ADER,0.08216819075791551,0.04320929375810934,0.03895889699980616,0.039848975380685235,240,16,48,0.5208333333333334
ADLL,0.129954769007308,-0.08168007219485651,0.2116348412021645,0.23237017657306508,342,19,57,0.7192982456140351
ADLR,0.05748903782673163,-0.009022859243272764,0.06651189707000442,0.0566559837412166,42,7,21,0.5238095238095238
AIAL,0.3518609971161037,0.04464372598161642,0.30721727113448727,0.30721727113448727,2,2,6,0.0
AIAR,0.3085852216290514,-0.008999697833604638,0.31758491946265593,0.27453924993401657,6,3,9,0.0
AIBL,0.6026968145652906,0.08430080833893655,0.5183960062263541,0.5390507689712329,1122,34,102,0.8333333333333334
AIBR,0.6728430270298371,0.24122767880564222,0.4316153482241949,0.4170002614342109,1056,33,99,0.8484848484848485
AIML,0.22854036509919837,0.13114143118552898,0.09739893391366937,0.1405035130635142,210,15,45,0.4888888888888889
AIMR,0.3185673059275154,0.18063757569095587,0.13792973023655955,0.16723711844284223,210,15,45,0.2888888888888888
AINL,0.060550080815094505,0.009378431072246373,0.051171649742848144,0.06297306072142139,756,28,84,0.7738095238095238
AINR,0.15217918304297937,-0.013974210298307609,0.16615339334128698,0.15651815953440162,210,15,45,0.5777777777777777
AIYL,0.3801419259603505,0.15680408003741497,0.22333784592293546,0.2911386002930657,90,10,30,0.5666666666666667
AIYR,0.5490487265032573,0.1673331401836552,0.381715586319602,0.3649424227561986,90,10,30,0.6
AIZL,0.0467716947812051,0.04624768658595313,0.000524008195251971,0.0004018601381272219,992,32,96,0.6458333333333334
AIZR,0.10137289457567922,-0.022824321949822802,0.12419721652550204,0.10022284953294482,702,27,81,0.6419753086419753
ALA,0.09093045879288306,0.11858021110533759,-0.02764975231245449,-0.016690948839627087,20,5,15,0.7333333333333333
AQR,0.2745355828370556,0.11984255251667575,0.1546930303203799,0.1878061955754534,240,16,48,0.7083333333333334
ASEL,0.17591529659636249,0.04125766981442064,0.13465762678194185,0.13244282290047152,930,31,93,0.6989247311827957
ASER,0.04497270965489603,-0.015209350334916763,0.0601820599898128,0.07519518763081494,306,18,54,0.5185185185185185
ASGL,0.5797408381676548,0.02912233083996953,0.5506185073276852,0.5417418156703311,930,31,93,0.7849462365591398
ASGR,0.5977832893069535,0.14257006632651328,0.45521322298044015,0.465704112146212,462,22,66,0.8181818181818182
ASHL,0.332874148489574,0.07166039651998123,0.26121375196959273,0.3411642917836338,306,18,54,0.7222222222222222
ASHR,0.5481094278218381,0.11985737462059566,0.4282520532012426,0.42887584740222573,6,3,9,0.0
ASIL,0.04073646765170217,-0.04086829234400956,0.08160475999571172,0.056700624493417756,56,8,24,0.7083333333333334
ASIR,0.14075315159319451,-0.11284937366033823,0.2536025252535327,0.24789881927416718,56,8,24,0.375
ASJL,-0.18867366059171684,0.05169799590625773,-0.24037165649797454,-0.2669631872739573,6,3,9,0.0
ASKL,0.2800214035452758,-0.01830671441801088,0.2983281179632868,0.42670114149016347,12,4,12,0.0
ASKR,0.10701132402047896,0.005353339738684074,0.10165798428179484,0.08727406909037731,12,4,12,0.0
AUAL,0.3041938728985865,-0.03272273377674209,0.33691660667532863,0.3563729068445717,992,32,96,0.7083333333333334
AUAR,0.25815287475129167,-0.025452588024302968,0.2836054627755947,0.3082616544461886,210,15,45,0.5333333333333333
AVAL,0.6588334799276884,0.189026675991851,0.46980680393583735,0.4379832387586789,1122,34,102,0.9607843137254902
AVAR,0.6250276781803407,0.2877619863848313,0.3372656917955094,0.33539793607982826,756,28,84,0.9761904761904762
AVBL,0.5958796368595751,0.16648596637969165,0.4293936704798835,0.3954387234354876,42,7,21,0.5714285714285714
AVBR,0.5189135827073782,0.023853197559006726,0.49506038514837153,0.48722761333842657,6,3,9,0.4444444444444444
AVDL,0.37435962413471185,0.06032799084173783,0.314031633292974,0.3048131896031154,1190,35,105,0.7333333333333333
AVDR,0.28887895213647596,-0.03409347619173277,0.32297242832820866,0.35085409632914516,552,24,72,0.5416666666666666
AVEL,0.7040122111647246,0.35295882365649367,0.3510533875082308,0.34722176823373424,812,29,87,0.9310344827586208
AVER,0.6890320153521068,0.36814433108633404,0.3208876842657727,0.2871382142713143,870,30,90,0.9222222222222224
AVHL,0.4181700502123072,-0.015798627579155646,0.4339686777914628,0.45452158305920926,240,16,48,0.875
AVJL,0.1828707078758671,0.057547194192855526,0.12532351368301162,0.12984341488680898,992,32,96,0.5625
AVJR,0.14300843514228512,0.0391854532204288,0.10382298192185632,0.11893242232087245,930,31,93,0.5591397849462365
AVKL,0.2103958592382484,-0.1099737132838552,0.32036957252210363,0.25578178901818077,6,3,9,0.2222222222222222
AVKR,0.08747478647048486,-0.02637793464101759,0.11385272111150244,0.12166526478600807,30,6,18,0.2777777777777778
AVL,0.1322543471104396,-0.030559849615611607,0.16281419672605119,0.09672024536795343,342,19,57,0.2807017543859649
AWAL,0.18971745785831629,0.07541853405152217,0.11429892380679411,0.12196882779951088,506,23,69,0.8115942028985508
AWAR,0.22402103361765496,0.1443881658260832,0.07963286779157176,0.06562467533425537,506,23,69,0.4782608695652174
AWBL,0.24113752753904405,0.046467094593149454,0.1946704329458946,0.20809329545207045,1122,34,102,0.7156862745098039
AWBR,0.17641345066645378,0.09789328473591154,0.07852016593054227,0.08595317146861847,342,19,57,0.5964912280701754
AWCL,0.02998827276617762,-0.029306167545868296,0.05929444031204592,0.05007662878129475,1056,33,99,0.7070707070707071
AWCR,0.0704012166821138,0.030278735492622208,0.04012248118949159,0.07514214826509077,342,19,57,0.6666666666666666
BAGL,0.4432299899502278,-0.0018585322807839362,0.4450885222310118,0.4493068163396725,272,17,51,0.9411764705882352
BAGR,0.6737606612452217,0.05916401419727549,0.6145966470479463,0.5472072686736109,6,3,9,0.1111111111111111
CEPDL,0.35306294804574795,0.12793148333394372,0.22513146471180426,0.21382391761549835,1406,38,114,0.8421052631578947
CEPDR,0.39654134644745964,0.15923888785304308,0.23730245859441648,0.22497540072861533,992,32,96,0.75
CEPVL,0.21705755615704683,0.12510602397337306,0.09195153218367375,0.12031468514833032,1056,33,99,0.696969696969697
CEPVR,0.22433369920938076,0.12050847549367506,0.1038252237157057,0.11807688814668443,756,28,84,0.5833333333333334
FLPL,0.38604255442775404,0.11306906725477069,0.27297348717298336,0.2929097650767037,1056,33,99,0.5353535353535354
FLPR,0.38757689975313775,0.04312567755829203,0.34445122219484575,0.34868854503109453,210,15,45,0.5555555555555556
I1L,0.5170519198924122,0.2607589843694079,0.25629293552300414,0.2528757571130086,1122,34,102,0.9019607843137256
I1R,0.49795350330081445,0.24122797998231424,0.25672552331850024,0.27182804004459915,812,29,87,0.8850574712643678
I2L,0.2174512968233804,0.05359403845111687,0.16385725837226353,0.18306130697585332,1332,37,111,0.8378378378378378
I2R,0.2815274132541441,0.08582940363588044,0.1956980096182637,0.1988864972342857,870,30,90,0.9333333333333332
I3,0.4388293540681662,-0.33483654047947653,0.7736658945476427,0.7958851168588043,1332,37,111,0.945945945945946
I4,0.4933984714257565,0.02606777251158439,0.4673306989141722,0.47961275042897455,72,9,27,0.6666666666666666
I5,0.2854160603044166,0.1504827245660351,0.13493333573838148,0.03963993149084837,6,3,9,0.0
I6,0.065879406202926,0.05166156466463647,0.014217841538289526,0.06649695343064099,132,12,36,0.1388888888888889
IL1DL,0.41661617607640455,0.2755512220861069,0.14106495399029767,0.16584208585615387,756,28,84,0.7976190476190477
IL1DR,0.4835863629913505,0.24984951693939705,0.2337368460519534,0.21937810351228704,1056,33,99,0.8282828282828283
IL1L,0.4353014779427888,0.1633611929371005,0.2719402850056883,0.27122096171116894,992,32,96,0.84375
IL1R,0.5187800296913126,0.1095274106012166,0.40925261909009614,0.39234221685434634,930,31,93,0.8172043010752689
IL1VL,0.3709399719745129,0.10378966532704895,0.26715030664746403,0.2625421501605118,306,18,54,0.7037037037037037
IL1VR,0.4492955627124303,0.14988410184812118,0.29941146086430914,0.296992008282158,506,23,69,0.8405797101449275
IL2DL,0.4106874005966886,0.11147626074027207,0.29921113985641656,0.32300929247467947,1260,36,108,0.8333333333333334
IL2DR,0.37022238117318373,0.13903699204090844,0.2311853891322753,0.2684352568021273,756,28,84,0.7976190476190477
IL2L,0.3349968907264916,0.18350017748555142,0.15149671324094022,0.1548083456132553,756,28,84,0.6785714285714286
IL2R,0.31939257217509043,0.12151239444561493,0.19788017772947555,0.2164472899212943,552,24,72,0.5972222222222222
IL2VL,0.37512878225731894,0.2134471033130711,0.1616816789442478,0.1796972750984872,702,27,81,0.9629629629629628
IL2VR,0.2695115199366022,0.17943558970831663,0.09007593022828558,0.08398375821834961,812,29,84,0.9166666666666666
M1,0.3073221929928946,-0.02596558062858024,0.33328777362147494,0.376697653343549,342,19,57,0.7719298245614035
M3L,0.38593106887928924,0.21453390462934244,0.17139716424994686,0.16670550333983278,1406,38,114,0.7982456140350878
M3R,0.3770288370429327,0.1615596001200045,0.21546923692292827,0.22776638828191834,1190,35,105,0.819047619047619
M4,0.3483728900482709,0.04233721573999662,0.3060356743082743,0.33191908472517795,756,28,84,0.8571428571428571
M5,0.06977443993878284,0.06038523521525555,0.009389204723527288,0.03796012193375978,506,23,69,0.7536231884057971
MCL,0.5194808135106759,0.2462538788341517,0.27322693467652426,0.26407483573828994,702,27,81,0.8024691358024691
MCR,0.5161693159295696,0.3380125777985058,0.1781567381310639,0.14947984769211617,132,12,36,0.8333333333333334
MI,0.4414684967851598,0.09292931975381771,0.34853917703134213,0.37529628923669794,812,29,87,0.8735632183908046
NSML,0.5349053486219162,0.2208840175162693,0.314021331105647,0.3157830001014408,1190,35,105,0.780952380952381
NSMR,0.5297961382318224,0.18864089822244007,0.3411552400093823,0.31805455634105695,1122,34,102,0.7941176470588235
OLLL,0.42468924592852125,0.22359171127852068,0.20109753465000055,0.1920609615354718,1056,33,99,0.898989898989899
OLLR,0.4090598248769799,0.20435728987888163,0.20470253499809826,0.20965037528659075,1056,33,99,0.8787878787878788
OLQDL,0.47939575363239295,0.2821101114414433,0.1972856421909497,0.19040749544542945,1260,36,108,0.8703703703703703
OLQDR,0.45090889519535987,0.30715693248194487,0.14375196271341495,0.1345142109811569,1190,35,105,0.8380952380952381
OLQVL,0.4928531736985604,0.21549682423566577,0.27735634946289467,0.2747134325762485,992,32,96,0.8645833333333334
OLQVR,0.4372476130274548,0.1543489207837901,0.2828986922436647,0.26060682036639915,702,27,81,0.8024691358024691
RIAL,0.049686254609052787,-0.012776302670035704,0.06246255727908848,0.05660240000143455,600,25,75,0.9733333333333334
RIAR,0.06771908885980274,0.0344980793334569,0.033221009526345824,0.04867565594246079,210,15,45,0.8444444444444444
RIBL,0.6588838015211318,-0.1139351704966387,0.7728189720177705,0.7643251269684952,240,16,48,0.8541666666666666
RIBR,0.5321174528112043,0.025041267695287733,0.5070761851159163,0.5032314616303943,20,5,15,0.4666666666666667
RICL,0.35565173497704455,0.1317733883380817,0.22387834663896286,0.2078345996712332,1056,33,99,0.6060606060606061
RICR,0.3048096656040885,0.05031258728207741,0.2544970783220111,0.2833085812688271,380,20,60,0.6
RID,0.624763338655142,0.321153341827872,0.30360999682726997,0.2750653705513516,992,32,96,0.9583333333333334
RIH,0.19051205046745606,0.01299963822913286,0.17751241223832323,0.181034134830751,506,23,69,0.4782608695652174
RIML,0.6989329652669566,-0.13125210282281713,0.8301850680897738,0.7968378433724157,132,12,36,0.9166666666666666
RIMR,0.696322092257308,0.08741102065668911,0.6089110716006189,0.5959320551360547,132,12,36,0.8888888888888888
RIR,0.1973365938997736,0.09999472280560322,0.09734187109417035,0.06682556255125588,20,5,15,0.4
RIS,0.013547533159582107,0.017736917329647384,-0.004189384170065298,0.03645462832858349,56,8,24,0.0
RIVL,0.4013947839502722,-0.03068913170510118,0.43208391565537335,0.4323807929518578,1260,36,108,0.8981481481481481
RIVR,0.49171722493496556,0.08351192102010367,0.4082053039148619,0.3966080448781754,702,27,81,0.8518518518518519
RMDDL,0.30228639969568016,-0.018859139973712993,0.3211455396693932,0.3258760077824828,812,29,87,0.7241379310344828
RMDDR,0.24867464393470992,0.00767207794005955,0.2410025659946504,0.25705360651752185,870,30,90,0.7666666666666667
RMDL,0.38090270077967286,0.21465867011063958,0.1662440306690333,0.1613160835502891,1056,33,99,0.898989898989899
RMDR,0.3720176659404685,0.22559201563067244,0.14642565030979607,0.15952140148500868,420,21,63,0.6666666666666666
RMDVL,0.20962268774391024,-0.036122176349534824,0.24574486409344506,0.2713675853763343,930,31,93,0.9247311827956988
RMDVR,0.31753631610749133,0.09481938575175856,0.22271693035573284,0.23628795472901132,992,32,96,0.8333333333333334
RMED,0.6559540622250857,0.20355350868222422,0.45240055354286146,0.4224361199726674,132,12,36,1.0
RMEL,0.4718471166019851,0.08603595047719803,0.3858111661247871,0.39218854541508674,1056,33,99,0.8888888888888888
RMER,0.6032180822988311,0.1032555816914567,0.49996250060737446,0.491890973295452,1260,36,108,0.9537037037037036
RMEV,0.364739584403194,-0.12126726167510912,0.48600684607830313,0.5293290853059311,342,19,57,0.6491228070175439
RMFL,-0.09772487745057627,0.026760063049828,-0.12448494050040426,-0.21513961488725405,12,4,12,0.0
RMGL,0.48260694696652656,0.009826686079158119,0.4727802608873685,0.4817035777791696,342,19,57,0.7719298245614035
SAADL,0.14695478205553344,-0.0018613028920562197,0.14881608494758966,0.1296808775004753,56,8,24,0.0416666666666666
SAADR,0.001330827740199098,-0.015826408647504755,0.017157236387703858,0.018119071924983764,90,10,30,0.0666666666666666
SAAVL,0.32577926121821743,-0.03145857688504762,0.357237838103265,0.3767696401002182,342,19,57,0.7543859649122807
SAAVR,0.46301294189742753,0.14208205948453567,0.32093088241289186,0.322542387377153,110,11,33,0.5757575757575758
SIBDL,0.4294384249365347,-0.2482055862884765,0.6776440112250113,0.6776440112250113,2,2,6,0.0
SIBDR,0.536526358222893,0.3755897576392897,0.1609366005836032,0.1609366005836032,2,2,6,0.0
SMBDL,0.5420816047572155,0.22082378997854984,0.3212578147786656,0.3212578147786656,2,2,6,0.0
SMBDR,-0.021053188199323697,0.05299653358671582,-0.07404972178603951,-0.3024987439532423,20,5,15,0.0
SMBVL,-0.017300944430789677,0.05519782455512798,-0.07249876898591767,-0.3698808553450266,6,3,9,0.0
SMBVR,0.10559371013305331,0.10984671330243877,-0.00425300316938546,0.07143067037127124,42,7,21,0.3333333333333333
SMDDL,0.14202338533017228,0.02965876103889972,0.11236462429127254,0.12606242669920412,210,15,45,0.3777777777777777
SMDDR,0.07993366530097198,0.00855090530563785,0.07138275999533412,0.09594831327932463,156,13,39,0.1282051282051282
SMDVL,0.28495503502191644,0.036758975184091366,0.24819605983782508,0.27145706519807833,1122,34,102,0.8333333333333334
SMDVR,0.2813043719006277,0.032056314576716746,0.24924805732391092,0.2939665589104507,702,27,81,0.7160493827160493
URADL,0.5055492122806559,0.047049208533316476,0.4585000037473394,0.42323722270234687,306,18,54,0.7592592592592593
URADR,0.4349227961241909,-0.02960594657902391,0.4645287427032148,0.4380302964765569,56,8,24,0.8333333333333334
URAVL,0.3042750576246882,0.054003670088328126,0.25027138753636013,0.25671787634063825,210,15,45,0.6222222222222222
URAVR,0.3959285645536727,0.07506505328401587,0.32086351126965673,0.2902900327145864,12,4,12,0.0
URBL,0.4170458792797123,0.1754568375687198,0.24158904171099246,0.23883202023653266,992,32,96,0.78125
