identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
ADAL,0.9033591429370613,0.892033999221808,0.01132514371525347,0.009434859321006628,756,28,84,0.6904761904761905
ADAR,0.9217909370304594,0.8977807197190784,0.024010217311381366,0.014690207928234944,20,5,15,0.2666666666666666
ADEL,0.899407081392024,0.8878029340741733,0.011604147317850663,0.009115902594134528,930,31,93,0.6451612903225806
ADER,0.9238303057001883,0.9060776989390343,0.01775260676115414,0.015942460899077804,240,16,48,0.5208333333333334
ADLL,0.914306118628288,0.8869781731834052,0.0273279454448828,0.02558735363572301,342,19,57,0.7192982456140351
ADLR,0.9270259204527581,0.8964556427280302,0.030570277724727972,0.023611849159471954,42,7,21,0.5238095238095238
AIAL,0.9178189917441704,0.8818466385266043,0.03597235321756609,0.03597235321756609,2,2,6,0.0
AIAR,0.9052453396475526,0.8577150478689148,0.04753029177863773,0.06094665731637,6,3,9,0.0
AIBL,0.8517168430782531,0.8284713290819189,0.023245513996334136,0.017443207573660136,1122,34,102,0.8333333333333334
AIBR,0.851337726023207,0.8227510577327842,0.028586668290422605,0.027882651998766217,1056,33,99,0.8484848484848485
AIML,0.8509392092995354,0.8324654412401048,0.018473768059430552,0.014263247401994916,210,15,45,0.4888888888888889
AIMR,0.8325253837791534,0.8276704594981265,0.004854924281026943,0.014739473913796708,210,15,45,0.2888888888888888
AINL,0.8879334428926329,0.8737086361499488,0.01422480674268422,0.012113740366880399,756,28,84,0.7738095238095238
AINR,0.9077568092362291,0.8828639713482709,0.02489283788795819,0.013927196438099199,210,15,45,0.5777777777777777
AIYL,0.8454067026487713,0.8333206467227489,0.012086055926022177,0.016064702775265782,90,10,30,0.5666666666666667
AIYR,0.9134950289862125,0.8865780128712294,0.026917016114983074,0.01793437151578897,90,10,30,0.6
AIZL,0.8922798074953738,0.8793879481385152,0.012891859356858626,0.010405529106513933,992,32,96,0.6458333333333334
AIZR,0.8951890029355081,0.8739322443713512,0.02125675856415705,0.015669913228418098,702,27,81,0.6419753086419753
ALA,0.8821923919074381,0.873571662317602,0.008620729589836118,0.011743550725887564,20,5,15,0.7333333333333333
AQR,0.9396712462032596,0.9129349391017078,0.02673630710155194,0.017332464338561504,240,16,48,0.7083333333333334
ASEL,0.8832289566375336,0.8711877256359792,0.012041231001554385,0.010920087364972908,930,31,93,0.6989247311827957
ASER,0.9119840385067506,0.8932863811532203,0.018697657353530277,0.016532299205812284,306,18,54,0.5185185185185185
ASGL,0.8648540340215851,0.8498565384722028,0.014997495549382431,0.01318663574258827,930,31,93,0.7849462365591398
