animal_a,animal_b,n_shared_ids,modality,condition,similarity
2022-07-20-01,2022-12-21-06,49,Geometry,Aligned,0.9424821512441531
2022-07-20-01,2022-12-21-06,49,Activity,Aligned,0.3086235883809672
2022-07-20-01,2022-12-21-06,49,Multimodal,Aligned,0.6268461435097286
2022-07-20-01,2023-01-10-07,71,Geometry,Aligned,0.9344698569693352
2022-07-20-01,2023-01-10-07,71,Activity,Aligned,0.5140246306874872
2022-07-20-01,2023-01-10-07,71,Multimodal,Aligned,0.725231333151311
2022-07-20-01,2023-01-10-14,69,Geometry,Aligned,0.8133172385075498
2022-07-20-01,2023-01-10-14,69,Activity,Aligned,0.4300770749463157
2022-07-20-01,2023-01-10-14,69,Multimodal,Aligned,0.6362766109128464
2022-07-20-01,2023-03-07-01,63,Geometry,Aligned,0.9294890041443826
2022-07-20-01,2023-03-07-01,63,Activity,Aligned,0.4589237677187313
2022-07-20-01,2023-03-07-01,63,Multimodal,Aligned,0.7090327543371575
2022-07-20-01,2022-06-14-01,59,Geometry,Aligned,0.9234667121311748
2022-07-20-01,2022-06-14-01,59,Activity,Aligned,0.4831469550543778
2022-07-20-01,2022-06-14-01,59,Multimodal,Aligned,0.6917716137616448
2022-07-20-01,2022-06-14-07,67,Geometry,Aligned,0.9529082393547997
2022-07-20-01,2022-06-14-07,67,Activity,Aligned,0.4802564062795564
2022-07-20-01,2022-06-14-07,67,Multimodal,Aligned,0.7375472935708304
2022-07-20-01,2022-06-14-13,78,Geometry,Aligned,0.9155182971975763
2022-07-20-01,2022-06-14-13,78,Activity,Aligned,0.4596478910423288
2022-07-20-01,2022-06-14-13,78,Multimodal,Aligned,0.6926641681722302
2022-07-20-01,2022-07-15-06,57,Geometry,Aligned,0.8662341726787477
2022-07-20-01,2022-07-15-06,57,Activity,Aligned,0.3363175192953533
2022-07-20-01,2022-07-15-06,57,Multimodal,Aligned,0.5704517664130413
2022-07-20-01,2022-07-15-12,70,Geometry,Aligned,0.8864369366738095
2022-07-20-01,2022-07-15-12,70,Activity,Aligned,0.4362339371617387
2022-07-20-01,2022-07-15-12,70,Multimodal,Aligned,0.6756958356572524
2022-07-20-01,2022-07-26-01,55,Geometry,Aligned,0.9370583645357788
2022-07-20-01,2022-07-26-01,55,Activity,Aligned,0.5887483844387599
2022-07-20-01,2022-07-26-01,55,Multimodal,Aligned,0.7460853427565213
2022-07-20-01,2022-08-02-01,83,Geometry,Aligned,0.32986431702432656
2022-07-20-01,2022-08-02-01,83,Activity,Aligned,0.5870013644586354
2022-07-20-01,2022-08-02-01,83,Multimodal,Aligned,0.46997501183964946
