candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
I1R,Geometry,83,I1R,2022-08-02-01,2022-06-14-13,0.3446126585131124
IL2DL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3579707234056835
I2R,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.34403595348574295
I3,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3550620973418164
NSMR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3462233482345913
I2L,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3412463189876489
MCL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3443476531905056
NSML,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3431937433128424
M4,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.35877446201309493
M3R,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.35218020450844667
M3L,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3483899665320623
IL2VL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3435455285502814
IL1R,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3506059173412433
OLLL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.34859414983429365
IL2L,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3462309682788948
URBR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3455255973963599
OLLR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3456328364917982
IL1DL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3467567134480427
IL1DR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.34345112410926987
URYVR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3380038817311824
IL2R,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3330674105433864
URYDL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.34134275992351254
IL1L,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3375561090851293
URBL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.33035343686777885
OLQDR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.32247234792554696
OLQDL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3242790271637576
RMER,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3184131397472058
OLQVR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.3154033906176438
URYVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.31818833670417024
RMED,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.2880661287649516
RMEL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.28887990286510284
CEPVR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.27914409571259585
OLQVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.27993827857599857
CEPVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.22834857818022092
SAAVR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.2124839849987029
RID,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.206521050826342
SMDVR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.17385996082313773
URXR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.1691144104125747
RIAR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.1708832234213426
AVAR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.16704678881883422
SAAVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.18288322698758716
CEPDR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.15605816725060703
URXL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.15974386624663708
CEPDL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.1430621645851412
SMDDR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.12542706124238406
RMEV,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.12593564874022034
RIAL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.13341744701849106
AVER,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.10873922914993087
AWAR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.0734657644459498
SMDVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.08679162865333447
AVAL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.07551959902041357
RMDL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.037906202380901664
AIBR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.02605898962489093
ASGR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,0.006644269298228987
AVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.03603712547539743
AVEL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.013420339955414062
ASGL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.036831507926190624
ASHL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.062468147891557975
AIBL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.06964816343915863
AVHL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.0920254793749152
AWBL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.10288196226816758
RIVL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.08574313057208338
AWCL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.11712529520067493
SMDDL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.15395010536161757
AVJR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.11936971940274273
AIZL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.12374730680538189
RIBL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.15280244522855574
ASEL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.15005471046258517
AVDR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.13910328647980996
AVDL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.15834241447217084
AVJL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.14115657153613723
RIVR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.164602735287143
AIZR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.18807908610592358
AUAR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.2574915370424941
AUAL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.23871991353220687
RICR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.23053995939717803
RICL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.28926538684242187
M5,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.31076153309288346
AIML,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.9337351148041548
AIMR,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.36564935352400885
FLPL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.3579553285204476
ADEL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.35253945572149886
VB02,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.3870969498326315
ADAL,Geometry,82,I1R,2022-08-02-01,2022-06-14-13,-0.35487337828395477
I1R,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.30801719231874963
IL2DL,Geometry,83,IL2DL,2022-08-02-01,2022-06-14-13,0.3297791068699091
I2R,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3102677855093167
I3,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.327499180637258
NSMR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.31335817666264176
I2L,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3096016538111777
MCL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3126180072987345
