display_order,identity,hard_candidates
0,I1R,I2R;NSMR;MCL
1,IL2DL,I3;M4;MCL
2,I2R,NSMR;I1R;MCL
3,I3,M4;IL2DL;MCL
4,NSMR,I2R;M3R;MCL
5,I2L,NSML;MCL;M3L
6,MCL,NSML;I2L;M3L
7,NSML,MCL;I2L;M3L
8,M4,I3;M3R;M3L
9,M3R,NSMR;M4;M3L
10,M3L,IL2VL;NSML;MCL
11,IL2VL,M3L;NSML;M3R
12,IL1R,URBR;URYVR;OLLR
13,OLLL,IL2L;URYDL;IL1DL
14,IL2L,OLLL;IL1L;URBL
15,URBR,OLLR;IL1R;URYVR
16,OLLR,URBR;IL1DR;IL1R
17,IL1DL,URYDL;OLLL;OLQDL
18,IL1DR,OLLR;OLQDR;IL1DL
19,URYVR,IL2R;IL1R;URBR
20,IL2R,URYVR;OLQVR;IL1R
21,URYDL,IL1DL;OLLL;OLQDL
22,IL1L,URBL;IL2L;URYVL
23,URBL,IL1L;IL2L;URYDL
24,OLQDR,IL1DR;RMED;OLQDL
25,OLQDL,URYDL;IL1DL;OLQDR
26,RMER,OLQVR;OLLR;URBR
27,OLQVR,CEPVR;URYVR;RMER
28,URYVL,OLQVL;IL1L;URBL
29,RMED,OLQDR;RID;OLQDL
30,RMEL,OLQVL;URBL;URYVL
31,CEPVR,OLQVR;CEPVL;OLQVL
32,OLQVL,URYVL;CEPVL;RMEL
33,CEPVL,OLQVL;RMEV;CEPVR
34,SAAVR,RIAR;AVAR;SMDVR
35,RID,URXL;URXR;CEPDL
36,SMDVR,RIAR;URXR;CEPDR
37,URXR,CEPDR;SMDVR;RIAR
38,RIAR,SAAVR;SMDVR;URXR
39,AVAR,SAAVR;AVER;RIAR
40,SAAVL,RIAL;AVAL;CEPDL
41,CEPDR,URXR;SMDVR;RIAR
42,URXL,CEPDL;RID;RIAL
43,CEPDL,URXL;SMDVL;RIAL
44,SMDDR,RMEV;AVL;AVER
45,RMEV,SMDDR;CEPVL;AVL
46,RIAL,SAAVL;CEPDL;SMDVL
47,AVER,AVAR;AIBR;SAAVR
48,AWAR,ASGR;SMDVR;RIAR
49,SMDVL,CEPDL;RIAL;URXL
50,AVAL,RMDL;AVEL;RIAL
51,RMDL,AVEL;AVAL;ASHL
52,AIBR,AVER;ASGR;AWAR
53,ASGR,AWAR;AIBR;AVER
54,AVL,SMDDR;RMEV;SMDDL
55,AVEL,RMDL;AVAL;AWBL
56,ASGL,AVHL;ASHL;AIZL
57,ASHL,AWBL;AVHL;ASGL
58,AIBL,RIVL;AVJL;ASGR
59,AVHL,AIZL;ASGL;AWBL
60,AWBL,AWCL;ASEL;ASHL
61,RIVL,AVJL;AIZL;ASGL
62,AWCL,AWBL;ASEL;ASHL
63,SMDDL,RIBL;AUAR;AWCL
64,AVJR,AVDR;RIVR;AIZR
65,AIZL,AVHL;AVDL;RIVL
66,RIBL,ASEL;AWBL;AWCL
67,ASEL,AVDL;AWBL;AWCL
68,AVDR,AVJR;AIZR;RIVR
69,AVDL,ASEL;AIZL;AVHL
70,AVJL,RIVL;AIZL;AVHL
71,RIVR,AVJR;AVDR;AIZR
72,AIZR,RICR;AVDR;AVJR
73,AUAR,SMDDL;AUAL;RIBL
74,AUAL,RICL;ASEL;RIBL
75,RICR,AIZR;AVDR;AVJR
76,RICL,AUAL;AVDL;AUAR
77,M5,FLPL;RICL;ADEL
78,AIML,AIMR;RICL;FLPL
79,AIMR,AIML;VB02;RICR
80,FLPL,ADEL;M5;AIML
81,ADEL,FLPL;ADAL;M5
82,VB02,AIMR;AIML;ADEL
83,ADAL,ADEL;FLPL;VB02
