candidate_identity,candidate_similarity,is_spatial_hard,mode,query_identity,same_minus_candidate,same_similarity
IL2DL,0.3579707234056835,False,Geometry,I1R,-0.013358064892571075,0.3446126585131124
I2R,0.34403595348574295,True,Geometry,I1R,0.0005767050273694507,0.3446126585131124
I3,0.3550620973418164,False,Geometry,I1R,-0.010449438828703972,0.3446126585131124
NSMR,0.3462233482345913,True,Geometry,I1R,-0.0016106897214788751,0.3446126585131124
I2L,0.3412463189876489,False,Geometry,I1R,0.003366339525463502,0.3446126585131124
MCL,0.3443476531905056,True,Geometry,I1R,0.000265005322606815,0.3446126585131124
NSML,0.3431937433128424,False,Geometry,I1R,0.0014189152002699879,0.3446126585131124
M4,0.35877446201309493,False,Geometry,I1R,-0.014161803499982528,0.3446126585131124
M3R,0.35218020450844667,False,Geometry,I1R,-0.007567545995334268,0.3446126585131124
M3L,0.3483899665320623,False,Geometry,I1R,-0.0037773080189498764,0.3446126585131124
IL2VL,0.3435455285502814,False,Geometry,I1R,0.0010671299628309816,0.3446126585131124
IL1R,0.3506059173412433,False,Geometry,I1R,-0.0059932588281308985,0.3446126585131124
OLLL,0.34859414983429365,False,Geometry,I1R,-0.003981491321181252,0.3446126585131124
IL2L,0.3462309682788948,False,Geometry,I1R,-0.001618309765782422,0.3446126585131124
URBR,0.3455255973963599,False,Geometry,I1R,-0.0009129388832475049,0.3446126585131124
OLLR,0.3456328364917982,False,Geometry,I1R,-0.00102017797868581,0.3446126585131124
IL1DL,0.3467567134480427,False,Geometry,I1R,-0.002144054934930306,0.3446126585131124
IL1DR,0.34345112410926987,False,Geometry,I1R,0.0011615344038425346,0.3446126585131124
URYVR,0.3380038817311824,False,Geometry,I1R,0.006608776781930004,0.3446126585131124
IL2R,0.3330674105433864,False,Geometry,I1R,0.011545247969726002,0.3446126585131124
URYDL,0.34134275992351254,False,Geometry,I1R,0.0032698985895998622,0.3446126585131124
IL1L,0.3375561090851293,False,Geometry,I1R,0.0070565494279831165,0.3446126585131124
URBL,0.33035343686777885,False,Geometry,I1R,0.014259221645333553,0.3446126585131124
OLQDR,0.32247234792554696,False,Geometry,I1R,0.022140310587565437,0.3446126585131124
OLQDL,0.3242790271637576,False,Geometry,I1R,0.020333631349354786,0.3446126585131124
RMER,0.3184131397472058,False,Geometry,I1R,0.026199518765906593,0.3446126585131124
OLQVR,0.3154033906176438,False,Geometry,I1R,0.029209267895468627,0.3446126585131124
URYVL,0.31818833670417024,False,Geometry,I1R,0.026424321808942164,0.3446126585131124
RMED,0.2880661287649516,False,Geometry,I1R,0.05654652974816082,0.3446126585131124
RMEL,0.28887990286510284,False,Geometry,I1R,0.05573275564800956,0.3446126585131124
