display_order,identity,reference_x_normalized,reference_y_normalized,reference_z_normalized,distance_to_reference_shared_centroid,hard_candidates_full_common_pool,displayed_hard_candidates
0,RMEL,-0.37319758208412995,0.13693172196214512,-0.3033432257682365,0.4528485906982113,OLQVL;URBL;URYVL,OLQVL
1,CEPVR,-0.37319758208412995,0.19909567947337045,0.23541141726709458,0.454752175032784,OLQVR;CEPVL;OLQVL,CEPVL;OLQVL
2,OLQVL,-0.352476214120134,0.26125963698459576,-0.09612988463379042,0.41096465126581255,URYVL;CEPVL;RMEL,CEPVL;RMEL
3,CEPVL,-0.20742693113368746,0.2819810049485917,0.048919434947846764,0.3377352118315852,OLQVL;RMEV;CEPVR,OLQVL;RMEV;CEPVR
4,SAAVR,-0.18670556316969156,-0.2360523158667317,0.21469012249347985,0.3431405558479343,RIAR;AVAR;SMDVR,RIAR;AVAR
5,RIAR,-0.08309901611123678,-0.29821627337795703,0.13180476042306802,0.31985687303999544,SAAVR;SMDVR;URXR,SAAVR
6,AVAR,-0.08309901611123678,-0.17388828516512517,0.2975754479687011,0.35109252833679533,SAAVR;AVER;RIAR,SAAVR;AVER;RIAR
7,SAAVL,-0.08309901611123678,-0.09100295968990392,-0.28262188525063353,0.2797926969136664,RIAL;AVAL;CEPDL,RIAL;AVAL;CEPDL
8,URXL,-0.04165628018324496,-0.36038030407956356,-0.17901522840660697,0.3831712049340693,CEPDL;RID;RIAL,CEPDL;RIAL
9,CEPDL,-0.00021354425525313598,-0.36038030407956356,-0.3033432257682365,0.4542686349209081,URXL;SMDVL;RIAL,URXL;RIAL
10,SMDDR,-0.00021354425525313598,0.24053841540136228,0.31829674274231584,0.4235581062780416,RMEV;AVL;AVER,RMEV;AVER
11,RMEV,-0.00021354425525313598,0.26125963698459576,0.19396875452948395,0.3508885910543254,SMDDR;CEPVL;AVL,SMDDR;CEPVL
12,RIAL,0.020507823708742778,-0.13244562242751456,-0.2619005538818282,0.28532833905994237,SAAVL;CEPDL;SMDVL,SAAVL;CEPDL
13,AVER,0.04122889891121389,-0.07028166491628922,0.2768540800047052,0.3131055808737323,AVAR;AIBR;SAAVR,AVAR;AIBR;SAAVR
14,AVAL,0.12411437076719754,0.09548905922453449,-0.2411792225130229,0.3116820944387715,RMDL;AVEL;RIAL,RMDL;AVEL;RIAL
15,RMDL,0.18627847465918526,0.17837438469975572,-0.15829389703780167,0.3438549225294441,AVEL;AVAL;ASHL,AVEL;AVAL
16,AIBR,0.2069998426231812,-0.13244562242751456,0.2975754479687011,0.42669635027297076,AVER;ASGR;AWAR,AVER
17,AVEL,0.28988502171764,0.11621035399814919,-0.13757254737140104,0.39261962286686636,RMDL;AVAL;AWBL,RMDL;AVAL
