mode,query_record,reference_record,query_identity,candidate_identity,similarity,n_common_anchors
Geometry,2022-08-02-01,2022-06-14-13,RMEL,RMEL,0.2893036326387136,83
Geometry,2022-08-02-01,2022-06-14-13,RMEL,CEPVR,0.26999564861008685,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,OLQVL,0.2758031563310616,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,CEPVL,0.24790881522976746,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,SAAVR,0.2556215055911001,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,RIAR,0.23519711513296981,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,AVAR,0.22520984569395167,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,SAAVL,0.24487059559149,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,URXL,0.23493884921989042,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,CEPDL,0.22479056591126206,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,SMDDR,0.1823448303829678,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,RMEV,0.1845915343379641,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,RIAL,0.21432303972230562,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,AVER,0.18529500796973766,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,AVAL,0.16596966022042509,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,RMDL,0.1349336874952673,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,AIBR,0.1282774270303437,82
Geometry,2022-08-02-01,2022-06-14-13,RMEL,AVEL,0.09824907598841737,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,RMEL,0.2662027564464969,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,CEPVR,0.26434369613676895,83
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,OLQVL,0.2602916110043016,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,CEPVL,0.24328192437666316,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,SAAVR,0.25757559396042395,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,RIAR,0.23846789583127428,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,AVAR,0.2332809986359502,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,SAAVL,0.2354407474759206,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,URXL,0.23096152575042847,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,CEPDL,0.21956199091860443,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,SMDDR,0.19474589808503007,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,RMEV,0.19312298193472827,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,RIAL,0.2101988958459276,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,AVER,0.1985061343586272,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,AVAL,0.16747386574745513,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,RMDL,0.14062416482042853,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,AIBR,0.14752348862277706,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVR,AVEL,0.1083310385733851,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,RMEL,0.2872299687741496,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,CEPVR,0.2716349649349774,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,OLQVL,0.277755608064706,83
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,CEPVL,0.2473422847558757,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,SAAVR,0.24719764482904835,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,RIAR,0.22382269654954975,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,AVAR,0.21636734729785087,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,SAAVL,0.23489134412861784,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,URXL,0.22140878191100322,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,CEPDL,0.21091468175353034,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,SMDDR,0.1790390268696764,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,RMEV,0.1808170828050753,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,RIAL,0.20266514095695706,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,AVER,0.176399253792767,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,AVAL,0.15657439179724425,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,RMDL,0.12611806209597604,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,AIBR,0.11713031118488691,82
Geometry,2022-08-02-01,2022-06-14-13,OLQVL,AVEL,0.0881624855993825,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,RMEL,0.27169459861814804,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,CEPVR,0.2603538554218606,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,OLQVL,0.26318288410756885,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,CEPVL,0.24519874730165656,83
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,SAAVR,0.24989133986841122,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,RIAR,0.23185524651200964,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,AVAR,0.22513270632843377,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,SAAVL,0.23858934092336195,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,URXL,0.22943809248424527,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,CEPDL,0.22027931659316546,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,SMDDR,0.19077087108335813,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,RMEV,0.1916289498390643,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,RIAL,0.21281041183846844,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,AVER,0.1917420054970367,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,AVAL,0.17189836798734237,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,RMDL,0.14458422305825788,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,AIBR,0.1402821651654203,82
Geometry,2022-08-02-01,2022-06-14-13,CEPVL,AVEL,0.11154865872559733,82
Geometry,2022-08-02-01,2022-06-14-13,SAAVR,RMEL,0.26559173656289337,82
Geometry,2022-08-02-01,2022-06-14-13,SAAVR,CEPVR,0.25875774327395085,82
Geometry,2022-08-02-01,2022-06-14-13,SAAVR,OLQVL,0.25722255736320687,82
Geometry,2022-08-02-01,2022-06-14-13,SAAVR,CEPVL,0.24355303522437807,82
Geometry,2022-08-02-01,2022-06-14-13,SAAVR,SAAVR,0.2704055717469344,83
Geometry,2022-08-02-01,2022-06-14-13,SAAVR,RIAR,0.2545802609545101,82
