dataset,fold,animal_id,method,n_eval,n_correct,n_shared,n_correct_shared
Atanas,0,2022-07-26-01,CPD,65,27,51,27
Atanas,0,2022-07-26-01,CRF_ID,65,18,51,14
Atanas,0,2022-07-26-01,FUGW (G+A; official),65,17,51,17
Atanas,0,2022-07-26-01,GeoTransformer,65,27,51,27
Atanas,0,2022-07-26-01,NGM-v2,65,22,51,22
Atanas,0,2022-07-26-01,NeurID (population atlas),65,53,51,42
Atanas,0,2022-07-26-01,NeurID (single medoid),65,38,51,38
Atanas,0,2022-07-26-01,NuCLR,65,16,51,16
Atanas,0,2022-07-26-01,StatAtlas,65,2,51,2
Atanas,0,2022-07-26-01,Vanilla FGW,65,10,51,10
Atanas,0,2022-07-26-01,fDNC,65,6,51,6
Atanas,0,2022-08-02-01,CPD,110,40,70,40
Atanas,0,2022-08-02-01,CRF_ID,110,36,70,29
Atanas,0,2022-08-02-01,FUGW (G+A; official),110,8,70,8
Atanas,0,2022-08-02-01,GeoTransformer,110,35,70,35
Atanas,0,2022-08-02-01,NGM-v2,110,22,70,22
Atanas,0,2022-08-02-01,NeurID (population atlas),110,72,70,51
Atanas,0,2022-08-02-01,NeurID (single medoid),110,47,70,47
Atanas,0,2022-08-02-01,NuCLR,110,22,70,22
Atanas,0,2022-08-02-01,StatAtlas,110,2,70,1
Atanas,0,2022-08-02-01,Vanilla FGW,110,19,70,19
Atanas,0,2022-08-02-01,fDNC,110,1,70,1
Atanas,0,2023-01-05-01,CPD,83,32,62,32
Atanas,0,2023-01-05-01,CRF_ID,83,14,62,12
Atanas,0,2023-01-05-01,FUGW (G+A; official),83,21,62,21
Atanas,0,2023-01-05-01,GeoTransformer,83,26,62,26
Atanas,0,2023-01-05-01,NGM-v2,83,24,62,24
Atanas,0,2023-01-05-01,NeurID (population atlas),83,59,62,45
Atanas,0,2023-01-05-01,NeurID (single medoid),83,45,62,45
Atanas,0,2023-01-05-01,NuCLR,83,15,62,15
Atanas,0,2023-01-05-01,StatAtlas,83,2,62,2
Atanas,0,2023-01-05-01,Vanilla FGW,83,21,62,21
Atanas,0,2023-01-05-01,fDNC,83,25,62,25
Atanas,0,2023-01-13-07,CPD,80,39,57,39
Atanas,0,2023-01-13-07,CRF_ID,80,16,57,11
Atanas,0,2023-01-13-07,FUGW (G+A; official),80,29,57,29
Atanas,0,2023-01-13-07,GeoTransformer,80,31,57,31
Atanas,0,2023-01-13-07,NGM-v2,80,35,57,35
Atanas,0,2023-01-13-07,NeurID (population atlas),80,57,57,43
Atanas,0,2023-01-13-07,NeurID (single medoid),80,37,57,37
Atanas,0,2023-01-13-07,NuCLR,80,10,57,10
Atanas,0,2023-01-13-07,StatAtlas,80,4,57,1
Atanas,0,2023-01-13-07,Vanilla FGW,80,23,57,23
Atanas,0,2023-01-13-07,fDNC,80,35,57,35
Atanas,0,2023-01-16-15,CPD,86,34,64,34
Atanas,0,2023-01-16-15,CRF_ID,86,13,64,12
Atanas,0,2023-01-16-15,FUGW (G+A; official),86,27,64,27
Atanas,0,2023-01-16-15,GeoTransformer,86,28,64,28
Atanas,0,2023-01-16-15,NGM-v2,86,38,64,38
Atanas,0,2023-01-16-15,NeurID (population atlas),86,71,64,56
Atanas,0,2023-01-16-15,NeurID (single medoid),86,55,64,55
Atanas,0,2023-01-16-15,NuCLR,86,15,64,15
Atanas,0,2023-01-16-15,StatAtlas,86,5,64,3
Atanas,0,2023-01-16-15,Vanilla FGW,86,24,64,24
Atanas,0,2023-01-16-15,fDNC,86,29,64,29
Atanas,0,2023-01-16-22,CPD,89,39,65,39
Atanas,0,2023-01-16-22,CRF_ID,89,19,65,18
Atanas,0,2023-01-16-22,FUGW (G+A; official),89,15,65,15
Atanas,0,2023-01-16-22,GeoTransformer,89,25,65,25
Atanas,0,2023-01-16-22,NGM-v2,89,33,65,33
Atanas,0,2023-01-16-22,NeurID (population atlas),89,69,65,52
Atanas,0,2023-01-16-22,NeurID (single medoid),89,50,65,50
Atanas,0,2023-01-16-22,NuCLR,89,15,65,15
Atanas,0,2023-01-16-22,StatAtlas,89,1,65,1
Atanas,0,2023-01-16-22,Vanilla FGW,89,18,65,18
Atanas,0,2023-01-16-22,fDNC,89,41,65,41
Atanas,0,2023-01-19-15,CPD,59,12,38,12
Atanas,0,2023-01-19-15,CRF_ID,59,6,38,6
