method,severity,folds,status,top1_mean,top1_sd,hungarian_mean,hungarian_sd,coverage_mean,coverage_sd,effective_top1_mean,effective_top1_sd
Ours,0.0,5,evaluated,0.6393422709575947,0.04608200406589754,0.617770069782242,0.05179661713783459,1.0,0.0,0.6393422709575947,0.04608200406589754
Ours,0.1,5,evaluated,0.6295308515851266,0.04846166604515725,0.6146402562528703,0.04617272685399045,1.0,0.0,0.6295308515851266,0.04846166604515725
Ours,0.2,5,evaluated,0.620722460429618,0.039846075955576106,0.6009365425666646,0.042147286832140765,1.0,0.0,0.620722460429618,0.039846075955576106
Ours,0.5,5,evaluated,0.4828071596521025,0.06561463444193096,0.4650585360410696,0.06383754729683645,1.0,0.0,0.4828071596521025,0.06561463444193096
Ours,1.0,5,evaluated,0.2630430945566355,0.04059310556396219,0.23913669895925654,0.03630953038675309,1.0,0.0,0.2630430945566355,0.04059310556396219
Ours,2.0,5,evaluated,0.15183569258471644,0.036199268971104114,0.14248329437429996,0.031200708718659514,1.0,0.0,0.15183569258471644,0.036199268971104114
NuCLR,0.0,5,evaluated,0.10142476325587327,0.07620443447391588,0.13158977862476479,0.03619110200129568,1.0,0.0,0.10142476325587327,0.07620443447391588
NuCLR,0.1,5,evaluated,0.08761431328131555,0.049518918620128104,0.10906434268251534,0.04349140119103958,1.0,0.0,0.08761431328131555,0.049518918620128104
NuCLR,0.2,5,evaluated,0.06113935188060534,0.03400150878537143,0.06841163059889463,0.03593091458393073,1.0,0.0,0.06113935188060534,0.03400150878537143
NuCLR,0.5,5,evaluated,0.015365595475084527,0.023638674111968946,0.04052974279125802,0.015189103024684592,1.0,0.0,0.015365595475084527,0.023638674111968946
NuCLR,1.0,5,evaluated,0.0,0.0,0.03201082232922152,0.008900760426912773,1.0,0.0,0.0,0.0
NuCLR,2.0,5,evaluated,0.0,0.0,0.02189972974141109,0.010470577477792961,1.0,0.0,0.0,0.0
Vanilla FGW,0.0,5,certified_activity_invariant,0.07992317136465635,0.024369385900037996,0.07849459993608492,0.02518747521472156,1.0,0.0,0.07992317136465635,0.024369385900037996
Vanilla FGW,0.1,5,certified_activity_invariant,0.07992317136465635,0.024369385900037996,0.07849459993608492,0.02518747521472156,1.0,0.0,0.07992317136465635,0.024369385900037996
Vanilla FGW,0.2,5,certified_activity_invariant,0.07992317136465635,0.024369385900037996,0.07849459993608492,0.02518747521472156,1.0,0.0,0.07992317136465635,0.024369385900037996
Vanilla FGW,0.5,5,certified_activity_invariant,0.07992317136465635,0.024369385900037996,0.07849459993608492,0.02518747521472156,1.0,0.0,0.07992317136465635,0.024369385900037996
Vanilla FGW,1.0,5,certified_activity_invariant,0.07992317136465635,0.024369385900037996,0.07849459993608492,0.02518747521472156,1.0,0.0,0.07992317136465635,0.024369385900037996
Vanilla FGW,2.0,5,certified_activity_invariant,0.07992317136465635,0.024369385900037996,0.07849459993608492,0.02518747521472156,1.0,0.0,0.07992317136465635,0.024369385900037996
