method,severity,fold,top1,top5,mrr,hungarian,coverage,effective_top1,status
Vanilla FGW,0.0,0,0.11888111888111888,0.15384615384615385,0.15588306159154897,0.11888111888111888,1.0,0.11888111888111888,certified_activity_invariant
Vanilla FGW,0.0,1,0.072992700729927,0.145985401459854,0.1286415440474745,0.072992700729927,1.0,0.072992700729927,certified_activity_invariant
Vanilla FGW,0.0,2,0.07142857142857142,0.1357142857142857,0.13775273051386394,0.06428571428571428,1.0,0.07142857142857142,certified_activity_invariant
Vanilla FGW,0.0,3,0.08333333333333333,0.12878787878787878,0.14414981895927464,0.08333333333333333,1.0,0.08333333333333333,certified_activity_invariant
Vanilla FGW,0.0,4,0.052980132450331126,0.09933774834437085,0.09982239518623894,0.052980132450331126,1.0,0.052980132450331126,certified_activity_invariant
Vanilla FGW,0.1,0,0.11888111888111888,0.15384615384615385,0.15588306159154897,0.11888111888111888,1.0,0.11888111888111888,certified_activity_invariant
Vanilla FGW,0.1,1,0.072992700729927,0.145985401459854,0.1286415440474745,0.072992700729927,1.0,0.072992700729927,certified_activity_invariant
Vanilla FGW,0.1,2,0.07142857142857142,0.1357142857142857,0.13775273051386394,0.06428571428571428,1.0,0.07142857142857142,certified_activity_invariant
Vanilla FGW,0.1,3,0.08333333333333333,0.12878787878787878,0.14414981895927464,0.08333333333333333,1.0,0.08333333333333333,certified_activity_invariant
Vanilla FGW,0.1,4,0.052980132450331126,0.09933774834437085,0.09982239518623894,0.052980132450331126,1.0,0.052980132450331126,certified_activity_invariant
Vanilla FGW,0.2,0,0.11888111888111888,0.15384615384615385,0.15588306159154897,0.11888111888111888,1.0,0.11888111888111888,certified_activity_invariant
Vanilla FGW,0.2,1,0.072992700729927,0.145985401459854,0.1286415440474745,0.072992700729927,1.0,0.072992700729927,certified_activity_invariant
Vanilla FGW,0.2,2,0.07142857142857142,0.1357142857142857,0.13775273051386394,0.06428571428571428,1.0,0.07142857142857142,certified_activity_invariant
Vanilla FGW,0.2,3,0.08333333333333333,0.12878787878787878,0.14414981895927464,0.08333333333333333,1.0,0.08333333333333333,certified_activity_invariant
Vanilla FGW,0.2,4,0.052980132450331126,0.09933774834437085,0.09982239518623894,0.052980132450331126,1.0,0.052980132450331126,certified_activity_invariant
Vanilla FGW,0.5,0,0.11888111888111888,0.15384615384615385,0.15588306159154897,0.11888111888111888,1.0,0.11888111888111888,certified_activity_invariant
Vanilla FGW,0.5,1,0.072992700729927,0.145985401459854,0.1286415440474745,0.072992700729927,1.0,0.072992700729927,certified_activity_invariant
Vanilla FGW,0.5,2,0.07142857142857142,0.1357142857142857,0.13775273051386394,0.06428571428571428,1.0,0.07142857142857142,certified_activity_invariant
Vanilla FGW,0.5,3,0.08333333333333333,0.12878787878787878,0.14414981895927464,0.08333333333333333,1.0,0.08333333333333333,certified_activity_invariant
Vanilla FGW,0.5,4,0.052980132450331126,0.09933774834437085,0.09982239518623894,0.052980132450331126,1.0,0.052980132450331126,certified_activity_invariant
Vanilla FGW,1.0,0,0.11888111888111888,0.15384615384615385,0.15588306159154897,0.11888111888111888,1.0,0.11888111888111888,certified_activity_invariant
Vanilla FGW,1.0,1,0.072992700729927,0.145985401459854,0.1286415440474745,0.072992700729927,1.0,0.072992700729927,certified_activity_invariant
Vanilla FGW,1.0,2,0.07142857142857142,0.1357142857142857,0.13775273051386394,0.06428571428571428,1.0,0.07142857142857142,certified_activity_invariant
Vanilla FGW,1.0,3,0.08333333333333333,0.12878787878787878,0.14414981895927464,0.08333333333333333,1.0,0.08333333333333333,certified_activity_invariant
Vanilla FGW,1.0,4,0.052980132450331126,0.09933774834437085,0.09982239518623894,0.052980132450331126,1.0,0.052980132450331126,certified_activity_invariant
Vanilla FGW,2.0,0,0.11888111888111888,0.15384615384615385,0.15588306159154897,0.11888111888111888,1.0,0.11888111888111888,certified_activity_invariant
Vanilla FGW,2.0,1,0.072992700729927,0.145985401459854,0.1286415440474745,0.072992700729927,1.0,0.072992700729927,certified_activity_invariant
Vanilla FGW,2.0,2,0.07142857142857142,0.1357142857142857,0.13775273051386394,0.06428571428571428,1.0,0.07142857142857142,certified_activity_invariant
Vanilla FGW,2.0,3,0.08333333333333333,0.12878787878787878,0.14414981895927464,0.08333333333333333,1.0,0.08333333333333333,certified_activity_invariant
Vanilla FGW,2.0,4,0.052980132450331126,0.09933774834437085,0.09982239518623894,0.052980132450331126,1.0,0.052980132450331126,certified_activity_invariant
