method,kind,severity,fold,perturbation_replicates,top1,top5,hungarian,coverage,effective_top1
CPD,coord_noise,0.0,0,1,0.3246753246753247,0.7532467532467533,0.36363636363636365,1.0,0.3246753246753247
CPD,coord_noise,0.0,1,1,0.19708029197080293,0.44525547445255476,0.21897810218978103,1.0,0.19708029197080293
CPD,coord_noise,0.0,2,1,0.1310344827586207,0.2896551724137931,0.15862068965517243,1.0,0.1310344827586207
CPD,coord_noise,0.0,3,1,0.40476190476190477,0.8928571428571429,0.44047619047619047,1.0,0.40476190476190477
CPD,coord_noise,0.0,4,1,0.26785714285714285,0.875,0.3392857142857143,1.0,0.26785714285714285
CPD,coord_noise,0.02,0,3,0.28138528138528135,0.7445887445887446,0.37229437229437234,1.0,0.28138528138528135
CPD,coord_noise,0.02,1,3,0.20194647201946472,0.4428223844282238,0.21411192214111927,1.0,0.20194647201946472
CPD,coord_noise,0.02,2,3,0.14022988505747128,0.2942528735632184,0.167816091954023,1.0,0.14022988505747128
CPD,coord_noise,0.02,3,3,0.4087301587301588,0.8928571428571429,0.4246031746031746,1.0,0.4087301587301588
CPD,coord_noise,0.02,4,3,0.2738095238095238,0.875,0.36309523809523814,1.0,0.2738095238095238
CPD,coord_noise,0.05,0,3,0.26406926406926406,0.7445887445887447,0.3376623376623377,1.0,0.26406926406926406
CPD,coord_noise,0.05,1,3,0.1970802919708029,0.45985401459854014,0.23357664233576644,1.0,0.1970802919708029
CPD,coord_noise,0.05,2,3,0.12873563218390804,0.2712643678160919,0.13793103448275862,1.0,0.12873563218390804
CPD,coord_noise,0.05,3,3,0.36904761904761907,0.888888888888889,0.46428571428571425,1.0,0.36904761904761907
CPD,coord_noise,0.05,4,3,0.25,0.8809523809523809,0.30357142857142855,1.0,0.25
CPD,coord_noise,0.1,0,3,0.2424242424242424,0.7402597402597403,0.26839826839826836,1.0,0.2424242424242424
CPD,coord_noise,0.1,1,3,0.1411192214111922,0.4330900243309002,0.15328467153284672,1.0,0.1411192214111922
CPD,coord_noise,0.1,2,3,0.1103448275862069,0.26666666666666666,0.1425287356321839,1.0,0.1103448275862069
CPD,coord_noise,0.1,3,3,0.31746031746031744,0.8849206349206349,0.42857142857142855,1.0,0.31746031746031744
CPD,coord_noise,0.1,4,3,0.24404761904761904,0.8809523809523809,0.33928571428571425,1.0,0.24404761904761904
CPD,coord_noise,0.2,0,3,0.1774891774891775,0.7402597402597403,0.21212121212121215,1.0,0.1774891774891775
CPD,coord_noise,0.2,1,3,0.10218978102189781,0.36496350364963503,0.1289537712895377,1.0,0.10218978102189781
CPD,coord_noise,0.2,2,3,0.0528735632183908,0.23448275862068968,0.07126436781609195,1.0,0.0528735632183908
CPD,coord_noise,0.2,3,3,0.2738095238095238,0.8690476190476191,0.32142857142857145,1.0,0.2738095238095238
CPD,coord_noise,0.2,4,3,0.23809523809523805,0.8690476190476191,0.23214285714285712,1.0,0.23809523809523805
CPD,missing,0.0,0,1,0.3246753246753247,0.7532467532467533,0.36363636363636365,1.0,0.3246753246753247
CPD,missing,0.0,1,1,0.19708029197080293,0.44525547445255476,0.21897810218978103,1.0,0.19708029197080293
CPD,missing,0.0,2,1,0.1310344827586207,0.2896551724137931,0.15862068965517243,1.0,0.1310344827586207
CPD,missing,0.0,3,1,0.40476190476190477,0.8928571428571429,0.44047619047619047,1.0,0.40476190476190477
CPD,missing,0.0,4,1,0.26785714285714285,0.875,0.3392857142857143,1.0,0.26785714285714285
CPD,missing,0.1,0,3,0.27351881789046767,0.7500950112028134,0.36310823714039914,0.9177489177489178,0.2510822510822511
CPD,missing,0.1,1,3,0.1880809185347184,0.4425915800984144,0.19938035356296702,0.8905109489051094,0.1678832116788321
