method,kind,severity,folds,top1_mean,top1_sd,top5_mean,top5_sd,hungarian_mean,hungarian_sd,coverage_mean,coverage_sd,effective_top1_mean,effective_top1_sd
CPD,coord_noise,0.0,5,0.26508182940475916,0.10684394078672821,0.6512029085940487,0.27019713380099175,0.30419941204864437,0.11378817625864997,1.0,0.0,0.26508182940475916,0.10684394078672821
CPD,coord_noise,0.02,5,0.26122026420037997,0.1005936636230277,0.6499042290874659,0.2683422063994524,0.3083841598175855,0.11094065220004759,1.0,0.0,0.26122026420037997,0.1005936636230277
CPD,coord_noise,0.05,5,0.24178656145431882,0.0887954381265885,0.6491096793689294,0.2733798390522436,0.2954054314676011,0.12144326291094229,1.0,0.0,0.24178656145431882,0.0887954381265885
CPD,coord_noise,0.1,5,0.21107924558591556,0.08430329602233777,0.6411778894260646,0.2785133576263282,0.2664137636840883,0.12222424001762765,1.0,0.0,0.21107924558591556,0.08430329602233777
CPD,coord_noise,0.2,5,0.1688914567268456,0.0918968853040513,0.6155602481250606,0.29668183257563324,0.19318215595965407,0.09658286549481046,1.0,0.0,0.1688914567268456,0.0918968853040513
CPD,missing,0.0,5,0.26508182940475916,0.10684394078672821,0.6512029085940487,0.27019713380099175,0.30419941204864437,0.11378817625864997,1.0,0.0,0.26508182940475916,0.10684394078672821
CPD,missing,0.1,5,0.25214632581844343,0.10563990604918581,0.6508863010950641,0.2777319192263771,0.29533111362881553,0.11851494534730449,0.8969968009170124,0.016285400079862653,0.22610015330755323,0.0934169613743129
CPD,missing,0.2,5,0.2548958643539226,0.11611888937087664,0.6448688776947166,0.2743990845877896,0.29331992647947674,0.11670169266776542,0.7988230476350285,0.006209337659207807,0.20401923662935495,0.09236284303199707
CPD,missing,0.3,5,0.27907635840568634,0.12930786151377713,0.6595501603780392,0.27798701222335676,0.30197442182724654,0.1331676971638032,0.7052261931094048,0.02252983619728619,0.19486617278462232,0.08579222212807218
CPD,missing,0.4,5,0.2485835004957603,0.11999697627916099,0.6375759012391407,0.2740018922987157,0.2586083940304654,0.12652741427221903,0.5824662957648108,0.01885921598900453,0.14641438294345419,0.07304359625830692
CPD,missing,0.5,5,0.2595850815699846,0.09717238709193934,0.657228752922334,0.2741888596052402,0.2656047158833487,0.10004565012906298,0.49592481029052893,0.023026856567246675,0.12986758200828172,0.0532784573756551
CPD,outlier,0.0,5,0.26508182940475916,0.10684394078672821,0.6512029085940487,0.27019713380099175,0.30419941204864437,0.11378817625864997,1.0,0.0,0.26508182940475916,0.10684394078672821
CPD,outlier,0.1,5,0.26877910382818515,0.11078480007154022,0.6506257298089666,0.26978968691521016,0.3049662149523715,0.11471916196109971,1.0,0.0,0.26877910382818515,0.11078480007154022
CPD,outlier,0.2,5,0.25966290498382116,0.10642992916239413,0.6482984732078616,0.26767683766566275,0.3044735296585284,0.12125783138595514,1.0,0.0,0.25966290498382116,0.10642992916239413
CPD,outlier,0.3,5,0.26355584902275064,0.10757968452489934,0.650985668413305,0.26805607312627744,0.30231588474729676,0.11573438169601581,1.0,0.0,0.26355584902275064,0.10757968452489934
CPD,outlier,0.4,5,0.26624227605601886,0.09934660168517838,0.6568098118286892,0.2678104056815479,0.3152191942073644,0.11607442141007257,1.0,0.0,0.26624227605601886,0.09934660168517838
CPD,outlier,0.5,5,0.25648595370845556,0.09941822058509063,0.6521224488239339,0.26859661916214916,0.30494857241648077,0.11390553936974226,1.0,0.0,0.25648595370845556,0.09941822058509063
fDNC,coord_noise,0.0,5,0.4510719379621972,0.16988082301597088,0.8864399741545477,0.09143274431251813,0.5149271870842472,0.1865122933117571,1.0,0.0,0.4510719379621972,0.16988082301597088
fDNC,coord_noise,0.02,5,0.4392247998666322,0.15848581928824806,0.8822483473402174,0.09825105683431759,0.508781319360227,0.17263348142465562,1.0,0.0,0.4392247998666322,0.15848581928824806
fDNC,coord_noise,0.05,5,0.421454455017254,0.13822289643780977,0.86729034075246,0.09520123046755032,0.46485731973650424,0.1439360130387247,1.0,0.0,0.421454455017254,0.13822289643780977
fDNC,coord_noise,0.1,5,0.3601278834150719,0.13364915959407464,0.83221468941328,0.13334649169073878,0.39478206973550545,0.14445520590088132,1.0,0.0,0.3601278834150719,0.13364915959407464
fDNC,coord_noise,0.2,5,0.2417637069701001,0.08942923060029939,0.7530334574394479,0.20837671707170435,0.264841800116152,0.1038566403036268,1.0,0.0,0.2417637069701001,0.08942923060029939
fDNC,missing,0.0,5,0.4510719379621972,0.16988082301597088,0.8864399741545477,0.09143274431251813,0.5149271870842472,0.1865122933117571,1.0,0.0,0.4510719379621972,0.16988082301597088
fDNC,missing,0.1,5,0.44344939000910094,0.15992494741714072,0.8887114130516732,0.0922543091132463,0.4871266924642921,0.16306251159746615,0.8969968009170124,0.016285400079862653,0.39815226443718765,0.14551798366506763
fDNC,missing,0.2,5,0.47330885028052105,0.13751854638123343,0.8861983512505958,0.09369645213233753,0.5080408395553849,0.15176125060558707,0.7988230476350285,0.006209337659207807,0.3776616439465671,0.10864610508888953
fDNC,missing,0.3,5,0.43724270449769886,0.15652035952059348,0.877037669095104,0.09429626903433516,0.46065176332459723,0.17634698681727812,0.7052261931094048,0.02252983619728619,0.3055731799313475,0.10078526494831197
fDNC,missing,0.4,5,0.4280444799071958,0.14738513266300204,0.8725969995952285,0.10467146590821612,0.45131960118231707,0.17189661023611874,0.5824662957648108,0.01885921598900453,0.24984430620977305,0.09008459016809477
fDNC,missing,0.5,5,0.4207927188770613,0.12251650136243343,0.8828551214999358,0.09011214429216505,0.4526729674124854,0.15080764833057003,0.49592481029052893,0.023026856567246675,0.20969904539625156,0.06951620051146587
fDNC,outlier,0.0,5,0.4510719379621972,0.16988082301597088,0.8864399741545477,0.09143274431251813,0.5149271870842472,0.1865122933117571,1.0,0.0,0.4510719379621972,0.16988082301597088
fDNC,outlier,0.1,5,0.41446508158061135,0.16079116043269667,0.8779942043860997,0.10265699778294665,0.4772594413445156,0.1559949752461623,1.0,0.0,0.41446508158061135,0.16079116043269667
fDNC,outlier,0.2,5,0.3836548179286664,0.1523615199033399,0.8505643087231307,0.12435687163124534,0.4581957814817116,0.16023221186156775,1.0,0.0,0.3836548179286664,0.1523615199033399
fDNC,outlier,0.3,5,0.3594630076973394,0.1642501399985098,0.8339214517618746,0.13569584858446057,0.43063126319104167,0.18291481868266435,1.0,0.0,0.3594630076973394,0.1642501399985098
