kind,severity,fold,perturbation_replicates,top1,top5,hungarian,coverage,effective_top1
coord_noise,0.0,0,1,0.5814814814814815,0.7148148148148148,0.5444444444444444,1.0,0.5814814814814815
coord_noise,0.0,1,1,0.697986577181208,0.8288590604026845,0.6812080536912751,1.0,0.697986577181208
coord_noise,0.0,2,1,0.6120401337792643,0.7959866220735786,0.5953177257525084,1.0,0.6120401337792643
coord_noise,0.0,3,1,0.6351351351351351,0.8074324324324325,0.6216216216216216,1.0,0.6351351351351351
coord_noise,0.0,4,1,0.6700680272108843,0.8435374149659864,0.6462585034013606,1.0,0.6700680272108843
coord_noise,0.02,0,3,0.5172839506172839,0.7061728395061729,0.5049382716049383,1.0,0.5172839506172839
coord_noise,0.02,1,3,0.66331096196868,0.8199105145413871,0.6498881431767338,1.0,0.66331096196868
coord_noise,0.02,2,3,0.5808249721293199,0.7681159420289855,0.5596432552954291,1.0,0.5808249721293199
coord_noise,0.02,3,3,0.6171171171171171,0.7905405405405405,0.6137387387387387,1.0,0.6171171171171171
coord_noise,0.02,4,3,0.611111111111111,0.808390022675737,0.5929705215419502,1.0,0.611111111111111
coord_noise,0.05,0,3,0.49135802469135803,0.6851851851851851,0.46296296296296297,1.0,0.49135802469135803
coord_noise,0.05,1,3,0.6297539149888143,0.79082774049217,0.6029082774049216,1.0,0.6297539149888143
coord_noise,0.05,2,3,0.5362318840579711,0.7480490523968785,0.5228539576365664,1.0,0.5362318840579711
coord_noise,0.05,3,3,0.6002252252252253,0.7635135135135135,0.5833333333333334,1.0,0.6002252252252253
coord_noise,0.05,4,3,0.6009070294784581,0.7947845804988662,0.5850340136054423,1.0,0.6009070294784581
coord_noise,0.1,0,3,0.43209876543209874,0.6518518518518519,0.425925925925926,1.0,0.43209876543209874
coord_noise,0.1,1,3,0.5447427293064878,0.7058165548098434,0.517897091722595,1.0,0.5447427293064878
coord_noise,0.1,2,3,0.4537346711259755,0.6700111482720178,0.4202898550724638,1.0,0.4537346711259755
coord_noise,0.1,3,3,0.48986486486486486,0.6993243243243242,0.48198198198198194,1.0,0.48986486486486486
coord_noise,0.1,4,3,0.5192743764172335,0.7244897959183674,0.4920634920634921,1.0,0.5192743764172335
coord_noise,0.2,0,3,0.30000000000000004,0.5,0.28518518518518515,1.0,0.30000000000000004
coord_noise,0.2,1,3,0.3724832214765101,0.5704697986577182,0.3456375838926175,1.0,0.3724832214765101
coord_noise,0.2,2,3,0.2931995540691193,0.5261984392419174,0.28762541806020064,1.0,0.2931995540691193
coord_noise,0.2,3,3,0.2972972972972973,0.5326576576576577,0.2894144144144144,1.0,0.2972972972972973
coord_noise,0.2,4,3,0.3480725623582767,0.564625850340136,0.3219954648526077,1.0,0.3480725623582767
activity_noise,0.0,0,1,0.5814814814814815,0.7148148148148148,0.5444444444444444,1.0,0.5814814814814815
activity_noise,0.0,1,1,0.697986577181208,0.8288590604026845,0.6812080536912751,1.0,0.697986577181208
activity_noise,0.0,2,1,0.6120401337792643,0.7959866220735786,0.5953177257525084,1.0,0.6120401337792643
activity_noise,0.0,3,1,0.6351351351351351,0.8074324324324325,0.6216216216216216,1.0,0.6351351351351351
activity_noise,0.0,4,1,0.6700680272108843,0.8435374149659864,0.6462585034013606,1.0,0.6700680272108843
activity_noise,0.1,0,3,0.5592592592592593,0.7209876543209877,0.5444444444444444,1.0,0.5592592592592593
activity_noise,0.1,1,3,0.6778523489932886,0.8131991051454138,0.6610738255033557,1.0,0.6778523489932886
activity_noise,0.1,2,3,0.6042363433667782,0.7971014492753623,0.5942028985507247,1.0,0.6042363433667782
activity_noise,0.1,3,3,0.6396396396396397,0.8096846846846848,0.6317567567567567,1.0,0.6396396396396397
activity_noise,0.1,4,3,0.6666666666666666,0.8412698412698413,0.6417233560090704,1.0,0.6666666666666666
activity_noise,0.2,0,3,0.5592592592592593,0.7283950617283951,0.5333333333333333,1.0,0.5592592592592593
activity_noise,0.2,1,3,0.6644295302013423,0.8042505592841162,0.6431767337807607,1.0,0.6644295302013423
activity_noise,0.2,2,3,0.6086956521739131,0.7937569676700112,0.5930880713489409,1.0,0.6086956521739131
activity_noise,0.2,3,3,0.6295045045045046,0.7860360360360361,0.6092342342342342,1.0,0.6295045045045046
activity_noise,0.2,4,3,0.6417233560090704,0.8333333333333334,0.6258503401360543,1.0,0.6417233560090704
activity_noise,0.5,0,3,0.38271604938271603,0.608641975308642,0.3703703703703704,1.0,0.38271604938271603
activity_noise,0.5,1,3,0.5055928411633109,0.6901565995525726,0.48769574944071586,1.0,0.5055928411633109
activity_noise,0.5,2,3,0.5016722408026756,0.7112597547380156,0.483835005574136,1.0,0.5016722408026756
activity_noise,0.5,3,3,0.46396396396396394,0.6475225225225225,0.44144144144144143,1.0,0.46396396396396394
activity_noise,0.5,4,3,0.5600907029478458,0.7437641723356009,0.5419501133786848,1.0,0.5600907029478458
activity_noise,1.0,0,3,0.20493827160493827,0.3703703703703704,0.19753086419753085,1.0,0.20493827160493827
activity_noise,1.0,1,3,0.27293064876957496,0.4697986577181208,0.2237136465324385,1.0,0.27293064876957496
activity_noise,1.0,2,3,0.2608695652173913,0.4949832775919732,0.22965440356744704,1.0,0.2608695652173913
activity_noise,1.0,3,3,0.25788288288288286,0.4684684684684685,0.25,1.0,0.25788288288288286
activity_noise,1.0,4,3,0.31859410430839,0.5634920634920635,0.29478458049886624,1.0,0.31859410430839
activity_noise,2.0,0,3,0.09382716049382715,0.2271604938271605,0.09753086419753088,1.0,0.09382716049382715
activity_noise,2.0,1,3,0.1655480984340045,0.3154362416107383,0.1331096196868009,1.0,0.1655480984340045
activity_noise,2.0,2,3,0.1471571906354515,0.36789297658862874,0.13823857302118173,1.0,0.1471571906354515
activity_noise,2.0,3,3,0.16103603603603603,0.3355855855855856,0.16666666666666666,1.0,0.16103603603603603
activity_noise,2.0,4,3,0.19160997732426302,0.40022675736961455,0.1768707482993197,1.0,0.19160997732426302
missing,0.0,0,1,0.5814814814814815,0.7148148148148148,0.5444444444444444,1.0,0.5814814814814815
missing,0.0,1,1,0.697986577181208,0.8288590604026845,0.6812080536912751,1.0,0.697986577181208
missing,0.0,2,1,0.6120401337792643,0.7959866220735786,0.5953177257525084,1.0,0.6120401337792643
missing,0.0,3,1,0.6351351351351351,0.8074324324324325,0.6216216216216216,1.0,0.6351351351351351
missing,0.0,4,1,0.6700680272108843,0.8435374149659864,0.6462585034013606,1.0,0.6700680272108843
missing,0.1,0,3,0.5434847221586798,0.7111551469719618,0.5163165383261078,0.9061728395061729,0.49259259259259264
missing,0.1,1,3,0.6975441070519116,0.8282724105613476,0.672679822930478,0.8982102908277404,0.6263982102908278
missing,0.1,2,3,0.5962470988158443,0.7963395911331376,0.5863907888493567,0.903010033444816,0.5384615384615384
missing,0.1,3,3,0.6249824632614557,0.7974756343939342,0.6137267427685523,0.9009009009009009,0.5630630630630631
missing,0.1,4,3,0.654861102861103,0.8387102267102268,0.633034089034089,0.8866213151927438,0.5804988662131519
missing,0.2,0,3,0.5749161365599722,0.7337235741345332,0.5491645443700238,0.8160493827160494,0.46913580246913583
missing,0.2,1,3,0.6809554570971823,0.8248923159098536,0.6654349478528238,0.7919463087248322,0.5391498881431768
missing,0.2,2,3,0.6001167972952205,0.7754602735515599,0.5759151682803135,0.7881828316610925,0.47268673355629875
missing,0.2,3,3,0.6577589254153411,0.8099446211853424,0.6620124896901143,0.795045045045045,0.5225225225225225
missing,0.2,4,3,0.6423856592394036,0.8344557994080527,0.6329871000167532,0.8208616780045351,0.5272108843537414
missing,0.3,0,3,0.5604315606013587,0.7188520862730862,0.5378950491146098,0.7037037037037037,0.3950617283950617
missing,0.3,1,3,0.6842585609620002,0.829630733913667,0.6872615639650034,0.7046979865771812,0.48210290827740493
missing,0.3,2,3,0.5391896901071213,0.7559505293450247,0.5362690881039506,0.7357859531772575,0.3968784838350055
missing,0.3,3,3,0.5903407693335098,0.7804863391297148,0.5887612085434227,0.6981981981981983,0.4121621621621621
missing,0.3,4,3,0.6198233046695543,0.8027299336674961,0.5980999605083327,0.6870748299319729,0.42517006802721097
missing,0.4,0,3,0.5310395719737643,0.712793373216751,0.5166964165353488,0.6024691358024691,0.3197530864197531
missing,0.4,1,3,0.6223006817991944,0.788683225639407,0.6146111079566691,0.5827740492170023,0.3624161073825503
missing,0.4,2,3,0.5503599834212632,0.7383893121468477,0.5167533908035268,0.5908584169453736,0.326644370122631
missing,0.4,3,3,0.6137912989584972,0.8011787135445351,0.6120978547045651,0.6058558558558559,0.37162162162162166
missing,0.4,4,3,0.6263122923588039,0.808294573643411,0.6185935769656701,0.5918367346938775,0.3707482993197278
missing,0.5,0,3,0.5415907270745981,0.7094992820799272,0.5489409037796135,0.4851851851851852,0.262962962962963
missing,0.5,1,3,0.6102186102186102,0.7746645246645247,0.5991148491148491,0.4910514541387025,0.2997762863534676
missing,0.5,2,3,0.540380254665969,0.762063333491905,0.5310562453419596,0.4827201783723523,0.26086956521739135
missing,0.5,3,3,0.5418025198244978,0.7496290740940829,0.5415073327161241,0.5056306306306305,0.2725225225225225
missing,0.5,4,3,0.5561995082543029,0.7861385190152314,0.5493022958776383,0.4931972789115646,0.2743764172335601
outlier,0.0,0,1,0.5814814814814815,0.7148148148148148,0.5444444444444444,1.0,0.5814814814814815
outlier,0.0,1,1,0.697986577181208,0.8288590604026845,0.6812080536912751,1.0,0.697986577181208
outlier,0.0,2,1,0.6120401337792643,0.7959866220735786,0.5953177257525084,1.0,0.6120401337792643
outlier,0.0,3,1,0.6351351351351351,0.8074324324324325,0.6216216216216216,1.0,0.6351351351351351
outlier,0.0,4,1,0.6700680272108843,0.8435374149659864,0.6462585034013606,1.0,0.6700680272108843
outlier,0.1,0,3,0.5555555555555556,0.717283950617284,0.5308641975308642,1.0,0.5555555555555556
outlier,0.1,1,3,0.674496644295302,0.8199105145413871,0.656599552572707,1.0,0.674496644295302
outlier,0.1,2,3,0.6020066889632107,0.7993311036789298,0.5852842809364548,1.0,0.6020066889632107
outlier,0.1,3,3,0.6441441441441441,0.8153153153153153,0.6306306306306307,1.0,0.6441441441441441
outlier,0.1,4,3,0.6609977324263038,0.836734693877551,0.6303854875283447,1.0,0.6609977324263038
outlier,0.2,0,3,0.5308641975308642,0.7197530864197531,0.5111111111111111,1.0,0.5308641975308642
outlier,0.2,1,3,0.6633109619686801,0.8131991051454138,0.6431767337807606,1.0,0.6633109619686801
outlier,0.2,2,3,0.5897435897435898,0.7759197324414716,0.5618729096989966,1.0,0.5897435897435898
outlier,0.2,3,3,0.6509009009009009,0.8074324324324325,0.615990990990991,1.0,0.6509009009009009
outlier,0.2,4,3,0.6485260770975056,0.8310657596371883,0.6190476190476191,1.0,0.6485260770975056
outlier,0.3,0,3,0.5012345679012346,0.6938271604938272,0.4666666666666666,1.0,0.5012345679012346
outlier,0.3,1,3,0.6342281879194631,0.807606263982103,0.6062639821029082,1.0,0.6342281879194631
outlier,0.3,2,3,0.5652173913043478,0.7558528428093645,0.5306577480490523,1.0,0.5652173913043478
outlier,0.3,3,3,0.6227477477477478,0.795045045045045,0.5833333333333334,1.0,0.6227477477477478
outlier,0.3,4,3,0.6247165532879819,0.8197278911564626,0.5986394557823129,1.0,0.6247165532879819
outlier,0.4,0,3,0.5012345679012346,0.6999999999999998,0.4728395061728395,1.0,0.5012345679012346
outlier,0.4,1,3,0.616331096196868,0.79082774049217,0.5850111856823267,1.0,0.616331096196868
outlier,0.4,2,3,0.5696767001114827,0.7525083612040134,0.5295429208472687,1.0,0.5696767001114827
outlier,0.4,3,3,0.6137387387387387,0.7792792792792792,0.579954954954955,1.0,0.6137387387387387
outlier,0.4,4,3,0.6190476190476191,0.8038548752834466,0.5736961451247166,1.0,0.6190476190476191
outlier,0.5,0,3,0.47160493827160493,0.6790123456790124,0.43703703703703706,1.0,0.47160493827160493
outlier,0.5,1,3,0.5961968680089486,0.7807606263982102,0.5626398210290827,1.0,0.5961968680089486
outlier,0.5,2,3,0.5518394648829431,0.7447045707915274,0.5172798216276476,1.0,0.5518394648829431
outlier,0.5,3,3,0.6036036036036035,0.7759009009009009,0.5518018018018017,1.0,0.6036036036036035
outlier,0.5,4,3,0.6122448979591837,0.8049886621315192,0.5816326530612245,1.0,0.6122448979591837
