kind,severity,folds,top1_mean,top1_sd,top5_mean,top5_sd,hungarian_mean,hungarian_sd,coverage_mean,coverage_sd,effective_top1_mean,effective_top1_sd
coord_noise,0.0,5,0.6393422709575947,0.04608200406589754,0.7981260689378994,0.05009655130444616,0.617770069782242,0.05179661713783459,1.0,0.0,0.6393422709575947,0.04608200406589754
coord_noise,0.02,5,0.5979296225887024,0.053881640194326466,0.7786259718585645,0.044978289893976516,0.584235786071558,0.05511315674102638,1.0,0.0,0.5979296225887024,0.053881640194326466
coord_noise,0.05,5,0.5716952156883653,0.05645754205851791,0.7564720144173227,0.0443015509169093,0.5514185089886453,0.05796566145530282,1.0,0.0,0.5716952156883653,0.05645754205851791
coord_noise,0.1,5,0.48794308142933207,0.046098661208441055,0.6902987350352809,0.02907336255096057,0.4676316693532918,0.042749486937499984,1.0,0.0,0.48794308142933207,0.046098661208441055
coord_noise,0.2,5,0.3222105270402407,0.03588802640517771,0.5387903491794859,0.02903410895012109,0.3059716132810051,0.026799964319567875,1.0,0.0,0.3222105270402407,0.03588802640517771
activity_noise,0.0,5,0.6393422709575947,0.04608200406589754,0.7981260689378994,0.05009655130444616,0.617770069782242,0.05179661713783459,1.0,0.0,0.6393422709575947,0.04608200406589754
activity_noise,0.1,5,0.6295308515851266,0.04846166604515725,0.7964485469392579,0.0451649686269932,0.6146402562528703,0.04617272685399045,1.0,0.0,0.6295308515851266,0.04846166604515725
activity_noise,0.2,5,0.620722460429618,0.039846075955576106,0.7891543916103785,0.038413139632729396,0.6009365425666646,0.042147286832140765,1.0,0.0,0.620722460429618,0.039846075955576106
activity_noise,0.5,5,0.4828071596521025,0.06561463444193096,0.6802690048914707,0.05313330139232542,0.4650585360410696,0.06383754729683645,1.0,0.0,0.4828071596521025,0.06561463444193096
activity_noise,1.0,5,0.2630430945566355,0.04059310556396219,0.4734225675281992,0.06934480780941699,0.23913669895925654,0.03630953038675309,1.0,0.0,0.2630430945566355,0.04059310556396219
activity_noise,2.0,5,0.15183569258471644,0.036199268971104114,0.3292604109963455,0.06554427133730611,0.14248329437429996,0.031200708718659514,1.0,0.0,0.15183569258471644,0.036199268971104114
missing,0.0,5,0.6393422709575947,0.04608200406589754,0.7981260689378994,0.05009655130444616,0.617770069782242,0.05179661713783459,1.0,0.0,0.6393422709575947,0.04608200406589754
missing,0.1,5,0.6234238988297989,0.05833820063461352,0.7943906019541216,0.05013397810637121,0.6044295963817168,0.058421008489874054,0.8989830759744748,0.007499957750978506,0.5602028541242347,0.04961291754934238
missing,0.2,5,0.6312265951214239,0.04312811217873716,0.7956953168378684,0.04125480671617905,0.6171028500420057,0.05224273948564478,0.8024170492303109,0.014938546190424833,0.5061411662089751,0.03275077705464028
missing,0.3,5,0.5988087771347088,0.056661780254893775,0.7775299244657977,0.04262345066187854,0.5896573740470639,0.06149858865587832,0.7058921343176627,0.01811865903387013,0.42227507013936905,0.035621533872099514
missing,0.4,5,0.5887607657023046,0.044631622775654176,0.7698678396381904,0.04201010554550239,0.575750469393156,0.053932480834960723,0.5947588385029157,0.009353871281507406,0.35023669697325677,0.02506106177698008
missing,0.5,5,0.5580383240075956,0.029883505934101433,0.7563989466691343,0.029561666454104765,0.5539843253660369,0.026293981604386257,0.491556945447687,0.008940114808425216,0.2741015508579809,0.015499310541598421
outlier,0.0,5,0.6393422709575947,0.04608200406589754,0.7981260689378994,0.05009655130444616,0.617770069782242,0.05179661713783459,1.0,0.0,0.6393422709575947,0.04608200406589754
outlier,0.1,5,0.6274401530769033,0.04856362906739374,0.7977151156060934,0.04689539948409748,0.6067528298398004,0.04958157609681747,1.0,0.0,0.6274401530769033,0.04856362906739374
outlier,0.2,5,0.6166691454483082,0.0557889121172634,0.789474023215252,0.04376066823878083,0.5902398729258957,0.05329484755687137,1.0,0.0,0.6166691454483082,0.0557889121172634
outlier,0.3,5,0.589628889632155,0.05640606721865897,0.7744118406973606,0.05103790349873372,0.5571122371868548,0.058540992086646135,1.0,0.0,0.589628889632155,0.05640606721865897
outlier,0.4,5,0.5840057443991886,0.05053044000691629,0.7652940512517817,0.041113501547772484,0.5482089425564214,0.047541519233951605,1.0,0.0,0.5840057443991886,0.05053044000691629
outlier,0.5,5,0.5670979545452568,0.05824386950867401,0.757073421180234,0.048625990908761935,0.5300782269113588,0.057031772206783446,1.0,0.0,0.5670979545452568,0.05824386950867401
