fold,setting,false_reject_budget,threshold,known_queries,allowed_false_rejects,observed_false_rejects,observed_false_reject_rate
0,neurid_calibrated,0.05,0.7002933621406555,302,15,15,0.04966887417218543
0,no_dustbin_confidence,0.05,0.22556109726428986,302,15,15,0.04966887417218543
1,neurid_calibrated,0.05,0.5639601945877075,294,14,14,0.047619047619047616
1,no_dustbin_confidence,0.05,0.18897892534732819,294,14,14,0.047619047619047616
2,neurid_calibrated,0.05,0.6795545220375061,294,14,14,0.047619047619047616
2,no_dustbin_confidence,0.05,0.14742927253246307,294,14,14,0.047619047619047616
3,neurid_calibrated,0.05,0.5866228342056274,298,14,14,0.04697986577181208
3,no_dustbin_confidence,0.05,0.15246780216693878,298,14,14,0.04697986577181208
4,neurid_calibrated,0.05,0.799259603023529,268,13,13,0.048507462686567165
4,no_dustbin_confidence,0.05,0.1729201227426529,268,13,13,0.048507462686567165

