setting,severity,folds,known_top1_real_mean,known_top1_real_sd,reject_aware_top1_mean,reject_aware_top1_sd,known_false_reject_rate_mean,known_false_reject_rate_sd,unknown_recall_mean,unknown_recall_sd,unknown_precision_mean,unknown_precision_sd
neurid_calibrated,0.0,5,0.6393422709575947,0.04608200406589754,0.6274899745932302,0.051616120583740495,0.06701430536000547,0.03686322035411119,,,,
neurid_calibrated,0.1,5,0.6274401530769033,0.04856362906739374,0.6163123100353358,0.054473553842483105,0.07617181324352668,0.04713605846299104,0.4370643746843569,0.14759784137453621,0.7715246413007012,0.13559742170415226
neurid_calibrated,0.2,5,0.6166691454483082,0.0557889121172634,0.6040313436053151,0.05905623347577808,0.08870212393646745,0.043719003043349525,0.4318385393722476,0.12655312101621793,0.851709770607995,0.07665202539840948
neurid_calibrated,0.3,5,0.589628889632155,0.05640606721865897,0.5734937959422098,0.062049376434203066,0.10110807827615531,0.05093543659504545,0.449202834951089,0.11229735105725244,0.8896603574988209,0.050392439340462176
neurid_calibrated,0.4,5,0.5840057443991886,0.05053044000691629,0.5628668564100776,0.05374182394573246,0.1156668788827973,0.050698291163654416,0.47094555607218985,0.12022828861452027,0.9076071610268123,0.03821384181320021
neurid_calibrated,0.5,5,0.5670979545452568,0.05824386950867401,0.5468325218365514,0.064143436084596,0.12487705174811765,0.06109090630881512,0.4804791313186101,0.11730051322713117,0.9216156284922702,0.0341996876634649
neurid_original,0.0,5,0.6393422709575947,0.04608200406589754,0.5746774437276334,0.0546519939388289,0.2651524866815208,0.06713577370531275,,,,
neurid_original,0.1,5,0.6274401530769033,0.04856362906739374,0.5530844043568626,0.0505792227769837,0.2924732277165337,0.06002501064655303,0.9023290681191366,0.028227784450565983,0.6583581524426287,0.05199092323514286
neurid_original,0.2,5,0.6166691454483082,0.0557889121172634,0.5307172590539272,0.05286814773370753,0.320400747829222,0.06472538937621015,0.9233950236101662,0.017831133018135818,0.7818272624071696,0.03845689082225652
neurid_original,0.3,5,0.589628889632155,0.05640606721865897,0.4965026184450365,0.060011626349643035,0.3570540399830213,0.05627218592004436,0.925164320829315,0.021068357693727953,0.8274937845434802,0.026522093065049667
neurid_original,0.4,5,0.5840057443991886,0.05053044000691629,0.480255155192557,0.04391027598137544,0.38412939435324694,0.04888330548568955,0.9355565537279587,0.017035249740754013,0.8575892468671593,0.017255504705076575
neurid_original,0.5,5,0.5670979545452568,0.05824386950867401,0.45286212961897643,0.053199556810574394,0.412155563496039,0.062499966141913325,0.9384350580585276,0.01299726946556915,0.8757612896751852,0.01754171204065977
no_dustbin_confidence,0.0,5,0.5938729097622757,0.06492032070452647,0.5877196302770524,0.0628038881444747,0.057920356401952124,0.03833559991203346,,,,
no_dustbin_confidence,0.1,5,0.5819807806992211,0.07302806037570046,0.5785455816583278,0.07210918394546274,0.05383954323648906,0.03876087371020328,0.4979514951849177,0.1563941032874605,0.8624652709277691,0.060658599913998454
no_dustbin_confidence,0.2,5,0.5639343284384066,0.0691707676944906,0.56022597216047,0.06984126821525499,0.04873431155108869,0.031732710186128346,0.5366722665481094,0.11669990585666636,0.9373164739922029,0.02502436639115596
no_dustbin_confidence,0.3,5,0.5445457674163191,0.07164919499664084,0.5406810223417835,0.07019910430168232,0.048337132195775734,0.028200399653461446,0.5526340613164499,0.1120436491160646,0.9580104567983728,0.014821116369931787
no_dustbin_confidence,0.4,5,0.5392521151436349,0.05939218313830069,0.5360885617610923,0.05746607462723208,0.05120423113510223,0.03212038619650743,0.5632212773584995,0.0981061126275701,0.9672938522532171,0.013781560470005548
no_dustbin_confidence,0.5,5,0.5193333647461928,0.05861833793331052,0.5161713077760016,0.0571792869857929,0.0485981146971601,0.0329192093275684,0.5554735014787027,0.09411592185991535,0.9746078566986176,0.012493363174121462
no_dustbin_forced,0.0,5,0.5938729097622757,0.06492032070452647,0.5938729097622757,0.06492032070452647,0.0,0.0,,,,
no_dustbin_forced,0.1,5,0.5819807806992211,0.07302806037570046,0.5819807806992211,0.07302806037570046,0.0,0.0,0.0,0.0,,
no_dustbin_forced,0.2,5,0.5639343284384066,0.0691707676944906,0.5639343284384066,0.0691707676944906,0.0,0.0,0.0,0.0,,
no_dustbin_forced,0.3,5,0.5445457674163191,0.07164919499664084,0.5445457674163191,0.07164919499664084,0.0,0.0,0.0,0.0,,
no_dustbin_forced,0.4,5,0.5392521151436349,0.05939218313830069,0.5392521151436349,0.05939218313830069,0.0,0.0,0.0,0.0,,
no_dustbin_forced,0.5,5,0.5193333647461928,0.05861833793331052,0.5193333647461928,0.05861833793331052,0.0,0.0,0.0,0.0,,

