baseline,setting,scope,severity,paired_folds,folds,ci_method,confidence,delta_reject_aware_top1_pp,delta_reject_aware_top1_ci_low_pp,delta_reject_aware_top1_ci_high_pp,known_false_reject_reduction_pp,known_false_reject_reduction_ci_low_pp,known_false_reject_reduction_ci_high_pp
current_argmax,binary_0_5,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.979410364982921,1.3469109641000943,2.6119097658657475,7.854966287456181,5.066640203263245,10.643292371649116
current_argmax,binary_0_5,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.794343625248068,1.3812467808187776,4.207440469677358,9.753054936507075,6.373437213105926,13.132672659908224
current_argmax,binary_0_5,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.360216662237035,1.6198305853785948,3.1006027390954745,9.001449876177182,6.61400086280686,11.388898889547502
current_argmax,binary_0_5,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.6464063693835693,1.4247326273912464,3.868080111375892,9.491228570257848,7.1332600056103255,11.84919713490537
current_argmax,binary_0_5,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.702111837097314,0.5697390621321762,4.834484612062452,9.715833125361103,4.913243470020282,14.518422780701922
current_argmax,binary_0_5,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.9391830334276206,1.3734322902402913,4.5049337766149495,10.178623862041261,6.132880444425828,14.224367279656693
current_argmax,binary_0_5,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,3.323800224094805,1.5938913738084672,5.053709074381143,10.378139248697979,6.569043279757459,14.1872352176385
current_argmax,log_margin_val_r80,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,3.4392468445576125,2.259999482029088,4.618494207086138,11.288558037547158,8.33218648927283,14.244929585821486
current_argmax,log_margin_val_r80,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,5.6070932667372695,3.593071696068348,7.621114837406191,14.789936420194733,10.491039276983749,19.088833563405714
current_argmax,log_margin_val_r80,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,4.794110233832608,3.8839879916175284,5.704232476047688,12.984660980346503,9.968956324384944,16.000365636308057
current_argmax,log_margin_val_r80,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,5.121499994671027,3.5382134003835692,6.704786588958485,13.830804425500604,9.772531324279454,17.889077526721753
