dataset,method,fold,seed,seed_invariant,split_family,top1,top5,mrr,hungarian,queries,template
atanas,CPD,1,1,True,Data/cv5_grouped_v1,0.505307855626327,0.8535031847133758,0.6560325100359261,0.5583864118895966,471,2023-01-05-18
atanas,CPD,1,42,True,Data/cv5_grouped_v1,0.505307855626327,0.8535031847133758,0.6560325100359261,0.5583864118895966,471,2023-01-05-18
atanas,CPD,1,123,True,Data/cv5_grouped_v1,0.505307855626327,0.8535031847133758,0.6560325100359261,0.5583864118895966,471,2023-01-05-18
atanas,CPD,2,1,True,Data/cv5_grouped_v1,0.5681341719077568,0.8448637316561844,0.6883470948627307,0.5786163522012578,477,2023-01-05-18
atanas,CPD,2,42,True,Data/cv5_grouped_v1,0.5681341719077568,0.8448637316561844,0.6883470948627307,0.5786163522012578,477,2023-01-05-18
atanas,CPD,2,123,True,Data/cv5_grouped_v1,0.5681341719077568,0.8448637316561844,0.6883470948627307,0.5786163522012578,477,2023-01-05-18
atanas,CPD,3,1,True,Data/cv5_grouped_v1,0.4518201284796574,0.7580299785867237,0.5831198173902965,0.4753747323340471,467,2023-01-05-18
atanas,CPD,3,42,True,Data/cv5_grouped_v1,0.4518201284796574,0.7580299785867237,0.5831198173902965,0.4753747323340471,467,2023-01-05-18
atanas,CPD,3,123,True,Data/cv5_grouped_v1,0.4518201284796574,0.7580299785867237,0.5831198173902965,0.4753747323340471,467,2023-01-05-18
atanas,CPD,4,1,True,Data/cv5_grouped_v1,0.4318181818181818,0.8068181818181818,0.5978998386836205,0.47954545454545455,440,2023-01-16-15
atanas,CPD,4,42,True,Data/cv5_grouped_v1,0.4318181818181818,0.8068181818181818,0.5978998386836205,0.47954545454545455,440,2023-01-16-15
atanas,CPD,4,123,True,Data/cv5_grouped_v1,0.4318181818181818,0.8068181818181818,0.5978998386836205,0.47954545454545455,440,2023-01-16-15
atanas,CPD,5,1,True,Data/cv5_grouped_v1,0.47121535181236673,0.8699360341151386,0.6342467243323291,0.5031982942430704,469,2023-01-09-22
atanas,CPD,5,42,True,Data/cv5_grouped_v1,0.47121535181236673,0.8699360341151386,0.6342467243323291,0.5031982942430704,469,2023-01-09-22
atanas,CPD,5,123,True,Data/cv5_grouped_v1,0.47121535181236673,0.8699360341151386,0.6342467243323291,0.5031982942430704,469,2023-01-09-22
rld,CPD,1,1,True,Data/cv5_grouped_v1,0.3246753246753247,0.7532467532467533,0.4992269635126778,0.36363636363636365,77,20240426-22-49-55
rld,CPD,1,42,True,Data/cv5_grouped_v1,0.3246753246753247,0.7532467532467533,0.4992269635126778,0.36363636363636365,77,20240426-22-49-55
rld,CPD,1,123,True,Data/cv5_grouped_v1,0.3246753246753247,0.7532467532467533,0.4992269635126778,0.36363636363636365,77,20240426-22-49-55
rld,CPD,2,1,True,Data/cv5_grouped_v1,0.19708029197080293,0.44525547445255476,0.34769078007055676,0.21897810218978103,137,20240828-17-07-39
rld,CPD,2,42,True,Data/cv5_grouped_v1,0.19708029197080293,0.44525547445255476,0.34769078007055676,0.21897810218978103,137,20240828-17-07-39
rld,CPD,2,123,True,Data/cv5_grouped_v1,0.19708029197080293,0.44525547445255476,0.34769078007055676,0.21897810218978103,137,20240828-17-07-39
rld,CPD,3,1,True,Data/cv5_grouped_v1,0.1310344827586207,0.2896551724137931,0.24590707815961366,0.15862068965517243,145,20230322-21-41-10
rld,CPD,3,42,True,Data/cv5_grouped_v1,0.1310344827586207,0.2896551724137931,0.24590707815961366,0.15862068965517243,145,20230322-21-41-10
rld,CPD,3,123,True,Data/cv5_grouped_v1,0.1310344827586207,0.2896551724137931,0.24590707815961366,0.15862068965517243,145,20230322-21-41-10
rld,CPD,4,1,True,Data/cv5_grouped_v1,0.40476190476190477,0.8928571428571429,0.570436507936508,0.44047619047619047,84,20230909-16-14-25
rld,CPD,4,42,True,Data/cv5_grouped_v1,0.40476190476190477,0.8928571428571429,0.570436507936508,0.44047619047619047,84,20230909-16-14-25
rld,CPD,4,123,True,Data/cv5_grouped_v1,0.40476190476190477,0.8928571428571429,0.570436507936508,0.44047619047619047,84,20230909-16-14-25
rld,CPD,5,1,True,Data/cv5_grouped_v1,0.26785714285714285,0.875,0.4758928571428572,0.3392857142857143,56,20230909-16-14-25
rld,CPD,5,42,True,Data/cv5_grouped_v1,0.26785714285714285,0.875,0.4758928571428572,0.3392857142857143,56,20230909-16-14-25
rld,CPD,5,123,True,Data/cv5_grouped_v1,0.26785714285714285,0.875,0.4758928571428572,0.3392857142857143,56,20230909-16-14-25
atanas,fDNC,1,1,False,benchmark_official/protocols,0.42524271844660194,0.8524271844660194,0.6064858841383747,0.3825242718446602,515,2023-01-16-15
atanas,fDNC,1,42,False,benchmark_official/protocols,0.42135922330097086,0.8563106796116505,0.6037297419922635,0.3825242718446602,515,2023-01-16-15
atanas,fDNC,1,123,False,benchmark_official/protocols,0.42135922330097086,0.858252427184466,0.6042570979256449,0.3766990291262136,515,2023-01-16-15
