dataset,method,fold,top1,top5,mrr,hungarian
atanas,CPD,1,0.505307855626327,0.8535031847133757,0.6560325100359261,0.5583864118895966
atanas,CPD,2,0.5681341719077568,0.8448637316561843,0.6883470948627307,0.5786163522012578
atanas,CPD,3,0.4518201284796574,0.7580299785867237,0.5831198173902965,0.4753747323340471
atanas,CPD,4,0.4318181818181818,0.8068181818181818,0.5978998386836205,0.47954545454545455
atanas,CPD,5,0.47121535181236673,0.8699360341151386,0.6342467243323291,0.5031982942430704
atanas,GeoTransformer,1,0.4796747967479675,0.7504690431519699,0.5905475711882152,0.44840525328330205
atanas,GeoTransformer,2,0.45017921146953405,0.7677419354838709,0.5813241322835286,0.4293906810035842
atanas,GeoTransformer,3,0.40234134319162046,0.6494146642020949,0.5051504756959221,0.3629081947011707
atanas,GeoTransformer,4,0.4111969111969112,0.7091377091377091,0.5316583272573109,0.36357786357786354
atanas,GeoTransformer,5,0.5294573643410853,0.7775193798449612,0.6397804215896962,0.465891472868217
atanas,NuCLR,1,0.19741100323624594,0.46601941747572817,0.33399606247747066,0.21165048543689322
atanas,NuCLR,2,0.19796215429403205,0.4621542940320233,0.32555802425379016,0.1957787481804949
atanas,NuCLR,3,0.17434869739478956,0.4101536406145625,0.2946181604876516,0.17635270541082163
atanas,NuCLR,4,0.169921875,0.4498697916666667,0.3078315345793552,0.193359375
atanas,NuCLR,5,0.21537290715372906,0.4322678843226788,0.32971648934745895,0.21461187214611874
atanas,fDNC,1,0.42265372168284787,0.8556634304207119,0.6048242413520944,0.38058252427184464
atanas,fDNC,2,0.42576419213973793,0.8442503639010188,0.6034925532160926,0.3457059679767103
atanas,fDNC,3,0.4275217100868403,0.7695390781563126,0.5750762038443414,0.33667334669338683
atanas,fDNC,4,0.3815104166666667,0.8522135416666666,0.5760006244697791,0.3854166666666667
atanas,fDNC,5,0.3538812785388128,0.6971080669710807,0.5109874884591069,0.24885844748858446
rld,CPD,1,0.3246753246753247,0.7532467532467533,0.4992269635126778,0.3636363636363636
rld,CPD,2,0.19708029197080293,0.44525547445255476,0.3476907800705568,0.21897810218978106
rld,CPD,3,0.1310344827586207,0.2896551724137931,0.24590707815961366,0.15862068965517243
rld,CPD,4,0.4047619047619048,0.8928571428571429,0.570436507936508,0.44047619047619047
rld,CPD,5,0.26785714285714285,0.875,0.4758928571428572,0.33928571428571425
rld,GeoTransformer,1,0.31746031746031744,0.6031746031746031,0.43467478276718224,0.16666666666666666
rld,GeoTransformer,2,0.29906542056074764,0.6105919003115264,0.4352818330825303,0.16199376947040497
rld,GeoTransformer,3,0.32,0.5493333333333333,0.41335328165690105,0.18933333333333333
rld,GeoTransformer,4,0.053763440860215055,0.13978494623655913,0.10065525477772119,0.02150537634408602
rld,GeoTransformer,5,0.2693798449612403,0.5116279069767442,0.3632213958185311,0.1434108527131783
rld,NuCLR,1,0.12903225806451613,0.17204301075268816,0.1740297960603844,0.04301075268817204
rld,NuCLR,2,0.1807909604519774,0.5677966101694916,0.34891733501753647,0.20903954802259886
rld,NuCLR,3,0.15770609318996415,0.4408602150537635,0.292081700087276,0.18637992831541217
rld,NuCLR,4,0.1414141414141414,0.3181818181818182,0.23865945041011508,0.06060606060606061
rld,NuCLR,5,0.15023474178403753,0.4178403755868545,0.2721837445061734,0.09859154929577464
rld,fDNC,1,0.21929824561403508,0.7894736842105262,0.4539988276830382,0.008771929824561403
rld,fDNC,2,0.4209245742092458,0.7858880778588809,0.5854496228664386,0.36009732360097324
rld,fDNC,3,0.27568922305764404,0.6491228070175438,0.4466662617990438,0.23809523809523805
rld,fDNC,4,0.24561403508771928,0.6973684210526315,0.44079453472571045,0.10964912280701754
rld,fDNC,5,0.20614035087719298,0.7719298245614036,0.4574548226541262,0.08333333333333333
