dataset,method,metric,old_pairwise_mean,medoid_template_mean,delta_percentage_points
atanas,CPD,top1,0.3924,0.485659137928858,9.325913792885798
atanas,CPD,top5,0.7429,0.8266302221779208,8.37302221779208
atanas,fDNC,top1,0.3206,0.4022662638229811,8.166626382298109
atanas,fDNC,top5,0.7223,0.8037548962231581,8.145489622315804
atanas,fDNC,hungarian,0.2802,0.33944739061943857,5.924739061943857
atanas,NuCLR,top1,0.1951,0.19100332741575932,-0.4096672584240679
atanas,NuCLR,top5,0.4394,0.4440930056223319,0.46930056223318806
atanas,NuCLR,hungarian,0.1979,0.1983506372348657,0.045063723486571394
atanas,GeoTransformer,top1,0.3142,0.4545699253894237,14.036992538942371
atanas,GeoTransformer,top5,0.5838,0.7308565463641212,14.705654636412124
atanas,GeoTransformer,hungarian,0.2839,0.4140346930868275,13.013469308682751
rld,CPD,top1,0.0912,0.26508182940475916,17.388182940475915
rld,CPD,top5,0.2243,0.6512029085940487,42.690290859404875
rld,fDNC,top1,0.1895,0.27353328576916747,8.403328576916746
rld,fDNC,top5,0.5235,0.7387565629401972,21.525656294019726
rld,fDNC,hungarian,0.157,0.15998938953222472,0.29893895322247177
rld,NuCLR,top1,0.1321,0.1518356389809273,1.9735638980927313
rld,NuCLR,top5,0.3968,0.38334440594892316,-1.3455594051076825
rld,NuCLR,hungarian,0.1184,0.11952556778560366,0.11255677856036594
rld,GeoTransformer,top1,0.0951,0.25193380476850413,15.683380476850411
rld,GeoTransformer,top5,0.2805,0.48290253800655325,20.24025380065532
rld,GeoTransformer,hungarian,0.0738,0.13658199970553386,6.278199970553386
