dataset,method,fold,cells,reference,test_test_pairs,status
atanas,CPD,1,3,2023-01-05-18,0,pass; deterministic result replicated across seed labels
atanas,CPD,2,3,2023-01-05-18,0,pass; deterministic result replicated across seed labels
atanas,CPD,3,3,2023-01-05-18,0,pass; deterministic result replicated across seed labels
atanas,CPD,4,3,2023-01-16-15,0,pass; deterministic result replicated across seed labels
atanas,CPD,5,3,2023-01-09-22,0,pass; deterministic result replicated across seed labels
rld,CPD,1,3,20240426-22-49-55,0,pass; deterministic result replicated across seed labels
rld,CPD,2,3,20240828-17-07-39,0,pass; deterministic result replicated across seed labels
rld,CPD,3,3,20230322-21-41-10,0,pass; deterministic result replicated across seed labels
rld,CPD,4,3,20230909-16-14-25,0,pass; deterministic result replicated across seed labels
rld,CPD,5,3,20230909-16-14-25,0,pass; deterministic result replicated across seed labels
atanas,fDNC,1,3,2023-01-16-15,0,pass
atanas,fDNC,2,3,2023-01-09-22,0,pass
atanas,fDNC,3,3,2023-01-16-15,0,pass
atanas,fDNC,4,3,2023-01-09-22,0,pass
atanas,fDNC,5,3,2023-01-16-15,0,pass
rld,fDNC,1,3,20240714-16-04-26,0,pass
rld,fDNC,2,3,20240828-17-07-39,0,pass
rld,fDNC,3,3,20240828-17-07-39,0,pass
rld,fDNC,4,3,20240714-16-04-26,0,pass
rld,fDNC,5,3,20240714-16-04-26,0,pass
atanas,NuCLR,1,3,2023-01-16-15,0,pass
atanas,NuCLR,2,3,2023-01-09-22,0,pass
atanas,NuCLR,3,3,2023-01-16-15,0,pass
atanas,NuCLR,4,3,2023-01-09-22,0,pass
atanas,NuCLR,5,3,2023-01-16-15,0,pass
rld,NuCLR,1,3,20240714-16-04-26,0,pass
rld,NuCLR,2,3,20240828-17-07-39,0,pass
rld,NuCLR,3,3,20240828-17-07-39,0,pass
rld,NuCLR,4,3,20240714-16-04-26,0,pass
rld,NuCLR,5,3,20240714-16-04-26,0,pass
atanas,GeoTransformer,1,3,2023-01-09-22.npz,0,pass
atanas,GeoTransformer,2,3,2023-01-09-22.npz,0,pass
atanas,GeoTransformer,3,3,2023-01-09-22.npz,0,pass
atanas,GeoTransformer,4,3,2023-01-09-22.npz,0,pass
atanas,GeoTransformer,5,3,2022-06-14-07.npz,0,pass
rld,GeoTransformer,1,3,20240724-15-07-00.npz,0,pass
rld,GeoTransformer,2,3,20230510-12-53-34.npz,0,pass
rld,GeoTransformer,3,3,20230510-12-53-34.npz,0,pass
rld,GeoTransformer,4,3,20230604-17-09-01.npz,0,pass
rld,GeoTransformer,5,3,20230510-12-53-34.npz,0,pass
