dataset,metric,contrast,mean_paired_effect,fold_sd,fold_bootstrap_ci_low,fold_bootstrap_ci_high,fold_1_effect,fold_2_effect,fold_3_effect,fold_4_effect,fold_5_effect,seed_1_mean_effect,seed_42_mean_effect,seed_123_mean_effect
atanas,ranking_top1,B_minus_A,0.049399606594926634,0.02164778344727815,0.03011120572251954,0.06346854313567601,0.04739973133755515,0.0554239073196419,0.01321499013806704,0.06744807731852764,0.06351132686084145,0.04351699596591142,0.0414888747137356,0.06319294910513289
atanas,top3,B_minus_A,0.038846708792997446,0.022952532397273684,0.02153662856644744,0.0589106901262888,0.04125887545576664,0.032648762506582406,0.009960552268244586,0.0738227431626568,0.0365426105717368,0.03935802801741735,0.030286913437694053,0.046895184923880937
atanas,top5,B_minus_A,0.033538576504980204,0.017686747201187413,0.022177249115078602,0.04861183772581949,0.03252734599884858,0.02330173775671403,0.01587771203155819,0.06241003495784495,0.03357605177993528,0.03713226021104547,0.025601734702930923,0.03788173460096422
atanas,top10,B_minus_A,0.025966766107338696,0.0167613495383014,0.015322437008602762,0.0411599239274463,0.018230665899059677,0.011190100052659302,0.0210059171597633,0.05459592843923496,0.02481121898597623,0.03533962349417643,0.021047665828343144,0.021513008999496507
atanas,mrr,B_minus_A,0.04177876518483482,0.018445591807306934,0.02626722864973389,0.055186544640013366,0.04044668776401894,0.04103966092899155,0.013838707582212506,0.06477358574678642,0.048795183902164675,0.04030875154103821,0.03435978091133307,0.05066776310213317
atanas,mean_rank,B_minus_A,-1.3402988748550855,0.5620288086304877,-1.7783605753900527,-0.9022371743201185,-0.685089234312032,-0.8035808320168512,-1.911242603550295,-1.7677359654534233,-1.5338457389428266,-2.302345361030587,-1.183054721283472,-0.5354965422511977
atanas,assignment_top1,B_minus_A,0.0486385544218325,0.016269548231272087,0.03421623945624921,0.05952365256974361,0.04442525426981381,0.06016324381253291,0.021992110453648944,0.05593255192268146,0.06067961165048541,0.045526737367951355,0.04150742568268003,0.058881500214866135
rld,ranking_top1,B_minus_A,0.038666980941946025,0.019778092891725857,0.02385956944981959,0.05405030745659637,0.04979811574697174,0.014556040756914116,0.0265049415992812,0.03717588253670732,0.06529992406985574,0.06733185439549469,0.03393628897799276,0.01473279945235062
rld,top3,B_minus_A,0.02928247632899571,0.023304156452220837,0.012257978386685964,0.04851570819335156,0.06415432929564831,0.008733624454148528,0.011680143755615435,0.02046235551390189,0.041381928625664366,0.03228946314199703,0.030039065155178356,0.02551890068981173
rld,top5,B_minus_A,0.021303841972395855,0.02401495027360856,0.0035309046785412987,0.04148936507571779,0.05585464333781964,-3.700743415417188e-17,0.010781671159029615,0.0034364261168384758,0.03644646924829157,0.021999546104879107,0.018237939026823358,0.023674040785485094
rld,top10,B_minus_A,0.005240438625361158,0.017471509371542796,-0.0074717289223667745,0.02016851569459726,0.031628532974428025,-0.007520621057738912,-0.0004492362982928914,-0.01093408309903158,0.01347760060744115,0.007991223732478426,-0.0034433032456506084,0.011173395389255658
rld,mrr,B_minus_A,0.030073272420140053,0.019167516089800284,0.015079852514636735,0.045066692325643365,0.048990373759628426,0.00837442327823823,0.016662135356897756,0.0253261453029117,0.05101328440302414,0.04687040457604208,0.026393433751648886,0.01695597893272919
rld,mean_rank,B_minus_A,0.4246591869535079,0.604763323546092,-0.062228003576468606,0.8916379224332707,0.053611484970839264,0.6557496360989811,0.5044923629829293,1.2496094970321776,-0.3401670463173878,0.4438756174555586,0.9491801298985472,-0.11907818649358201
rld,assignment_top1,B_minus_A,0.03979675824557058,0.02008713320466881,0.025242364116529876,0.05654117788349964,0.019291161956034104,0.025230470645317842,0.03593890386343218,0.04904717275851297,0.0694760820045558,0.07448677339744791,0.030731576375689518,0.014171924963574301
