fold,animal_id,neuron_row,x,y,z,gt_identity,pred_geometry,pred_full,is_evaluated
0,2022-07-26-01,0,0,0,0,,RID,URADR,false
0,2022-07-26-01,1,49.1399994,16.7399998,9.72000027,RMDL,AIBL,RMDL,true
0,2022-07-26-01,2,58.8600006,22.1399994,20.5200005,AIAR,SMBVR,SMBVR,false
0,2022-07-26-01,3,0,0,0,,RID,URADR,false
0,2022-07-26-01,4,44.2799988,5.4000001,11.3400002,URXL,ADLL,URXL,true
0,2022-07-26-01,5,65.3399963,18.3600006,7.01999998,RICL,AVKL,RICL,true
0,2022-07-26-01,6,57.2400017,18.3600006,19.4400005,SMBD?,AIYR,SMBVR,false
0,2022-07-26-01,7,0,0,0,,RID,URADL,false
0,2022-07-26-01,8,0,0,0,,RID,URADR,false
0,2022-07-26-01,9,26.4599991,15.1199999,21.0599995,IL1R,RMER,IL1R,true
0,2022-07-26-01,10,0,0,0,,RID,URADR,false
0,2022-07-26-01,11,0,0,0,,RID,URADR,false
0,2022-07-26-01,12,0,0,0,,RID,URADR,false
0,2022-07-26-01,13,0,0,0,,RID,URADR,false
0,2022-07-26-01,14,0,0,0,,RID,URADR,false
0,2022-07-26-01,15,48.5999985,22.1399994,16.2000008,SMDD?,AVL,RMDDR,false
0,2022-07-26-01,16,0,0,0,,RID,URADL,false
0,2022-07-26-01,17,51.2999992,14.5799999,21.6000004,AIBR,AUAR,AIBR,true
0,2022-07-26-01,18,44.2799988,2.70000005,10.2600002,CEPDL,CEPDL,CEPDL,true
0,2022-07-26-01,19,0,0,0,,RID,URADR,false
0,2022-07-26-01,20,24.2999992,10.8000002,16.7399998,IL1DR,URYDR,IL1DR,true
0,2022-07-26-01,21,44.8199997,11.8800001,7.01999998,AVAL,ASHL,AVAL,true
0,2022-07-26-01,22,0,0,0,,RID,URADR,false
0,2022-07-26-01,23,0,0,0,,RID,URADR,false
0,2022-07-26-01,24,0,0,0,,RID,URADR,false
0,2022-07-26-01,25,56.7000008,7.01999998,7.55999994,ASGL,AINL,RIVL,true
0,2022-07-26-01,26,0,0,0,,RID,URADR,false
0,2022-07-26-01,27,10.2600002,30.7800007,8.10000038,I2L,IL2VL,I2L,true
0,2022-07-26-01,28,0,0,0,,RID,RMED,false
0,2022-07-26-01,29,6.48000002,15.1199999,7.55999994,IL2DL,IL2DL,IL2DL,true
0,2022-07-26-01,30,0,0,0,,RID,URADL,false
0,2022-07-26-01,31,45.9000015,15.1199999,23.2199993,RMDR,RMDR,RMDR,true
0,2022-07-26-01,32,89.6399994,21.0599995,9.72000027,ADEL,VB02,VB02,true
0,2022-07-26-01,33,18.8999996,22.1399994,18.8999996,M3R,M3R,M3R,true
0,2022-07-26-01,34,0,0,0,,RID,URADR,false
0,2022-07-26-01,35,0,0,0,,RID,RIAL,false
0,2022-07-26-01,36,46.9799995,4.32000017,8.64000034,SMDVL,RIVL,SMDVL,true
0,2022-07-26-01,37,46.4399986,13.5,21.0599995,AVER,AIBR,AVER,true
0,2022-07-26-01,38,0,0,0,,RID,URADR,false
0,2022-07-26-01,39,0,0,0,,RID,URADR,false
0,2022-07-26-01,40,48.5999985,14.5799999,9.18000031,AVEL,AIBL,AVEL,true
0,2022-07-26-01,41,63.7200012,7.01999998,3.77999997,AVJL,ADEL,I6,true
0,2022-07-26-01,42,0,0,0,,RID,URADR,false
0,2022-07-26-01,43,17.2800007,17.2800007,11.8800001,M4,M4,M4,true
0,2022-07-26-01,44,0,0,0,,RID,URADR,false
0,2022-07-26-01,45,10.8000002,18.3600006,11.3400002,I3,I3,I3,true
0,2022-07-26-01,46,60.4799995,5.94000006,25.3799992,AINR,AIZR,AVJR,true
0,2022-07-26-01,47,36.7200012,21.0599995,10.2600002,CEPVL,RMEV,CEPVL,true
0,2022-07-26-01,48,64.2600021,23.2199993,16.7399998,AIY?,AIMR,AIYR,false
0,2022-07-26-01,49,0,0,0,,RID,URADR,false
0,2022-07-26-01,50,0,0,0,,RID,URADL,false
0,2022-07-26-01,51,27,19.9799995,8.10000038,URYVL,OLQVL,URYVL,true
0,2022-07-26-01,52,57.2400017,9.72000027,5.4000001,ASEL,AVJL,ASEL,true
0,2022-07-26-01,53,86.9400024,23.2199993,21.6000004,AVKR,VB02,VB02,true
0,2022-07-26-01,54,33.4799995,14.04,7.01999998,RMEL,RMEL,RMEL,true
0,2022-07-26-01,55,58.3199997,12.96,6.48000002,ASHL,RICL,ASHL,true
0,2022-07-26-01,56,23.2199993,14.04,18.3600006,OLLR,OLLR,OLLR,true
0,2022-07-26-01,57,0,0,0,,RID,URADR,false
0,2022-07-26-01,58,54.5400009,19.4400005,21.0599995,RMDDR,SMBVR,RMDDR,true
0,2022-07-26-01,59,0,0,0,,RID,URADR,false
0,2022-07-26-01,60,0,0,0,,RID,URADR,false
0,2022-07-26-01,61,0,0,0,,RID,URADR,false
0,2022-07-26-01,62,24.2999992,18.3600006,7.01999998,URBR,IL1L,URBL,true
0,2022-07-26-01,63,33.4799995,18.8999996,21.0599995,OLQVR,CEPVR,OLQVR,true
0,2022-07-26-01,64,0,0,0,,RID,URADR,false
0,2022-07-26-01,65,0,0,0,,RID,URADR,false
0,2022-07-26-01,66,44.2799988,3.77999997,21.0599995,SMDVR,SMDVR,SMDVR,true
0,2022-07-26-01,67,0,0,0,,RID,URADR,false
0,2022-07-26-01,68,2.70000005,15.1199999,14.5799999,IL2DR,IL2DR,IL2DR,true
0,2022-07-26-01,69,31.8600006,12.4200001,22.1399994,RMER,RMDVR,RMER,true
0,2022-07-26-01,70,0,0,0,,RID,URADR,false
0,2022-07-26-01,71,12.4200001,36.1800003,8.64000034,IL2VL,IL2VL,IL2VL,true
0,2022-07-26-01,72,28.6200008,8.10000038,16.7399998,OLQDR,OLQDR,OLQDR,true
0,2022-07-26-01,73,0,0,0,,RID,URADR,false
0,2022-07-26-01,74,28.0799999,18.8999996,21.6000004,URYVR,OLQVR,URYVR,true
0,2022-07-26-01,75,25.9200001,10.8000002,10.8000002,IL1DL,URYDL,IL1DL,true
0,2022-07-26-01,76,0,0,0,,RID,URADR,false
0,2022-07-26-01,77,24.2999992,15.6599998,8.10000038,OLLL,OLLL,OLLL,true
0,2022-07-26-01,78,0,0,0,,RID,URADR,false
0,2022-07-26-01,79,45.9000015,8.10000038,9.18000031,RIAL,ASGL,RIAL,true
