fold,test_fish,seed,variant,label,queries,top1_real,top5_real,mrr_real,hungarian_accuracy,metrics_path
1,func_20150410,42,full,Full NeuRID,3536,0.8832013574660633,0.9923642533936652,0.9282412787907803,0.879524886877828,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo/fold1/seed42/full/test_metrics.json
1,func_20150410,42,no_transport,No relation transport,3536,0.9239253393665159,0.9934954751131222,0.9545609789196722,0.9179864253393665,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_1/seed42/no_transport/test_metrics.json
1,func_20150410,42,geometry_only,Geometry-only,3536,0.818156108597285,0.9915158371040724,0.8885049798369947,0.8173076923076923,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_1/seed42/geometry_only/test_metrics.json
1,func_20150410,42,activity_only,Activity-only,3536,0.08766968325791855,0.3119343891402715,0.2076807491380165,0.08766968325791855,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_1/seed42/activity_only/test_metrics.json
2,func_20150417,42,full,Full NeuRID,3954,0.996206373292868,1.0,0.9981031866464339,0.9944360141628731,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_2/seed42/full/test_metrics.json
2,func_20150417,42,no_transport,No relation transport,3954,0.9860900354071827,1.0,0.9929817905918058,0.9873545776428932,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_2/seed42/no_transport/test_metrics.json
2,func_20150417,42,geometry_only,Geometry-only,3954,0.9878603945371776,1.0,0.9936351341976924,0.9853313100657562,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_2/seed42/geometry_only/test_metrics.json
2,func_20150417,42,activity_only,Activity-only,3954,0.14289327263530602,0.4395548811330298,0.2874022133132093,0.14365199797673242,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_2/seed42/activity_only/test_metrics.json
3,func_20161004,42,full,Full NeuRID,768,0.9895833333333334,1.0,0.9947916666666666,0.9895833333333334,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_3/seed42/full/test_metrics.json
3,func_20161004,42,no_transport,No relation transport,768,0.9752604166666666,1.0,0.9865451455116272,0.9791666666666666,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_3/seed42/no_transport/test_metrics.json
3,func_20161004,42,geometry_only,Geometry-only,768,0.9895833333333334,1.0,0.9947916666666666,0.9895833333333334,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_3/seed42/geometry_only/test_metrics.json
3,func_20161004,42,activity_only,Activity-only,768,0.052083333333333336,0.2526041666666667,0.17316196610530218,0.049479166666666664,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_3/seed42/activity_only/test_metrics.json
4,islet_20170202,42,full,Full NeuRID,1820,0.9862637362637363,1.0,0.9927655733548678,0.989010989010989,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_4/seed42/full/test_metrics.json
4,islet_20170202,42,no_transport,No relation transport,1820,0.9681318681318681,0.9961538461538462,0.9813315506819841,0.9692307692307692,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_4/seed42/no_transport/test_metrics.json
4,islet_20170202,42,geometry_only,Geometry-only,1820,0.9307692307692308,1.0,0.9638278521024264,0.9362637362637363,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_4/seed42/geometry_only/test_metrics.json
4,islet_20170202,42,activity_only,Activity-only,1820,0.0478021978021978,0.19945054945054946,0.14568684153504424,0.04945054945054945,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_4/seed42/activity_only/test_metrics.json
5,islet_20170216,42,full,Full NeuRID,1464,0.9877049180327869,1.0,0.9936247757875203,0.9890710382513661,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_5/seed42/full/test_metrics.json
5,islet_20170216,42,no_transport,No relation transport,1464,0.9658469945355191,0.9993169398907104,0.981386622444528,0.9672131147540983,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_5/seed42/no_transport/test_metrics.json
5,islet_20170216,42,geometry_only,Geometry-only,1464,0.9883879781420765,1.0,0.9941939890710383,0.9890710382513661,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_5/seed42/geometry_only/test_metrics.json
5,islet_20170216,42,activity_only,Activity-only,1464,0.1325136612021858,0.40710382513661203,0.2688120460249687,0.1325136612021858,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_5/seed42/activity_only/test_metrics.json
6,lineage_20160328,42,full,Full NeuRID,938,0.9786780383795309,1.0,0.9891613388874891,0.9744136460554371,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_6/seed42/full/test_metrics.json
6,lineage_20160328,42,no_transport,No relation transport,938,0.9797441364605544,1.0,0.9882729373761078,0.9744136460554371,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_6/seed42/no_transport/test_metrics.json
6,lineage_20160328,42,geometry_only,Geometry-only,938,0.9818763326226013,1.0,0.9898720804308014,0.976545842217484,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_6/seed42/geometry_only/test_metrics.json
6,lineage_20160328,42,activity_only,Activity-only,938,0.06823027718550106,0.23667377398720682,0.180212110344535,0.06183368869936034,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_6/seed42/activity_only/test_metrics.json
7,lineage_20170111,42,full,Full NeuRID,2492,0.9995987158908507,1.0,0.9997993579454254,1.0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_7/seed42/full/test_metrics.json
7,lineage_20170111,42,no_transport,No relation transport,2492,0.9923756019261637,1.0,0.9961878009630819,0.9919743178170144,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_7/seed42/no_transport/test_metrics.json
7,lineage_20170111,42,geometry_only,Geometry-only,2492,0.9915730337078652,1.0,0.9957196371895927,0.9951845906902087,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_7/seed42/geometry_only/test_metrics.json
7,lineage_20170111,42,activity_only,Activity-only,2492,0.10955056179775281,0.3475120385232745,0.23328515002279757,0.10914927768860354,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_7/seed42/activity_only/test_metrics.json
8,lineage_20170925,42,full,Full NeuRID,2184,0.9935897435897436,1.0,0.9967948717948718,0.9935897435897436,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_8/seed42/full/test_metrics.json
8,lineage_20170925,42,no_transport,No relation transport,2184,0.9940476190476191,1.0,0.9968711867000594,0.9926739926739927,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_8/seed42/no_transport/test_metrics.json
8,lineage_20170925,42,geometry_only,Geometry-only,2184,0.9940476190476191,1.0,0.9970238095238095,0.9945054945054945,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_8/seed42/geometry_only/test_metrics.json
8,lineage_20170925,42,activity_only,Activity-only,2184,0.07188644688644688,0.2564102564102564,0.18164941111763755,0.06227106227106227,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_8/seed42/activity_only/test_metrics.json
