method,display_name,fold,test_fish,seed,pairs,queries,top1,top5,mrr,hungarian,coverage
cpd,CPD,1,func_20150410,,16,3536,0.8472850678733032,0.9906674208144797,0.9107122656755015,0.8925339366515838,1.0
cpd,CPD,2,func_20150417,,18,3954,0.909711684370258,0.9984825493171472,0.9486053905629022,0.9635811836115327,1.0
cpd,CPD,3,func_20161004,,6,768,0.8776041666666666,1.0,0.9345703125000001,0.9244791666666666,1.0
cpd,CPD,4,islet_20170202,,13,1820,0.8472527472527472,0.9923076923076923,0.9142015722372866,0.9,1.0
cpd,CPD,5,islet_20170216,,12,1464,0.9002732240437158,1.0,0.9450250455373405,0.924863387978142,1.0
cpd,CPD,6,lineage_20160328,,8,938,0.9552238805970149,1.0,0.974271499644634,0.9808102345415778,1.0
cpd,CPD,7,lineage_20170111,,14,2492,0.9285714285714286,0.9979935794542536,0.960370501622508,0.9686998394863563,1.0
cpd,CPD,8,lineage_20170925,,14,2184,0.9271978021978022,1.0,0.9609355921855922,0.9725274725274725,1.0
fdnc,fDNC,1,func_20150410,42,16,3536,0.5755090497737556,0.9841628959276018,0.7426155237736126,0.7632918552036199,1.0
fdnc,fDNC,2,func_20150417,42,18,3954,0.8495194739504299,1.0,0.9203844208396568,0.9797673242286292,1.0
fdnc,fDNC,3,func_20161004,42,6,768,0.9453125,1.0,0.97265625,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,13,1820,0.8406593406593407,1.0,0.9153388278388279,0.9846153846153847,1.0
fdnc,fDNC,5,islet_20170216,42,12,1464,0.9173497267759563,1.0,0.9581056466302369,0.9918032786885246,1.0
fdnc,fDNC,6,lineage_20160328,42,8,938,0.7985074626865671,1.0,0.8882906894100925,0.9498933901918977,1.0
fdnc,fDNC,7,lineage_20170111,42,14,2492,0.8920545746388443,1.0,0.9430109684323168,0.9879614767255217,1.0
fdnc,fDNC,8,lineage_20170925,42,14,2184,0.9120879120879121,1.0,0.9541361416361417,0.9981684981684982,1.0
nuclr,NuCLR,1,func_20150410,42,16,3536,0.021493212669683258,0.09841628959276018,0.0819608534839286,0.02771493212669683,1.0
nuclr,NuCLR,2,func_20150417,42,18,3954,0.03388973191704603,0.13631765300961052,0.10957933354072492,0.03388973191704603,1.0
nuclr,NuCLR,3,func_20161004,42,6,768,0.01953125,0.11328125,0.09468295606178179,0.018229166666666668,1.0
nuclr,NuCLR,4,islet_20170202,42,13,1820,0.020879120879120878,0.08021978021978023,0.07785182288511328,0.01868131868131868,1.0
nuclr,NuCLR,5,islet_20170216,42,12,1464,0.03483606557377049,0.15095628415300547,0.11752701604797282,0.031420765027322405,1.0
nuclr,NuCLR,6,lineage_20160328,42,8,938,0.03411513859275053,0.16098081023454158,0.12333241300980585,0.021321961620469083,1.0
nuclr,NuCLR,7,lineage_20170111,42,14,2492,0.036115569823434994,0.15369181380417335,0.11825887787103137,0.045746388443017656,1.0
nuclr,NuCLR,8,lineage_20170925,42,14,2184,0.021062271062271064,0.09752747252747253,0.0832666279941146,0.023809523809523808,1.0
geotransformer,GeoTransformer,1,func_20150410,42,16,3536,0.5958710407239819,0.7304864253393665,0.6566538955325719,0.5797511312217195,0.7369909502262444
geotransformer,GeoTransformer,2,func_20150417,42,18,3954,0.8080424886191199,0.9099645928174,0.8530529662547878,0.8300455235204856,0.9129994941831057
geotransformer,GeoTransformer,3,func_20161004,42,6,768,0.703125,0.87890625,0.7786907862103173,0.6848958333333334,0.8880208333333334
geotransformer,GeoTransformer,4,islet_20170202,42,13,1820,0.6824175824175824,0.7758241758241758,0.7269740973312402,0.6780219780219781,0.778021978021978
geotransformer,GeoTransformer,5,islet_20170216,42,12,1464,0.805327868852459,0.9576502732240437,0.8731898907103828,0.8715846994535519,0.9576502732240437
geotransformer,GeoTransformer,6,lineage_20160328,42,8,938,0.6012793176972282,0.6865671641791045,0.6400171760246387,0.5991471215351812,0.6886993603411514
geotransformer,GeoTransformer,7,lineage_20170111,42,14,2492,0.666131621187801,0.7359550561797753,0.6985061721317739,0.6677367576243981,0.7375601926163724
geotransformer,GeoTransformer,8,lineage_20170925,42,14,2184,0.6964285714285714,0.7944139194139194,0.7416895604395602,0.7060439560439561,0.7957875457875457
ngm_v2,NGM-v2,1,func_20150410,42,16,3536,0.7683823529411765,0.9660633484162896,0.8526943701250793,0.7635746606334841,1.0
ngm_v2,NGM-v2,2,func_20150417,42,18,3954,0.8737986848760748,0.9871016691957512,0.9235126602729042,0.8715225088517956,1.0
ngm_v2,NGM-v2,3,func_20161004,42,6,768,0.8177083333333334,0.9934895833333334,0.8916248139880952,0.8072916666666666,1.0
ngm_v2,NGM-v2,4,islet_20170202,42,13,1820,0.8456043956043956,0.9945054945054945,0.909178440607012,0.8538461538461538,1.0
ngm_v2,NGM-v2,5,islet_20170216,42,12,1464,0.8770491803278688,0.9986338797814208,0.928950364298725,0.8756830601092896,1.0
ngm_v2,NGM-v2,6,lineage_20160328,42,8,938,0.9093816631130064,0.9968017057569296,0.9462183131959254,0.9125799573560768,1.0
ngm_v2,NGM-v2,7,lineage_20170111,42,14,2492,0.8711878009630819,0.9959871589085072,0.925194431705266,0.8739967897271268,1.0
ngm_v2,NGM-v2,8,lineage_20170925,42,14,2184,0.9331501831501832,0.9963369963369964,0.9614768384342557,0.9377289377289377,1.0
