method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
cpd,CPD,1,func_20150410,,0,func_20150410__gap60m__p000,198,0.6767676767676768,0.9040404040404041,0.7817139650472984,0.6464646464646465,1.0
cpd,CPD,1,func_20150410,,1,func_20150410__gap60m__p001,200,0.69,0.975,0.8056031746031747,0.75,1.0
cpd,CPD,1,func_20150410,,2,func_20150410__gap60m__p002,202,0.7277227722772277,0.9851485148514851,0.8390735502121641,0.7623762376237624,1.0
cpd,CPD,1,func_20150410,,3,func_20150410__gap60m__p003,206,0.8009708737864077,1.0,0.883576051779935,0.8252427184466019,1.0
cpd,CPD,1,func_20150410,,4,func_20150410__gap60m__p004,210,0.8142857142857143,1.0,0.898809523809524,0.8761904761904762,1.0
cpd,CPD,1,func_20150410,,5,func_20150410__gap60m__p005,212,0.8254716981132075,1.0,0.9013364779874214,0.8962264150943396,1.0
cpd,CPD,1,func_20150410,,6,func_20150410__gap60m__p006,218,0.8394495412844036,1.0,0.9168195718654435,0.926605504587156,1.0
cpd,CPD,1,func_20150410,,7,func_20150410__gap60m__p007,222,0.8783783783783784,1.0,0.936936936936937,0.9459459459459459,1.0
cpd,CPD,1,func_20150410,,8,func_20150410__gap60m__p008,224,0.9017857142857143,1.0,0.9441964285714286,0.9553571428571429,1.0
cpd,CPD,1,func_20150410,,9,func_20150410__gap60m__p009,230,0.9304347826086956,1.0,0.9634057971014494,0.9565217391304348,1.0
cpd,CPD,1,func_20150410,,10,func_20150410__gap60m__p010,230,0.9,0.991304347826087,0.9417080745341614,0.9478260869565217,1.0
cpd,CPD,1,func_20150410,,11,func_20150410__gap60m__p011,232,0.8577586206896551,0.9913793103448276,0.9165640394088671,0.896551724137931,1.0
cpd,CPD,1,func_20150410,,12,func_20150410__gap60m__p012,232,0.8836206896551724,0.9956896551724138,0.9321120689655173,0.9224137931034483,1.0
cpd,CPD,1,func_20150410,,13,func_20150410__gap60m__p013,236,0.902542372881356,0.9957627118644068,0.9420197740112995,0.9491525423728814,1.0
cpd,CPD,1,func_20150410,,14,func_20150410__gap60m__p014,240,0.9083333333333333,1.0,0.9477083333333334,0.9583333333333334,1.0
cpd,CPD,1,func_20150410,,15,func_20150410__gap60m__p015,244,0.9426229508196722,1.0,0.9706284153005464,0.9836065573770492,1.0
cpd,CPD,2,func_20150417,,0,func_20150417__gap60m__p000,212,0.7169811320754716,0.9764150943396226,0.8217879604672057,0.7735849056603774,1.0
