method,fold,top1_delta,top5_delta,mrr_delta,hungarian_delta
cpd,1,0.0,0.0,-4.500207984037274e-09,0.0
fdnc,1,0.0,0.0,6.661338147750939e-16,0.0
nuclr,1,0.0002828054298642524,0.0005656108597285048,0.00018647467362831183,0.0005656108597285048
geotransformer,1,0.0,0.0,-1.3589670722069513e-08,0.0
ngm_v2,1,0.0,0.0,8.881784197001252e-16,0.0
vanilla_fgw,1,0.0,0.0,2.220446049250313e-16,0.0
fugw_ga_official,1,0.0,0.0,0.0,0.0
statatlas,1,0.0,0.0,0.0,0.0
crf_id_dagger,1,0.0,0.0,0.0,0.0
ours,1,0.0,0.0,-2.357125321894582e-05,0.0
cpd,2,0.0,0.0,-3.5834281097990583e-09,0.0
fdnc,2,0.0,0.0,7.771561172376096e-16,0.0
nuclr,2,0.0,-0.000252908447142125,-0.00020424155488511786,0.0
geotransformer,2,0.0,0.0,-1.5270916975396176e-08,0.0
ngm_v2,2,0.0,0.0,1.2212453270876722e-15,0.0
vanilla_fgw,2,0.0,0.0,6.661338147750939e-16,0.0
fugw_ga_official,2,0.0,0.0,0.0,0.0
statatlas,2,0.0,0.0,0.0,0.0
crf_id_dagger,2,0.0,0.0,0.0,0.0
ours,2,0.0,0.0,0.0,0.0
cpd,3,0.0,0.0,1.1102230246251565e-16,0.0
fdnc,3,0.0,0.0,0.0,0.0
nuclr,3,0.0,-0.0026041666666666713,-0.00013591134721911702,0.0
geotransformer,3,0.0,0.0,-8.893391578723708e-09,0.0
ngm_v2,3,0.0,0.0,0.0,0.0
vanilla_fgw,3,0.0,0.0,0.0,0.0
fugw_ga_official,3,0.0,0.0,0.0,0.0
statatlas,3,0.0,0.0,0.0,0.0
crf_id_dagger,3,0.0,0.0,0.0,0.0
ours,3,0.0,0.0,0.0,0.0
cpd,4,0.0,0.0,-7.258830203582534e-10,0.0
fdnc,4,0.0,0.0,1.1102230246251565e-16,0.0
nuclr,4,0.0005494505494505475,0.0,0.00014219411814063443,0.0
geotransformer,4,0.0,0.0,-6.407733232904889e-09,0.0
ngm_v2,4,0.0,0.0,-1.1102230246251565e-16,0.0
vanilla_fgw,4,0.0,0.0,0.0,0.0
fugw_ga_official,4,0.0,0.0,0.0,0.0
statatlas,4,0.0,0.0,0.0,0.0
crf_id_dagger,4,0.0,0.0,0.0,0.0
ours,4,0.0,0.0,-5.589299911790135e-09,0.0
cpd,5,0.0,0.0,5.38504607572321e-09,0.0
fdnc,5,0.0,0.0,0.0,0.0
nuclr,5,-0.0006830601092896182,-0.0006830601092896182,-0.000299840354462233,-0.0013661202185792365
geotransformer,5,0.0,0.0,-1.4591737929059434e-08,0.0
ngm_v2,5,0.0,0.0,0.0,0.0
vanilla_fgw,5,0.0,0.0,0.0,0.0
fugw_ga_official,5,0.0,0.0,0.0,0.0
statatlas,5,0.0,0.0,0.0,0.0
crf_id_dagger,5,0.0,0.0,0.0,0.0
ours,5,0.0,0.0,-3.4742233534501565e-09,0.0
cpd,6,0.0,0.0,1.003154226353331e-08,0.0
fdnc,6,0.0,0.0,0.0,0.0
nuclr,6,0.0,0.0,-0.00011491744840722018,-0.00213219616204691
geotransformer,6,0.0010660980810235365,0.0,-8.088495762059722e-09,0.0
ngm_v2,6,0.0,0.0,2.220446049250313e-16,0.0
vanilla_fgw,6,0.0,0.0,1.1102230246251565e-16,0.0
fugw_ga_official,6,0.0,0.0,0.0,0.0
statatlas,6,0.0,0.0,0.0,0.0
crf_id_dagger,6,0.0,0.0,0.0,0.0
ours,6,0.0,0.0,-2.711227686802431e-09,0.0
cpd,7,0.0,0.0,-1.0677006612169748e-08,0.0
fdnc,7,0.0,0.0,0.0,0.0
nuclr,7,0.0,-0.0004012841091492747,0.00019755593116006775,0.0
geotransformer,7,0.0,0.0,-1.0176025133645794e-08,0.0
ngm_v2,7,0.0,0.0,-2.220446049250313e-16,0.0
vanilla_fgw,7,0.0,0.0,0.0,0.0
fugw_ga_official,7,0.0,0.0,0.0,0.0
statatlas,7,0.0,0.0,0.0,0.0
crf_id_dagger,7,0.0,0.0,0.0,0.0
ours,7,0.0,0.0,0.0,0.0
cpd,8,0.0,0.0,-3.959087502281022e-09,0.0
fdnc,8,0.0,0.0,2.220446049250313e-16,0.0
nuclr,8,0.0,0.0,-4.349697977615308e-05,0.0
geotransformer,8,0.00045787545787545625,0.0,0.0002289227076937017,0.0
ngm_v2,8,0.0,0.0,-4.440892098500626e-16,0.0
vanilla_fgw,8,0.0,0.0,0.0,0.0
fugw_ga_official,8,0.0,0.0,0.0,0.0
statatlas,8,0.0,0.0,0.0,0.0
crf_id_dagger,8,0.0,0.0,0.0,0.0
ours,8,0.0,0.0,0.0,0.0
