method,display_name,seed,folds,top1_mean,top1_sd,top5_mean,top5_sd,mrr_mean,mrr_sd,hungarian_mean,hungarian_sd
cpd,CPD,,8,0.899140000196617,0.03920078119262908,0.9974314052366966,0.003776157900070794,0.9435865234993488,0.022605315589214338,0.9409369026829165,0.0346807540019094
fdnc,fDNC,42,8,0.8413750050716008,0.11755428661182243,0.9980203619909502,0.005599261841974943,0.9118173085701105,0.07355897282391646,0.9569376509777595,0.0797925929019805
nuclr,NuCLR,42,8,0.027721645581006506,0.007733490005681949,0.12434589525173287,0.030615836019464285,0.10084151048203677,0.018586741312463434,0.027968311726619847,0.00921012574780118
geotransformer,GeoTransformer,42,8,0.6946374396734807,0.08001743915691048,0.8087209821222231,0.09634769422777785,0.7460682123681939,0.08498705632638001,0.7021533750943254,0.10193538578854226
ngm_v2,NGM-v2,42,8,0.8620328242886401,0.05175808541737939,0.9911149795293404,0.010695162617597852,0.9173562790784077,0.03364425031886766,0.8620279668649413,0.05537154953287445
vanilla_fgw,Vanilla FGW,,8,0.8814393248741773,0.11136876984049798,0.9999292986425339,0.00019997363721338944,0.9360380424118785,0.06433871976258045,0.8783853681508755,0.11528136106643018
fugw_ga_official,FUGW (G+A; official),,8,0.6782984833223149,0.08603622463484432,0.9708784929020704,0.016444476914469885,0.8061373431161218,0.057331648391255166,0.8166183475645581,0.08692299756348844
statatlas,StatAtlas,,8,0.8957042418813501,0.1784109660904642,0.9562117204182945,0.12354567165853138,0.9250330640236845,0.15026508576901676,0.9079645430300093,0.18071193121298432
crf_id_dagger,CRF_ID†,,8,0.9663896092863755,0.020505657210645994,0.9992916586470371,0.0011946958838723537,0.9818885502783676,0.011770054254178828,0.9675600679334667,0.01892788809333087
ours,Ours,42,8,0.9768532770311142,0.038385986315246375,0.9990455316742082,0.0026996441023807573,0.986660256234257,0.023836402797003137,0.9762037064101963,0.039748427675254654
