fold,split,pair_index,pair_id,specimen_id,q_start_frame,r_start_frame,reference_count,reference_uids_json,reference_start_frames_json,q_and_r_excluded_from_atlas
1,test,0,func_20150410__gap60m__p000,func_20150410,0,14400,18,"[""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame18000"", ""func_20150410__frame21600"", ""func_20150410__frame25200"", ""func_20150410__frame28800"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[3600, 7200, 10800, 18000, 21600, 25200, 28800, 32400, 36000, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,1,func_20150410__gap60m__p001,func_20150410,3600,18000,18,"[""func_20150410__frame0"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame21600"", ""func_20150410__frame25200"", ""func_20150410__frame28800"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 7200, 10800, 14400, 21600, 25200, 28800, 32400, 36000, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,2,func_20150410__gap60m__p002,func_20150410,7200,21600,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame18000"", ""func_20150410__frame25200"", ""func_20150410__frame28800"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 10800, 14400, 18000, 25200, 28800, 32400, 36000, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,3,func_20150410__gap60m__p003,func_20150410,10800,25200,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame14400"", ""func_20150410__frame18000"", ""func_20150410__frame21600"", ""func_20150410__frame28800"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 14400, 18000, 21600, 28800, 32400, 36000, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,4,func_20150410__gap60m__p004,func_20150410,14400,28800,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame18000"", ""func_20150410__frame21600"", ""func_20150410__frame25200"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 10800, 18000, 21600, 25200, 32400, 36000, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,5,func_20150410__gap60m__p005,func_20150410,18000,32400,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame21600"", ""func_20150410__frame25200"", ""func_20150410__frame28800"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 10800, 14400, 21600, 25200, 28800, 36000, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,6,func_20150410__gap60m__p006,func_20150410,21600,36000,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame18000"", ""func_20150410__frame25200"", ""func_20150410__frame28800"", ""func_20150410__frame32400"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 10800, 14400, 18000, 25200, 28800, 32400, 39600, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,7,func_20150410__gap60m__p007,func_20150410,25200,39600,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame18000"", ""func_20150410__frame21600"", ""func_20150410__frame28800"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame43200"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 10800, 14400, 18000, 21600, 28800, 32400, 36000, 43200, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,8,func_20150410__gap60m__p008,func_20150410,28800,43200,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame18000"", ""func_20150410__frame21600"", ""func_20150410__frame25200"", ""func_20150410__frame32400"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame46800"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 10800, 14400, 18000, 21600, 25200, 32400, 36000, 39600, 46800, 50400, 54000, 57600, 61200, 64800, 68400]",True
1,test,9,func_20150410__gap60m__p009,func_20150410,32400,46800,18,"[""func_20150410__frame0"", ""func_20150410__frame3600"", ""func_20150410__frame7200"", ""func_20150410__frame10800"", ""func_20150410__frame14400"", ""func_20150410__frame18000"", ""func_20150410__frame21600"", ""func_20150410__frame25200"", ""func_20150410__frame28800"", ""func_20150410__frame36000"", ""func_20150410__frame39600"", ""func_20150410__frame43200"", ""func_20150410__frame50400"", ""func_20150410__frame54000"", ""func_20150410__frame57600"", ""func_20150410__frame61200"", ""func_20150410__frame64800"", ""func_20150410__frame68400""]","[0, 3600, 7200, 10800, 14400, 18000, 21600, 25200, 28800, 36000, 39600, 43200, 50400, 54000, 57600, 61200, 64800, 68400]",True
